Year,Area,Item,Value
2002,Afghanistan,NPK fertilizers,17900.0
2003,Afghanistan,NPK fertilizers,33200.0
2004,Afghanistan,NPK fertilizers,47700.0
2004,Afghanistan,Urea,42300.0
2005,Afghanistan,Urea,20577.0
2006,Afghanistan,Urea,68253.0
2007,Afghanistan,Urea,61315.0
2008,Afghanistan,Urea,50628.0
2009,Afghanistan,Urea,76599.0
2010,Afghanistan,Urea,72084.0
2011,Afghanistan,Urea,107228.0
2002,Armenia,Ammonium nitrate (AN),26681.0
2003,Armenia,Ammonium nitrate (AN),18068.0
2004,Armenia,Ammonium nitrate (AN),9195.0
2005,Armenia,Ammonium nitrate (AN),4513.0
2006,Armenia,Ammonium nitrate (AN),465.0
2007,Armenia,Ammonium nitrate (AN),9402.47
2008,Armenia,Ammonium nitrate (AN),24157.77
2009,Armenia,Ammonium nitrate (AN),38713.0
2010,Armenia,Ammonium nitrate (AN),27606.0
2011,Armenia,Ammonium nitrate (AN),33647.0
2002,Armenia,Ammonium sulphate,18334.0
2003,Armenia,Ammonium sulphate,21290.0
2004,Armenia,Ammonium sulphate,39189.0
2005,Armenia,Ammonium sulphate,41560.0
2006,Armenia,Ammonium sulphate,56850.9
2007,Armenia,Ammonium sulphate,16950.63
2008,Armenia,Ammonium sulphate,144.0
2009,Armenia,Ammonium sulphate,2.0
2010,Armenia,Ammonium sulphate,3.0
2011,Armenia,Ammonium sulphate,5.0
2004,Armenia,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,247.0
2007,Armenia,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,356.7
2009,Armenia,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,6.0
2010,Armenia,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,58.0
2011,Armenia,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,204.0
2004,Armenia,Monoammonium phosphate (MAP),2319.0
2006,Armenia,Monoammonium phosphate (MAP),420.0
2007,Armenia,Monoammonium phosphate (MAP),127.0
2011,Armenia,Monoammonium phosphate (MAP),3.0
2005,Armenia,NPK fertilizers,221.0
2006,Armenia,NPK fertilizers,0.9
2007,Armenia,NPK fertilizers,200.0
2008,Armenia,NPK fertilizers,153.33
2009,Armenia,NPK fertilizers,235.0
2010,Armenia,NPK fertilizers,191.0
2011,Armenia,NPK fertilizers,403.0
2009,Armenia,Other NP compounds,254.0
2010,Armenia,Other NP compounds,1476.0
2011,Armenia,Other NP compounds,1.0
2006,Armenia,PK compounds,32.4
2011,Armenia,PK compounds,1.0
2006,Armenia,Potassium chloride (muriate of potash) (MOP),0.5
2007,Armenia,Potassium chloride (muriate of potash) (MOP),10.04
2008,Armenia,Potassium chloride (muriate of potash) (MOP),15.25
2010,Armenia,Potassium nitrate,8.0
2011,Armenia,Potassium nitrate,23.0
2004,Armenia,Potassium sulphate (sulphate of potash) (SOP),9.0
2005,Armenia,Potassium sulphate (sulphate of potash) (SOP),15.0
2007,Armenia,Potassium sulphate (sulphate of potash) (SOP),2.0
2008,Armenia,Potassium sulphate (sulphate of potash) (SOP),11.0
2009,Armenia,Potassium sulphate (sulphate of potash) (SOP),5.0
2010,Armenia,Potassium sulphate (sulphate of potash) (SOP),4.0
2011,Armenia,Potassium sulphate (sulphate of potash) (SOP),4.0
2010,Armenia,Superphosphates above 35%,34.0
2011,Armenia,Superphosphates above 35%,15.0
2008,Armenia,"Superphosphates, other",15.0
2002,Armenia,Urea,13.0
2003,Armenia,Urea,28.0
2004,Armenia,Urea,3482.0
2005,Armenia,Urea,3.0
2006,Armenia,Urea,518.3
2008,Armenia,Urea,22.22
2009,Armenia,Urea,803.0
2010,Armenia,Urea,2082.0
2011,Armenia,Urea,2024.0
2002,Bahrain,Ammonium nitrate (AN),1380.0
2003,Bahrain,Ammonium nitrate (AN),1992.0
2005,Bahrain,Ammonium nitrate (AN),1334.0
2006,Bahrain,Ammonium nitrate (AN),1516.0
2007,Bahrain,Ammonium nitrate (AN),1718.0
2008,Bahrain,Ammonium nitrate (AN),2223.0
2010,Bahrain,Ammonium nitrate (AN),671.0
2002,Bahrain,Ammonium sulphate,21.0
2003,Bahrain,Ammonium sulphate,51.0
2007,Bahrain,Ammonium sulphate,3.0
2008,Bahrain,Ammonium sulphate,18.0
2002,Bahrain,Diammonium phosphate (DAP),23.0
2003,Bahrain,Diammonium phosphate (DAP),1.0
2002,Bahrain,NPK fertilizers,327.0
2003,Bahrain,NPK fertilizers,323.0
2007,Bahrain,NPK fertilizers,588.0
2008,Bahrain,NPK fertilizers,295.0
2009,Bahrain,NPK fertilizers,261.0
2010,Bahrain,NPK fertilizers,238.0
2011,Bahrain,NPK fertilizers,500.0
2007,Bahrain,Other NP compounds,71.0
2008,Bahrain,Other NP compounds,30.0
2010,Bahrain,Other NP compounds,101.0
2002,Bahrain,PK compounds,119.0
2003,Bahrain,PK compounds,75.0
2007,Bahrain,PK compounds,56.0
2008,Bahrain,PK compounds,21.0
2009,Bahrain,PK compounds,21.0
2002,Bahrain,Potassium chloride (muriate of potash) (MOP),5.0
2003,Bahrain,Potassium chloride (muriate of potash) (MOP),34.0
2005,Bahrain,Potassium chloride (muriate of potash) (MOP),298.0
2006,Bahrain,Potassium chloride (muriate of potash) (MOP),39.0
2007,Bahrain,Potassium chloride (muriate of potash) (MOP),45.0
2008,Bahrain,Potassium chloride (muriate of potash) (MOP),130.0
2010,Bahrain,Potassium chloride (muriate of potash) (MOP),184.0
2011,Bahrain,Potassium chloride (muriate of potash) (MOP),2000.0
2007,Bahrain,Potassium nitrate,24.0
2008,Bahrain,Potassium nitrate,4.0
2003,Bahrain,Potassium sulphate (sulphate of potash) (SOP),5.0
2006,Bahrain,Potassium sulphate (sulphate of potash) (SOP),34.0
2007,Bahrain,Potassium sulphate (sulphate of potash) (SOP),68.0
2008,Bahrain,Potassium sulphate (sulphate of potash) (SOP),77.0
2009,Bahrain,Potassium sulphate (sulphate of potash) (SOP),117.0
2006,Bahrain,Superphosphates above 35%,45.0
2007,Bahrain,Superphosphates above 35%,11.0
2008,Bahrain,Superphosphates above 35%,10.0
2010,Bahrain,Superphosphates above 35%,11.0
2006,Bahrain,"Superphosphates, other",5.0
2009,Bahrain,"Superphosphates, other",43.0
2002,Bahrain,Urea,37453.0
2005,Bahrain,Urea,8135.0
2006,Bahrain,Urea,28523.0
2007,Bahrain,Urea,834.0
2008,Bahrain,Urea,3223.0
2009,Bahrain,Urea,2573.0
2010,Bahrain,Urea,4923.0
2011,Bahrain,Urea,1000.0
2003,Bangladesh,Ammonium sulphate,7000.0
2004,Bangladesh,Ammonium sulphate,5750.0
2005,Bangladesh,Ammonium sulphate,7750.0
2006,Bangladesh,Ammonium sulphate,4910.0
2002,Bangladesh,Diammonium phosphate (DAP),251930.0
2003,Bangladesh,Diammonium phosphate (DAP),118470.0
2004,Bangladesh,Diammonium phosphate (DAP),101000.0
2005,Bangladesh,Diammonium phosphate (DAP),175950.0
2006,Bangladesh,Diammonium phosphate (DAP),125190.0
2008,Bangladesh,Diammonium phosphate (DAP),89000.0
2009,Bangladesh,Diammonium phosphate (DAP),36000.0
2010,Bangladesh,Diammonium phosphate (DAP),181000.0
2011,Bangladesh,Diammonium phosphate (DAP),305000.0
2012,Bangladesh,Diammonium phosphate (DAP),409000.0
2013,Bangladesh,Diammonium phosphate (DAP),434000.0
2014,Bangladesh,Diammonium phosphate (DAP),543000.0
2015,Bangladesh,Diammonium phosphate (DAP),597000.0
2016,Bangladesh,Diammonium phosphate (DAP),658000.0
2017,Bangladesh,Diammonium phosphate (DAP),689000.0
2003,Bangladesh,NPK fertilizers,30000.0
2004,Bangladesh,NPK fertilizers,57000.0
2005,Bangladesh,NPK fertilizers,100000.0
2006,Bangladesh,NPK fertilizers,125000.0
2009,Bangladesh,NPK fertilizers,36929.0
2010,Bangladesh,NPK fertilizers,32709.0
2011,Bangladesh,NPK fertilizers,40762.0
2002,Bangladesh,PK compounds,19435.0
2002,Bangladesh,Potassium chloride (muriate of potash) (MOP),263185.0
2003,Bangladesh,Potassium chloride (muriate of potash) (MOP),278450.0
2004,Bangladesh,Potassium chloride (muriate of potash) (MOP),271500.0
2005,Bangladesh,Potassium chloride (muriate of potash) (MOP),407250.0
2006,Bangladesh,Potassium chloride (muriate of potash) (MOP),208060.0
2008,Bangladesh,Potassium chloride (muriate of potash) (MOP),274000.0
2009,Bangladesh,Potassium chloride (muriate of potash) (MOP),234000.0
2010,Bangladesh,Potassium chloride (muriate of potash) (MOP),319000.0
2011,Bangladesh,Potassium chloride (muriate of potash) (MOP),482000.0
2012,Bangladesh,Potassium chloride (muriate of potash) (MOP),613000.0
