Year,Area,Item,Value
2003,Afghanistan,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,0.03
2011,Afghanistan,Fertilizers n.e.c.,21.0
2015,Afghanistan,Fertilizers n.e.c.,9.15
2017,Afghanistan,Fertilizers n.e.c.,34.0
2003,Afghanistan,Monoammonium phosphate (MAP),200.0
2008,Afghanistan,NPK fertilizers,5885.67
2010,Afghanistan,NPK fertilizers,49.18
2002,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",0.69
2003,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",53.71
2017,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",25.7
2002,Afghanistan,Phosphate rock,11333.2
2012,Afghanistan,Potassium sulphate (sulphate of potash) (SOP),9.64
2002,Afghanistan,Urea,49.55
2005,Afghanistan,Urea,32.25
2008,Afghanistan,Urea,30.0
2014,Afghanistan,Urea,59.0
2016,Afghanistan,Urea,49.02
2007,Armenia,Ammonium nitrate (AN),0.0
2012,Armenia,Ammonium nitrate (AN),60.0
2015,Armenia,Ammonium nitrate (AN),60.1
2017,Armenia,Ammonium nitrate (AN),97.0
2006,Armenia,Fertilizers n.e.c.,0.01
2016,Armenia,Fertilizers n.e.c.,0.0
2011,Armenia,NPK fertilizers,0.89
2012,Armenia,NPK fertilizers,0.02
2014,Armenia,NPK fertilizers,1.01
2005,Armenia,"Other nitrogenous fertilizers, n.e.c.",0.33
2006,Armenia,"Other nitrogenous fertilizers, n.e.c.",0.83
2007,Armenia,"Other nitrogenous fertilizers, n.e.c.",0.05
2008,Armenia,"Other nitrogenous fertilizers, n.e.c.",0.25
2011,Armenia,"Other nitrogenous fertilizers, n.e.c.",0.5
2012,Armenia,"Other nitrogenous fertilizers, n.e.c.",1.0
2016,Armenia,"Other nitrogenous fertilizers, n.e.c.",0.5
2008,Armenia,"Other potassic fertilizers, n.e.c.",0.5
2010,Armenia,"Other potassic fertilizers, n.e.c.",0.01
2008,Armenia,Potassium chloride (muriate of potash) (MOP),10.0
2009,Armenia,Potassium chloride (muriate of potash) (MOP),971.88
2008,Armenia,Sodium nitrate,3.95
2017,Armenia,Sodium nitrate,0.5
2008,Armenia,Superphosphates above 35%,8.35
2002,Armenia,Urea,0.11
2003,Armenia,Urea,0.0
2007,Armenia,Urea,0.1
2017,Armenia,Urea,5.0
2005,Bahrain,"Ammonia, anhydrous",5.97
2006,Bahrain,"Ammonia, anhydrous",4.3
2007,Bahrain,"Ammonia, anhydrous",4.55
2008,Bahrain,"Ammonia, anhydrous",15.64
2009,Bahrain,"Ammonia, anhydrous",22416.7
2010,Bahrain,"Ammonia, anhydrous",61335.47
2011,Bahrain,"Ammonia, anhydrous",41514.57
2012,Bahrain,"Ammonia, anhydrous",53616.57
2013,Bahrain,"Ammonia, anhydrous",70874.59
2014,Bahrain,"Ammonia, anhydrous",9.6
2017,Bahrain,"Ammonia, anhydrous",67014.7
2010,Bahrain,Ammonium sulphate,0.0
2011,Bahrain,Ammonium sulphate,16.0
2017,Bahrain,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,104.7
2010,Bahrain,Fertilizers n.e.c.,1.54
2011,Bahrain,Fertilizers n.e.c.,35.88
2012,Bahrain,Fertilizers n.e.c.,32.0
2013,Bahrain,Fertilizers n.e.c.,0.01
2017,Bahrain,Monoammonium phosphate (MAP),0.0
2006,Bahrain,NPK fertilizers,0.09
2011,Bahrain,NPK fertilizers,0.0
2014,Bahrain,NPK fertilizers,0.73
2017,Bahrain,NPK fertilizers,0.0
2002,Bahrain,"Other nitrogenous fertilizers, n.e.c.",96300.0
2003,Bahrain,"Other nitrogenous fertilizers, n.e.c.",70000.0
2004,Bahrain,"Other nitrogenous fertilizers, n.e.c.",90000.0
2005,Bahrain,"Other nitrogenous fertilizers, n.e.c.",80200.0
2006,Bahrain,"Other nitrogenous fertilizers, n.e.c.",103100.02
2007,Bahrain,"Other nitrogenous fertilizers, n.e.c.",85300.0
2008,Bahrain,"Other nitrogenous fertilizers, n.e.c.",100200.0
2009,Bahrain,"Other nitrogenous fertilizers, n.e.c.",75000.5
2012,Bahrain,"Other nitrogenous fertilizers, n.e.c.",293.0
2013,Bahrain,"Other nitrogenous fertilizers, n.e.c.",0.69
2014,Bahrain,"Other nitrogenous fertilizers, n.e.c.",69068.44
2015,Bahrain,"Other nitrogenous fertilizers, n.e.c.",41373.04
2016,Bahrain,"Other nitrogenous fertilizers, n.e.c.",78790.63
2017,Bahrain,"Other nitrogenous fertilizers, n.e.c.",0.59
2010,Bahrain,Other NP compounds,0.5
2012,Bahrain,Other NP compounds,1.16
2013,Bahrain,Other NP compounds,0.02
2017,Bahrain,Other NP compounds,0.02
2010,Bahrain,"Other phosphatic fertilizers, n.e.c.",0.0
2011,Bahrain,"Other phosphatic fertilizers, n.e.c.",0.0
