Year,Area,Item,Value
2003,Afghanistan,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,1.51
2011,Afghanistan,Fertilizers n.e.c.,10.0
2015,Afghanistan,Fertilizers n.e.c.,16.0
2017,Afghanistan,Fertilizers n.e.c.,2.02
2003,Afghanistan,Monoammonium phosphate (MAP),58.81
2008,Afghanistan,NPK fertilizers,1872.21
2010,Afghanistan,NPK fertilizers,15.45
2002,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",1.57
2003,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",9.65
2017,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",1.09
2002,Afghanistan,Phosphate rock,459.11
2012,Afghanistan,Potassium sulphate (sulphate of potash) (SOP),19.64
2002,Afghanistan,Urea,6.63
2005,Afghanistan,Urea,11.48
2008,Afghanistan,Urea,22.8
2014,Afghanistan,Urea,32.04
2016,Afghanistan,Urea,12.28
2007,Armenia,Ammonium nitrate (AN),0.01
2012,Armenia,Ammonium nitrate (AN),26.1
2015,Armenia,Ammonium nitrate (AN),33.26
2017,Armenia,Ammonium nitrate (AN),25.22
2006,Armenia,Fertilizers n.e.c.,0.11
2016,Armenia,Fertilizers n.e.c.,0.0
2011,Armenia,NPK fertilizers,4.61
2012,Armenia,NPK fertilizers,0.4
2014,Armenia,NPK fertilizers,5.92
2005,Armenia,"Other nitrogenous fertilizers, n.e.c.",0.33
2006,Armenia,"Other nitrogenous fertilizers, n.e.c.",0.96
2007,Armenia,"Other nitrogenous fertilizers, n.e.c.",0.04
2008,Armenia,"Other nitrogenous fertilizers, n.e.c.",0.42
2011,Armenia,"Other nitrogenous fertilizers, n.e.c.",3.93
2012,Armenia,"Other nitrogenous fertilizers, n.e.c.",2.68
2016,Armenia,"Other nitrogenous fertilizers, n.e.c.",1.63
2008,Armenia,"Other potassic fertilizers, n.e.c.",0.18
2010,Armenia,"Other potassic fertilizers, n.e.c.",0.01
2008,Armenia,Potassium chloride (muriate of potash) (MOP),7.64
2009,Armenia,Potassium chloride (muriate of potash) (MOP),97.19
2008,Armenia,Sodium nitrate,1.5
2017,Armenia,Sodium nitrate,0.75
2008,Armenia,Superphosphates above 35%,5.22
2002,Armenia,Urea,13.01
2003,Armenia,Urea,2.5
2007,Armenia,Urea,0.1
2017,Armenia,Urea,13.0
2005,Bahrain,"Ammonia, anhydrous",4.75
2006,Bahrain,"Ammonia, anhydrous",6.86
2007,Bahrain,"Ammonia, anhydrous",8.01
2008,Bahrain,"Ammonia, anhydrous",23.8
2009,Bahrain,"Ammonia, anhydrous",6633.39
2010,Bahrain,"Ammonia, anhydrous",20895.73
2011,Bahrain,"Ammonia, anhydrous",23814.52
2012,Bahrain,"Ammonia, anhydrous",28810.85
2013,Bahrain,"Ammonia, anhydrous",40261.72
2014,Bahrain,"Ammonia, anhydrous",7.63
2017,Bahrain,"Ammonia, anhydrous",19914.06
2010,Bahrain,Ammonium sulphate,0.0
2011,Bahrain,Ammonium sulphate,3.66
2017,Bahrain,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,31.27
2010,Bahrain,Fertilizers n.e.c.,45.18
2011,Bahrain,Fertilizers n.e.c.,190.58
2012,Bahrain,Fertilizers n.e.c.,188.69
2013,Bahrain,Fertilizers n.e.c.,0.14
2017,Bahrain,Monoammonium phosphate (MAP),0.0
2006,Bahrain,NPK fertilizers,0.1
2011,Bahrain,NPK fertilizers,0.0
2014,Bahrain,NPK fertilizers,1.43
2017,Bahrain,NPK fertilizers,0.0
2002,Bahrain,"Other nitrogenous fertilizers, n.e.c.",9104.24
2003,Bahrain,"Other nitrogenous fertilizers, n.e.c.",11261.15
2004,Bahrain,"Other nitrogenous fertilizers, n.e.c.",17770.18
2005,Bahrain,"Other nitrogenous fertilizers, n.e.c.",22656.35
2006,Bahrain,"Other nitrogenous fertilizers, n.e.c.",29213.08
2007,Bahrain,"Other nitrogenous fertilizers, n.e.c.",33366.97
2008,Bahrain,"Other nitrogenous fertilizers, n.e.c.",43927.59
2009,Bahrain,"Other nitrogenous fertilizers, n.e.c.",15834.44
2012,Bahrain,"Other nitrogenous fertilizers, n.e.c.",123.75
2013,Bahrain,"Other nitrogenous fertilizers, n.e.c.",21.6
2014,Bahrain,"Other nitrogenous fertilizers, n.e.c.",42364.38
2015,Bahrain,"Other nitrogenous fertilizers, n.e.c.",17428.76
2016,Bahrain,"Other nitrogenous fertilizers, n.e.c.",22008.88
2017,Bahrain,"Other nitrogenous fertilizers, n.e.c.",0.45
2010,Bahrain,Other NP compounds,14.09
2012,Bahrain,Other NP compounds,178.92
2013,Bahrain,Other NP compounds,0.46
2017,Bahrain,Other NP compounds,0.02
