Year,Area,Item,Value
2011,Afghanistan,"Ammonia, anhydrous",4.49
2014,Afghanistan,"Ammonia, anhydrous",2.0
2017,Afghanistan,"Ammonia, anhydrous",2.07
2002,Afghanistan,Ammonium nitrate (AN),1786.13
2007,Afghanistan,Ammonium nitrate (AN),0.64
2012,Afghanistan,Ammonium nitrate (AN),1456.8
2013,Afghanistan,Ammonium nitrate (AN),1.0
2003,Afghanistan,Ammonium sulphate,0.14
2006,Afghanistan,Ammonium sulphate,5.2
2016,Afghanistan,Ammonium sulphate,23.0
2007,Afghanistan,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,20.0
2004,Afghanistan,Diammonium phosphate (DAP),4324.0
2005,Afghanistan,Diammonium phosphate (DAP),8035.0
2006,Afghanistan,Diammonium phosphate (DAP),1500.0
2011,Afghanistan,Diammonium phosphate (DAP),215.0
2014,Afghanistan,Diammonium phosphate (DAP),1000.92
2015,Afghanistan,Diammonium phosphate (DAP),6900.0
2016,Afghanistan,Diammonium phosphate (DAP),9460.4
2017,Afghanistan,Diammonium phosphate (DAP),22574.0
2003,Afghanistan,Fertilizers n.e.c.,4132.01
2004,Afghanistan,Fertilizers n.e.c.,15113.0
2005,Afghanistan,Fertilizers n.e.c.,8338.0
2006,Afghanistan,Fertilizers n.e.c.,1325.01
2007,Afghanistan,Fertilizers n.e.c.,20.0
2009,Afghanistan,Fertilizers n.e.c.,0.16
2010,Afghanistan,Fertilizers n.e.c.,5389.87
2011,Afghanistan,Fertilizers n.e.c.,5395.25
2012,Afghanistan,Fertilizers n.e.c.,2.31
2013,Afghanistan,Fertilizers n.e.c.,1251.81
2014,Afghanistan,Fertilizers n.e.c.,542.32
2015,Afghanistan,Fertilizers n.e.c.,3.36
2016,Afghanistan,Fertilizers n.e.c.,193.66
2017,Afghanistan,Fertilizers n.e.c.,694.08
2003,Afghanistan,Monoammonium phosphate (MAP),296.0
2004,Afghanistan,Monoammonium phosphate (MAP),296.0
2006,Afghanistan,Monoammonium phosphate (MAP),90.0
2014,Afghanistan,Monoammonium phosphate (MAP),25.53
2016,Afghanistan,Monoammonium phosphate (MAP),1237.0
2017,Afghanistan,Monoammonium phosphate (MAP),1300.0
2002,Afghanistan,NPK fertilizers,20.0
2009,Afghanistan,NPK fertilizers,0.95
2013,Afghanistan,NPK fertilizers,603.5
2014,Afghanistan,NPK fertilizers,0.02
2015,Afghanistan,NPK fertilizers,66.0
2016,Afghanistan,NPK fertilizers,399.06
2017,Afghanistan,NPK fertilizers,68.3
2003,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",31.42
2005,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",140.0
2006,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",910.0
2007,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",7.78
2008,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",23.4
2010,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",84.91
2011,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",599.55
2012,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",5.84
2013,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",20.35
2014,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",180.0
2015,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",0.1
2016,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",56.6
2017,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",7402.02
2003,Afghanistan,Other NP compounds,14068.97
2004,Afghanistan,Other NP compounds,10473.0
2005,Afghanistan,Other NP compounds,16367.0
2006,Afghanistan,Other NP compounds,13365.0
2007,Afghanistan,Other NP compounds,0.16
2009,Afghanistan,Other NP compounds,5000.0
2010,Afghanistan,Other NP compounds,4486.25
2011,Afghanistan,Other NP compounds,19241.21
2012,Afghanistan,Other NP compounds,3998.2
2013,Afghanistan,Other NP compounds,5586.56
2014,Afghanistan,Other NP compounds,11535.74
2015,Afghanistan,Other NP compounds,26985.6
2016,Afghanistan,Other NP compounds,11976.96
2017,Afghanistan,Other NP compounds,20216.76
2003,Afghanistan,"Other phosphatic fertilizers, n.e.c.",5937.0
2004,Afghanistan,"Other phosphatic fertilizers, n.e.c.",18442.0
2005,Afghanistan,"Other phosphatic fertilizers, n.e.c.",10764.0
2006,Afghanistan,"Other phosphatic fertilizers, n.e.c.",3789.78
2010,Afghanistan,"Other phosphatic fertilizers, n.e.c.",44.01
2011,Afghanistan,"Other phosphatic fertilizers, n.e.c.",6525.45
2013,Afghanistan,"Other phosphatic fertilizers, n.e.c.",621.98
2014,Afghanistan,"Other phosphatic fertilizers, n.e.c.",3932.94
2017,Afghanistan,"Other phosphatic fertilizers, n.e.c.",10.0
2004,Afghanistan,"Other potassic fertilizers, n.e.c.",164.4
2017,Afghanistan,"Other potassic fertilizers, n.e.c.",70.18
2003,Afghanistan,Phosphate rock,3.54
2005,Afghanistan,Phosphate rock,267.8
2006,Afghanistan,Phosphate rock,104.0
2007,Afghanistan,Phosphate rock,70.0
2008,Afghanistan,Phosphate rock,1997.25
2009,Afghanistan,Phosphate rock,4.0
2010,Afghanistan,Phosphate rock,78.41
2011,Afghanistan,Phosphate rock,101.14
2012,Afghanistan,Phosphate rock,6.0
2013,Afghanistan,Phosphate rock,85.07
2014,Afghanistan,Phosphate rock,43.04
2015,Afghanistan,Phosphate rock,83.0
2017,Afghanistan,PK compounds,0.26
2005,Afghanistan,Potassium chloride (muriate of potash) (MOP),176.0
2010,Afghanistan,Potassium chloride (muriate of potash) (MOP),0.55
2012,Afghanistan,Potassium chloride (muriate of potash) (MOP),336.0
2014,Afghanistan,Potassium chloride (muriate of potash) (MOP),11.12
2016,Afghanistan,Potassium chloride (muriate of potash) (MOP),19.76
2017,Afghanistan,Potassium chloride (muriate of potash) (MOP),0.0
2016,Afghanistan,Potassium nitrate,0.01
2017,Afghanistan,Potassium nitrate,0.06
2016,Afghanistan,Potassium sulphate (sulphate of potash) (SOP),0.03
2017,Afghanistan,Potassium sulphate (sulphate of potash) (SOP),14.23
2010,Afghanistan,Sodium nitrate,1.0
2012,Afghanistan,Sodium nitrate,2.0
2017,Afghanistan,Sodium nitrate,14.85
2002,Afghanistan,Superphosphates above 35%,128.0
2003,Afghanistan,Superphosphates above 35%,5600.14
2004,Afghanistan,Superphosphates above 35%,6354.0
2006,Afghanistan,Superphosphates above 35%,1090.5
2010,Afghanistan,Superphosphates above 35%,7.94
2013,Afghanistan,Superphosphates above 35%,268.0
2002,Afghanistan,Urea,1151.8
2003,Afghanistan,Urea,3002.4
2005,Afghanistan,Urea,222.35
2009,Afghanistan,Urea,3.8
2011,Afghanistan,Urea,3054.55
