Year,Area,Item,Value
2011,Afghanistan,"Ammonia, anhydrous",2.69
2014,Afghanistan,"Ammonia, anhydrous",1.07
2017,Afghanistan,"Ammonia, anhydrous",1.24
2002,Afghanistan,Ammonium nitrate (AN),123.24
2007,Afghanistan,Ammonium nitrate (AN),7.18
2012,Afghanistan,Ammonium nitrate (AN),445.8
2013,Afghanistan,Ammonium nitrate (AN),2.8
2003,Afghanistan,Ammonium sulphate,0.02
2006,Afghanistan,Ammonium sulphate,0.83
2016,Afghanistan,Ammonium sulphate,2.53
2007,Afghanistan,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,43.93
2004,Afghanistan,Diammonium phosphate (DAP),984.99
2005,Afghanistan,Diammonium phosphate (DAP),1656.53
2006,Afghanistan,Diammonium phosphate (DAP),331.86
2011,Afghanistan,Diammonium phosphate (DAP),81.18
2014,Afghanistan,Diammonium phosphate (DAP),485.08
2015,Afghanistan,Diammonium phosphate (DAP),3131.97
2016,Afghanistan,Diammonium phosphate (DAP),9143.51
2017,Afghanistan,Diammonium phosphate (DAP),7232.07
2003,Afghanistan,Fertilizers n.e.c.,1003.58
2004,Afghanistan,Fertilizers n.e.c.,2869.47
2005,Afghanistan,Fertilizers n.e.c.,1172.06
2006,Afghanistan,Fertilizers n.e.c.,325.02
2007,Afghanistan,Fertilizers n.e.c.,48.5
2009,Afghanistan,Fertilizers n.e.c.,1.28
2010,Afghanistan,Fertilizers n.e.c.,954.45
2011,Afghanistan,Fertilizers n.e.c.,987.1
2012,Afghanistan,Fertilizers n.e.c.,25.06
2013,Afghanistan,Fertilizers n.e.c.,429.15
2014,Afghanistan,Fertilizers n.e.c.,183.52
2015,Afghanistan,Fertilizers n.e.c.,21.25
2016,Afghanistan,Fertilizers n.e.c.,296.92
2017,Afghanistan,Fertilizers n.e.c.,381.4
2003,Afghanistan,Monoammonium phosphate (MAP),91.74
2004,Afghanistan,Monoammonium phosphate (MAP),90.95
2006,Afghanistan,Monoammonium phosphate (MAP),20.67
2014,Afghanistan,Monoammonium phosphate (MAP),33.44
2016,Afghanistan,Monoammonium phosphate (MAP),487.52
2017,Afghanistan,Monoammonium phosphate (MAP),459.9
2002,Afghanistan,NPK fertilizers,4.53
2009,Afghanistan,NPK fertilizers,4.39
2013,Afghanistan,NPK fertilizers,145.13
2014,Afghanistan,NPK fertilizers,0.37
2015,Afghanistan,NPK fertilizers,31.62
2016,Afghanistan,NPK fertilizers,186.71
2017,Afghanistan,NPK fertilizers,109.9
2003,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",14.44
2005,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",29.1
2006,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",195.38
2007,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",3.16
2008,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",16.69
2010,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",59.03
2011,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",119.63
2012,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",55.74
2013,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",25.12
2014,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",15.65
2015,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",1.25
2016,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",39.83
2017,Afghanistan,"Other nitrogenous fertilizers, n.e.c.",1790.26
2003,Afghanistan,Other NP compounds,2327.35
2004,Afghanistan,Other NP compounds,2639.89
2005,Afghanistan,Other NP compounds,2980.61
2006,Afghanistan,Other NP compounds,2833.8
2007,Afghanistan,Other NP compounds,257.73
2009,Afghanistan,Other NP compounds,2562.26
2010,Afghanistan,Other NP compounds,559.25
2011,Afghanistan,Other NP compounds,8455.86
2012,Afghanistan,Other NP compounds,1779.2
2013,Afghanistan,Other NP compounds,2310.82
2014,Afghanistan,Other NP compounds,4949.37
2015,Afghanistan,Other NP compounds,11436.82
2016,Afghanistan,Other NP compounds,2953.17
2017,Afghanistan,Other NP compounds,4758.77
2003,Afghanistan,"Other phosphatic fertilizers, n.e.c.",1369.77
2004,Afghanistan,"Other phosphatic fertilizers, n.e.c.",3435.61
2005,Afghanistan,"Other phosphatic fertilizers, n.e.c.",1579.66
2006,Afghanistan,"Other phosphatic fertilizers, n.e.c.",310.82
2010,Afghanistan,"Other phosphatic fertilizers, n.e.c.",30.81
2011,Afghanistan,"Other phosphatic fertilizers, n.e.c.",454.71
2013,Afghanistan,"Other phosphatic fertilizers, n.e.c.",52.39
2014,Afghanistan,"Other phosphatic fertilizers, n.e.c.",280.69
2017,Afghanistan,"Other phosphatic fertilizers, n.e.c.",10.0
2004,Afghanistan,"Other potassic fertilizers, n.e.c.",14.66
2017,Afghanistan,"Other potassic fertilizers, n.e.c.",41.25
2003,Afghanistan,Phosphate rock,2.54
2005,Afghanistan,Phosphate rock,144.24
2006,Afghanistan,Phosphate rock,34.07
2007,Afghanistan,Phosphate rock,3.46
2008,Afghanistan,Phosphate rock,297.87
2009,Afghanistan,Phosphate rock,0.98
2010,Afghanistan,Phosphate rock,11.85
2011,Afghanistan,Phosphate rock,10.02
2012,Afghanistan,Phosphate rock,0.97
2013,Afghanistan,Phosphate rock,5.38
2014,Afghanistan,Phosphate rock,0.85
2015,Afghanistan,Phosphate rock,7.25
2017,Afghanistan,PK compounds,2.02
2005,Afghanistan,Potassium chloride (muriate of potash) (MOP),26.76
2010,Afghanistan,Potassium chloride (muriate of potash) (MOP),2.02
2012,Afghanistan,Potassium chloride (muriate of potash) (MOP),197.61
2014,Afghanistan,Potassium chloride (muriate of potash) (MOP),16.26
2016,Afghanistan,Potassium chloride (muriate of potash) (MOP),71.0
2017,Afghanistan,Potassium chloride (muriate of potash) (MOP),0.0
2016,Afghanistan,Potassium nitrate,0.0
2017,Afghanistan,Potassium nitrate,0.06
2016,Afghanistan,Potassium sulphate (sulphate of potash) (SOP),0.01
2017,Afghanistan,Potassium sulphate (sulphate of potash) (SOP),10.63
2010,Afghanistan,Sodium nitrate,4.95
2012,Afghanistan,Sodium nitrate,9.86
2017,Afghanistan,Sodium nitrate,11.35
2002,Afghanistan,Superphosphates above 35%,8.2
2003,Afghanistan,Superphosphates above 35%,794.8
2004,Afghanistan,Superphosphates above 35%,546.44
2006,Afghanistan,Superphosphates above 35%,120.43
2010,Afghanistan,Superphosphates above 35%,36.46
2013,Afghanistan,Superphosphates above 35%,60.3
2002,Afghanistan,Urea,1207.8
2003,Afghanistan,Urea,288.25
2005,Afghanistan,Urea,59.72
2009,Afghanistan,Urea,1.98
2011,Afghanistan,Urea,872.54
2012,Afghanistan,Urea,2.34
2013,Afghanistan,Urea,14240.43
2014,Afghanistan,Urea,39369.93
2015,Afghanistan,Urea,7.58
2016,Afghanistan,Urea,50264.38
2017,Afghanistan,Urea,57202.11
2002,Afghanistan,Urea and ammonium nitrate solutions (UAN),2.44
2014,Afghanistan,Urea and ammonium nitrate solutions (UAN),0.81
2006,Armenia,"Ammonia, anhydrous",1.48
2007,Armenia,"Ammonia, anhydrous",17.9
2008,Armenia,"Ammonia, anhydrous",30.16
2009,Armenia,"Ammonia, anhydrous",60.0
2010,Armenia,"Ammonia, anhydrous",47.65
2011,Armenia,"Ammonia, anhydrous",163.13
2012,Armenia,"Ammonia, anhydrous",197.42
2013,Armenia,"Ammonia, anhydrous",32.96
2014,Armenia,"Ammonia, anhydrous",35.01
2015,Armenia,"Ammonia, anhydrous",18.68
2017,Armenia,"Ammonia, anhydrous",28.38
2002,Armenia,Ammonium nitrate (AN),3585.68
2003,Armenia,Ammonium nitrate (AN),1897.4
2004,Armenia,Ammonium nitrate (AN),1157.67
2005,Armenia,Ammonium nitrate (AN),1008.11
2006,Armenia,Ammonium nitrate (AN),187.24
2007,Armenia,Ammonium nitrate (AN),2076.64
2008,Armenia,Ammonium nitrate (AN),6215.33
2009,Armenia,Ammonium nitrate (AN),12678.32
2010,Armenia,Ammonium nitrate (AN),9215.44
2011,Armenia,Ammonium nitrate (AN),12330.33
