Year,Area,Item,Value
2013,Afghanistan,Diammonium phosphate (DAP),3346.0
2014,Afghanistan,Diammonium phosphate (DAP),3346.0
2015,Afghanistan,Diammonium phosphate (DAP),3346.0
2016,Afghanistan,Diammonium phosphate (DAP),3346.0
2002,Afghanistan,Urea,50900.0
2003,Afghanistan,Urea,35230.0
2004,Afghanistan,Urea,42300.0
2005,Afghanistan,Urea,33980.0
2006,Afghanistan,Urea,38340.0
2007,Afghanistan,Urea,36897.0
2008,Afghanistan,Urea,33314.0
2009,Afghanistan,Urea,29579.0
2010,Afghanistan,Urea,26135.0
2011,Afghanistan,Urea,36834.0
2012,Afghanistan,Urea,33904.0
2013,Afghanistan,Urea,32807.0
2014,Afghanistan,Urea,31340.0
2015,Afghanistan,Urea,31340.0
2016,Afghanistan,Urea,31340.0
2002,Bahrain,Urea,631000.0
2003,Bahrain,Urea,567000.0
2004,Bahrain,Urea,510000.0
2005,Bahrain,Urea,561058.0
2006,Bahrain,Urea,624682.0
2007,Bahrain,Urea,584763.0
2008,Bahrain,Urea,661000.0
2009,Bahrain,Urea,654000.0
2010,Bahrain,Urea,629000.0
2011,Bahrain,Urea,674000.0
2012,Bahrain,Urea,627000.0
2013,Bahrain,Urea,688000.0
2014,Bahrain,Urea,694000.0
2015,Bahrain,Urea,694000.0
2016,Bahrain,Urea,694000.0
2003,Bangladesh,Ammonium sulphate,7000.0
2004,Bangladesh,Ammonium sulphate,5750.0
2005,Bangladesh,Ammonium sulphate,7750.0
2006,Bangladesh,Ammonium sulphate,4910.0
2007,Bangladesh,Ammonium sulphate,5000.0
2008,Bangladesh,Diammonium phosphate (DAP),80000.0
2009,Bangladesh,Diammonium phosphate (DAP),29000.0
2010,Bangladesh,Diammonium phosphate (DAP),32000.0
2011,Bangladesh,Diammonium phosphate (DAP),40000.0
2012,Bangladesh,Diammonium phosphate (DAP),48000.0
2013,Bangladesh,Diammonium phosphate (DAP),28000.0
2014,Bangladesh,Diammonium phosphate (DAP),48000.0
2015,Bangladesh,Diammonium phosphate (DAP),63000.0
2016,Bangladesh,Diammonium phosphate (DAP),102000.0
2004,Bangladesh,NPK fertilizers,57000.0
2005,Bangladesh,NPK fertilizers,100000.0
2006,Bangladesh,NPK fertilizers,125000.0
2003,Bangladesh,Superphosphates above 35%,65220.0
2004,Bangladesh,Superphosphates above 35%,67000.0
2005,Bangladesh,Superphosphates above 35%,53840.0
2006,Bangladesh,Superphosphates above 35%,56390.0
2007,Bangladesh,Superphosphates above 35%,50000.0
2008,Bangladesh,Superphosphates above 35%,47000.0
2009,Bangladesh,Superphosphates above 35%,24000.0
2010,Bangladesh,Superphosphates above 35%,77000.0
2011,Bangladesh,Superphosphates above 35%,63000.0
2012,Bangladesh,Superphosphates above 35%,65000.0
2013,Bangladesh,Superphosphates above 35%,40000.0
2014,Bangladesh,Superphosphates above 35%,86000.0
2015,Bangladesh,Superphosphates above 35%,88000.0
2016,Bangladesh,Superphosphates above 35%,95000.0
2003,Bangladesh,"Superphosphates, other",135360.0
2004,Bangladesh,"Superphosphates, other",141000.0
2005,Bangladesh,"Superphosphates, other",162530.0
2006,Bangladesh,"Superphosphates, other",135140.0
2007,Bangladesh,"Superphosphates, other",130000.0
2002,Bangladesh,Urea,1801000.0
2003,Bangladesh,Urea,2056740.0
2004,Bangladesh,Urea,1986200.0
2005,Bangladesh,Urea,1878300.0
2006,Bangladesh,Urea,1730260.0
2007,Bangladesh,Urea,1816860.0
2008,Bangladesh,Urea,1475000.0
2009,Bangladesh,Urea,1280000.0
2010,Bangladesh,Urea,1056000.0
2011,Bangladesh,Urea,909000.0
2012,Bangladesh,Urea,933000.0
2013,Bangladesh,Urea,1027000.0
2014,Bangladesh,Urea,839000.0
2015,Bangladesh,Urea,878000.0
2016,Bangladesh,Urea,1008000.0
2011,Bhutan,Ammonium nitrate (AN),0.0
2012,Bhutan,Ammonium nitrate (AN),0.0
2013,Bhutan,Ammonium nitrate (AN),0.0
