Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
4,Algeria,4007,"Ammonia, anhydrous",5157,Agricultural Use,2012,2012,tonnes,0,Fm,Africa
4,Algeria,4007,"Ammonia, anhydrous",5157,Agricultural Use,2013,2013,tonnes,0,Fm,Africa
4,Algeria,4007,"Ammonia, anhydrous",5157,Agricultural Use,2014,2014,tonnes,0,Fm,Africa
4,Algeria,4007,"Ammonia, anhydrous",5157,Agricultural Use,2015,2015,tonnes,0,Fm,Africa
4,Algeria,4007,"Ammonia, anhydrous",5157,Agricultural Use,2016,2016,tonnes,0,Fm,Africa
4,Algeria,4003,Ammonium nitrate (AN),5157,Agricultural Use,2009,2009,tonnes,7004,Fb,Africa
4,Algeria,4003,Ammonium nitrate (AN),5157,Agricultural Use,2010,2010,tonnes,24541,Fb,Africa
4,Algeria,4003,Ammonium nitrate (AN),5157,Agricultural Use,2011,2011,tonnes,49000,Fb,Africa
4,Algeria,4003,Ammonium nitrate (AN),5157,Agricultural Use,2012,2012,tonnes,13000,Fm,Africa
4,Algeria,4003,Ammonium nitrate (AN),5157,Agricultural Use,2013,2013,tonnes,13000,Fm,Africa
4,Algeria,4003,Ammonium nitrate (AN),5157,Agricultural Use,2014,2014,tonnes,85000,Fm,Africa
4,Algeria,4003,Ammonium nitrate (AN),5157,Agricultural Use,2015,2015,tonnes,85000,Fm,Africa
4,Algeria,4003,Ammonium nitrate (AN),5157,Agricultural Use,2016,2016,tonnes,85000,Fm,Africa
4,Algeria,4002,Ammonium sulphate,5157,Agricultural Use,2009,2009,tonnes,7946,Fb,Africa
4,Algeria,4002,Ammonium sulphate,5157,Agricultural Use,2010,2010,tonnes,6102,Fb,Africa
4,Algeria,4002,Ammonium sulphate,5157,Agricultural Use,2011,2011,tonnes,8228.53,Fb,Africa
4,Algeria,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2007,2007,tonnes,1000,Fb,Africa
4,Algeria,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2008,2008,tonnes,1000,Fb,Africa
4,Algeria,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2009,2009,tonnes,3300,Fb,Africa
4,Algeria,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2010,2010,tonnes,59.96,Fb,Africa
4,Algeria,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2012,2012,tonnes,9000,Fm,Africa
4,Algeria,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2013,2013,tonnes,9000,Fm,Africa
4,Algeria,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2014,2014,tonnes,9000,Fm,Africa
4,Algeria,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2015,2015,tonnes,9000,Fm,Africa
4,Algeria,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2016,2016,tonnes,9000,Fm,Africa
4,Algeria,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2007,2007,tonnes,7681,Fb,Africa
4,Algeria,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2009,2009,tonnes,3432,Fb,Africa
4,Algeria,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2010,2010,tonnes,7048.96,Fb,Africa
4,Algeria,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2011,2011,tonnes,9953.02,Fb,Africa
4,Algeria,4021,NPK fertilizers,5157,Agricultural Use,2007,2007,tonnes,61000,Fb,Africa
4,Algeria,4021,NPK fertilizers,5157,Agricultural Use,2008,2008,tonnes,42000,Fb,Africa
4,Algeria,4021,NPK fertilizers,5157,Agricultural Use,2009,2009,tonnes,40242,E,Africa
4,Algeria,4021,NPK fertilizers,5157,Agricultural Use,2010,2010,tonnes,80960,Fb,Africa
4,Algeria,4021,NPK fertilizers,5157,Agricultural Use,2011,2011,tonnes,48000,Fb,Africa
4,Algeria,4021,NPK fertilizers,5157,Agricultural Use,2012,2012,tonnes,190069.1,Fb,Africa
4,Algeria,4021,NPK fertilizers,5157,Agricultural Use,2013,2013,tonnes,203395.15,Fb,Africa
4,Algeria,4021,NPK fertilizers,5157,Agricultural Use,2014,2014,tonnes,199893.27,Fb,Africa
4,Algeria,4021,NPK fertilizers,5157,Agricultural Use,2015,2015,tonnes,178451.28,Fb,Africa
4,Algeria,4021,NPK fertilizers,5157,Agricultural Use,2016,2016,tonnes,158115,Fb,Africa
4,Algeria,4024,Other NP compounds,5157,Agricultural Use,2007,2007,tonnes,31,E,Africa
4,Algeria,4024,Other NP compounds,5157,Agricultural Use,2008,2008,tonnes,8078,E,Africa
4,Algeria,4024,Other NP compounds,5157,Agricultural Use,2009,2009,tonnes,6,E,Africa
4,Algeria,4024,Other NP compounds,5157,Agricultural Use,2011,2011,tonnes,10080.22,E,Africa
4,Algeria,4011,Phosphate rock,5157,Agricultural Use,2012,2012,tonnes,0,Fm,Africa
4,Algeria,4011,Phosphate rock,5157,Agricultural Use,2013,2013,tonnes,0,Fm,Africa
4,Algeria,4011,Phosphate rock,5157,Agricultural Use,2014,2014,tonnes,0,Fm,Africa
4,Algeria,4011,Phosphate rock,5157,Agricultural Use,2015,2015,tonnes,0,Fm,Africa
4,Algeria,4011,Phosphate rock,5157,Agricultural Use,2016,2016,tonnes,0,Fm,Africa
4,Algeria,4027,PK compounds,5157,Agricultural Use,2008,2008,tonnes,38,Fb,Africa
4,Algeria,4027,PK compounds,5157,Agricultural Use,2009,2009,tonnes,2657,Fb,Africa
4,Algeria,4027,PK compounds,5157,Agricultural Use,2010,2010,tonnes,3517,Fb,Africa
4,Algeria,4027,PK compounds,5157,Agricultural Use,2011,2011,tonnes,6545.93,Fb,Africa
4,Algeria,4016,Potassium chloride (muriate of potash) (MOP),5157,Agricultural Use,2010,2010,tonnes,4215,Fb,Africa
4,Algeria,4016,Potassium chloride (muriate of potash) (MOP),5157,Agricultural Use,2011,2011,tonnes,4684.39,Fb,Africa
4,Algeria,4016,Potassium chloride (muriate of potash) (MOP),5157,Agricultural Use,2012,2012,tonnes,2,Fm,Africa
4,Algeria,4025,Potassium nitrate,5157,Agricultural Use,2010,2010,tonnes,246,Fb,Africa
4,Algeria,4025,Potassium nitrate,5157,Agricultural Use,2011,2011,tonnes,264.91,Fb,Africa
4,Algeria,4017,Potassium sulphate (sulphate of potash) (SOP),5157,Agricultural Use,2006,2006,tonnes,34417,Fb,Africa
4,Algeria,4017,Potassium sulphate (sulphate of potash) (SOP),5157,Agricultural Use,2008,2008,tonnes,26051,Fb,Africa
4,Algeria,4017,Potassium sulphate (sulphate of potash) (SOP),5157,Agricultural Use,2009,2009,tonnes,22168,Fb,Africa
4,Algeria,4017,Potassium sulphate (sulphate of potash) (SOP),5157,Agricultural Use,2010,2010,tonnes,29293.25,Fb,Africa
4,Algeria,4017,Potassium sulphate (sulphate of potash) (SOP),5157,Agricultural Use,2011,2011,tonnes,39767.83,Fb,Africa
4,Algeria,4012,Superphosphates above 35%,5157,Agricultural Use,2007,2007,tonnes,70000,Fb,Africa
4,Algeria,4012,Superphosphates above 35%,5157,Agricultural Use,2009,2009,tonnes,32810,E,Africa
4,Algeria,4012,Superphosphates above 35%,5157,Agricultural Use,2010,2010,tonnes,15000,E,Africa
4,Algeria,4012,Superphosphates above 35%,5157,Agricultural Use,2011,2011,tonnes,26576,Fb,Africa
4,Algeria,4012,Superphosphates above 35%,5157,Agricultural Use,2012,2012,tonnes,39000,Fm,Africa
4,Algeria,4012,Superphosphates above 35%,5157,Agricultural Use,2013,2013,tonnes,36000,Fm,Africa
4,Algeria,4012,Superphosphates above 35%,5157,Agricultural Use,2014,2014,tonnes,36000,Fm,Africa
4,Algeria,4012,Superphosphates above 35%,5157,Agricultural Use,2015,2015,tonnes,36000,Fm,Africa
4,Algeria,4012,Superphosphates above 35%,5157,Agricultural Use,2016,2016,tonnes,36000,Fm,Africa
4,Algeria,4013,"Superphosphates, other",5157,Agricultural Use,2007,2007,tonnes,7000,Fb,Africa
4,Algeria,4013,"Superphosphates, other",5157,Agricultural Use,2009,2009,tonnes,10000,Fb,Africa
4,Algeria,4013,"Superphosphates, other",5157,Agricultural Use,2010,2010,tonnes,15000,Fb,Africa
4,Algeria,4013,"Superphosphates, other",5157,Agricultural Use,2012,2012,tonnes,0,Fm,Africa
4,Algeria,4013,"Superphosphates, other",5157,Agricultural Use,2013,2013,tonnes,0,Fm,Africa
4,Algeria,4013,"Superphosphates, other",5157,Agricultural Use,2014,2014,tonnes,0,Fm,Africa
4,Algeria,4013,"Superphosphates, other",5157,Agricultural Use,2015,2015,tonnes,0,Fm,Africa
4,Algeria,4013,"Superphosphates, other",5157,Agricultural Use,2016,2016,tonnes,0,Fm,Africa
4,Algeria,4001,Urea,5157,Agricultural Use,2009,2009,tonnes,60729,Fb,Africa
4,Algeria,4001,Urea,5157,Agricultural Use,2010,2010,tonnes,86279,Fb,Africa
4,Algeria,4001,Urea,5157,Agricultural Use,2011,2011,tonnes,81131.01,Fb,Africa
4,Algeria,4001,Urea,5157,Agricultural Use,2012,2012,tonnes,62000,Fm,Africa
4,Algeria,4001,Urea,5157,Agricultural Use,2013,2013,tonnes,60000,Fm,Africa
4,Algeria,4001,Urea,5157,Agricultural Use,2014,2014,tonnes,92000,Fm,Africa
4,Algeria,4001,Urea,5157,Agricultural Use,2015,2015,tonnes,92000,Fm,Africa
4,Algeria,4001,Urea,5157,Agricultural Use,2016,2016,tonnes,92000,Fm,Africa
4,Algeria,4006,Urea and ammonium nitrate solutions (UAN),5157,Agricultural Use,2007,2007,tonnes,1,Fb,Africa
4,Algeria,4006,Urea and ammonium nitrate solutions (UAN),5157,Agricultural Use,2012,2012,tonnes,11000,Fm,Africa
4,Algeria,4006,Urea and ammonium nitrate solutions (UAN),5157,Agricultural Use,2013,2013,tonnes,5000,Fm,Africa
4,Algeria,4006,Urea and ammonium nitrate solutions (UAN),5157,Agricultural Use,2014,2014,tonnes,3000,Fm,Africa
4,Algeria,4006,Urea and ammonium nitrate solutions (UAN),5157,Agricultural Use,2015,2015,tonnes,3000,Fm,Africa
4,Algeria,4006,Urea and ammonium nitrate solutions (UAN),5157,Agricultural Use,2016,2016,tonnes,3000,Fm,Africa
7,Angola,4003,Ammonium nitrate (AN),5157,Agricultural Use,2006,2006,tonnes,4926,Fb,Africa
7,Angola,4003,Ammonium nitrate (AN),5157,Agricultural Use,2009,2009,tonnes,7275,Fb,Africa
7,Angola,4003,Ammonium nitrate (AN),5157,Agricultural Use,2010,2010,tonnes,3210,Fb,Africa
7,Angola,4003,Ammonium nitrate (AN),5157,Agricultural Use,2011,2011,tonnes,4936.54,Fb,Africa
7,Angola,4002,Ammonium sulphate,5157,Agricultural Use,2006,2006,tonnes,8213,Fb,Africa
7,Angola,4002,Ammonium sulphate,5157,Agricultural Use,2009,2009,tonnes,10563,Fb,Africa
7,Angola,4002,Ammonium sulphate,5157,Agricultural Use,2010,2010,tonnes,32674,Fb,Africa
7,Angola,4002,Ammonium sulphate,5157,Agricultural Use,2011,2011,tonnes,16213.86,Fb,Africa
7,Angola,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2007,2007,tonnes,50,Fb,Africa
7,Angola,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2008,2008,tonnes,5,Fb,Africa
7,Angola,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2009,2009,tonnes,35,Fb,Africa
7,Angola,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2011,2011,tonnes,20.34,Fb,Africa
7,Angola,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2007,2007,tonnes,51,Fb,Africa
7,Angola,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2009,2009,tonnes,1,Fb,Africa
7,Angola,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2010,2010,tonnes,1,Fb,Africa
7,Angola,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2011,2011,tonnes,47.66,Fb,Africa
7,Angola,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2008,2008,tonnes,23,Fb,Africa
7,Angola,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2009,2009,tonnes,12,Fb,Africa
7,Angola,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2010,2010,tonnes,80,Fb,Africa
7,Angola,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2011,2011,tonnes,20.71,Fb,Africa
7,Angola,4021,NPK fertilizers,5157,Agricultural Use,2006,2006,tonnes,9095,Fb,Africa
7,Angola,4021,NPK fertilizers,5157,Agricultural Use,2007,2007,tonnes,14424,E,Africa
7,Angola,4021,NPK fertilizers,5157,Agricultural Use,2008,2008,tonnes,25486,E,Africa
7,Angola,4021,NPK fertilizers,5157,Agricultural Use,2009,2009,tonnes,33418,E,Africa
7,Angola,4021,NPK fertilizers,5157,Agricultural Use,2010,2010,tonnes,55821,E,Africa
7,Angola,4021,NPK fertilizers,5157,Agricultural Use,2011,2011,tonnes,26837.24,Fb,Africa
7,Angola,4024,Other NP compounds,5157,Agricultural Use,2006,2006,tonnes,33,Fb,Africa
7,Angola,4024,Other NP compounds,5157,Agricultural Use,2007,2007,tonnes,245,E,Africa
7,Angola,4024,Other NP compounds,5157,Agricultural Use,2008,2008,tonnes,158,E,Africa
7,Angola,4024,Other NP compounds,5157,Agricultural Use,2009,2009,tonnes,1,E,Africa
7,Angola,4024,Other NP compounds,5157,Agricultural Use,2010,2010,tonnes,44,E,Africa
7,Angola,4024,Other NP compounds,5157,Agricultural Use,2011,2011,tonnes,81.43,E,Africa
7,Angola,4027,PK compounds,5157,Agricultural Use,2007,2007,tonnes,634,Fb,Africa
7,Angola,4027,PK compounds,5157,Agricultural Use,2008,2008,tonnes,82,Fb,Africa
7,Angola,4027,PK compounds,5157,Agricultural Use,2009,2009,tonnes,152,Fb,Africa
7,Angola,4027,PK compounds,5157,Agricultural Use,2010,2010,tonnes,35,Fb,Africa
7,Angola,4027,PK compounds,5157,Agricultural Use,2011,2011,tonnes,43501.32,Fb,Africa
7,Angola,4016,Potassium chloride (muriate of potash) (MOP),5157,Agricultural Use,2005,2005,tonnes,5000,Fb,Africa
7,Angola,4016,Potassium chloride (muriate of potash) (MOP),5157,Agricultural Use,2006,2006,tonnes,4482,Fb,Africa
7,Angola,4016,Potassium chloride (muriate of potash) (MOP),5157,Agricultural Use,2010,2010,tonnes,276,Fb,Africa
7,Angola,4016,Potassium chloride (muriate of potash) (MOP),5157,Agricultural Use,2011,2011,tonnes,6817.96,Fb,Africa
7,Angola,4025,Potassium nitrate,5157,Agricultural Use,2007,2007,tonnes,3,Fb,Africa
7,Angola,4025,Potassium nitrate,5157,Agricultural Use,2008,2008,tonnes,5,Fb,Africa
7,Angola,4025,Potassium nitrate,5157,Agricultural Use,2009,2009,tonnes,26,Fb,Africa
7,Angola,4025,Potassium nitrate,5157,Agricultural Use,2010,2010,tonnes,3,Fb,Africa
7,Angola,4025,Potassium nitrate,5157,Agricultural Use,2011,2011,tonnes,100.03,Fb,Africa
7,Angola,4017,Potassium sulphate (sulphate of potash) (SOP),5157,Agricultural Use,2009,2009,tonnes,53,Fb,Africa
