Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
4,Algeria,4007,"Ammonia, anhydrous",5510,Production,2012,2012,tonnes,859000,Fm,Africa
4,Algeria,4007,"Ammonia, anhydrous",5510,Production,2013,2013,tonnes,621000,Fm,Africa
4,Algeria,4007,"Ammonia, anhydrous",5510,Production,2014,2014,tonnes,810500,E,Africa
4,Algeria,4007,"Ammonia, anhydrous",5510,Production,2015,2015,tonnes,1000000,Fm,Africa
4,Algeria,4007,"Ammonia, anhydrous",5510,Production,2016,2016,tonnes,1130000,Fm,Africa
4,Algeria,4003,Ammonium nitrate (AN),5510,Production,2002,2002,tonnes,220000,Qm,Africa
4,Algeria,4003,Ammonium nitrate (AN),5510,Production,2003,2003,tonnes,302000,Qm,Africa
4,Algeria,4003,Ammonium nitrate (AN),5510,Production,2004,2004,tonnes,271000,Qm,Africa
4,Algeria,4003,Ammonium nitrate (AN),5510,Production,2005,2005,tonnes,215000,Qm,Africa
4,Algeria,4003,Ammonium nitrate (AN),5510,Production,2007,2007,tonnes,31000,Qm,Africa
4,Algeria,4003,Ammonium nitrate (AN),5510,Production,2008,2008,tonnes,8000,Qm,Africa
4,Algeria,4003,Ammonium nitrate (AN),5510,Production,2009,2009,tonnes,20000,Qm,Africa
4,Algeria,4003,Ammonium nitrate (AN),5510,Production,2010,2010,tonnes,15000,Qm,Africa
4,Algeria,4003,Ammonium nitrate (AN),5510,Production,2011,2011,tonnes,49000,Qm,Africa
4,Algeria,4003,Ammonium nitrate (AN),5510,Production,2012,2012,tonnes,13000,Fm,Africa
4,Algeria,4003,Ammonium nitrate (AN),5510,Production,2013,2013,tonnes,13000,Fm,Africa
4,Algeria,4003,Ammonium nitrate (AN),5510,Production,2014,2014,tonnes,85000,Fm,Africa
4,Algeria,4003,Ammonium nitrate (AN),5510,Production,2015,2015,tonnes,85000,Fm,Africa
4,Algeria,4003,Ammonium nitrate (AN),5510,Production,2016,2016,tonnes,85000,Fm,Africa
4,Algeria,4002,Ammonium sulphate,5510,Production,2008,2008,tonnes,10000,Qm,Africa
4,Algeria,4021,NPK fertilizers,5510,Production,2005,2005,tonnes,81000,Qm,Africa
4,Algeria,4021,NPK fertilizers,5510,Production,2006,2006,tonnes,91000,Qm,Africa
4,Algeria,4021,NPK fertilizers,5510,Production,2007,2007,tonnes,61000,Qm,Africa
4,Algeria,4021,NPK fertilizers,5510,Production,2008,2008,tonnes,42000,Qm,Africa
4,Algeria,4021,NPK fertilizers,5510,Production,2010,2010,tonnes,81000,Qm,Africa
4,Algeria,4021,NPK fertilizers,5510,Production,2011,2011,tonnes,48000,Qm,Africa
4,Algeria,4021,NPK fertilizers,5510,Production,2012,2012,tonnes,110000,Fm,Africa
4,Algeria,4021,NPK fertilizers,5510,Production,2013,2013,tonnes,120000,Fm,Africa
4,Algeria,4021,NPK fertilizers,5510,Production,2014,2014,tonnes,100000,Fm,Africa
4,Algeria,4021,NPK fertilizers,5510,Production,2015,2015,tonnes,100000,Fm,Africa
4,Algeria,4021,NPK fertilizers,5510,Production,2016,2016,tonnes,100000,Fm,Africa
4,Algeria,4011,Phosphate rock,5510,Production,2009,2009,tonnes,1800000,Fm,Africa
4,Algeria,4011,Phosphate rock,5510,Production,2010,2010,tonnes,1800000,Fm,Africa
4,Algeria,4011,Phosphate rock,5510,Production,2011,2011,tonnes,1500000,Fm,Africa
4,Algeria,4011,Phosphate rock,5510,Production,2012,2012,tonnes,1250000,Fm,Africa
4,Algeria,4011,Phosphate rock,5510,Production,2013,2013,tonnes,1500000,Fm,Africa
4,Algeria,4011,Phosphate rock,5510,Production,2014,2014,tonnes,1500000,Fm,Africa
4,Algeria,4011,Phosphate rock,5510,Production,2015,2015,tonnes,1400000,Fm,Africa
4,Algeria,4011,Phosphate rock,5510,Production,2016,2016,tonnes,1270000,Fm,Africa
4,Algeria,4025,Potassium nitrate,5510,Production,2004,2004,tonnes,67000,Qm,Africa
4,Algeria,4012,Superphosphates above 35%,5510,Production,2007,2007,tonnes,70000,Qm,Africa
4,Algeria,4012,Superphosphates above 35%,5510,Production,2008,2008,tonnes,6000,Qm,Africa
4,Algeria,4012,Superphosphates above 35%,5510,Production,2009,2009,tonnes,6000,Qm,Africa
4,Algeria,4012,Superphosphates above 35%,5510,Production,2011,2011,tonnes,9000,Qm,Africa
4,Algeria,4012,Superphosphates above 35%,5510,Production,2012,2012,tonnes,9000,Fm,Africa
4,Algeria,4012,Superphosphates above 35%,5510,Production,2013,2013,tonnes,6000,Fm,Africa
4,Algeria,4012,Superphosphates above 35%,5510,Production,2014,2014,tonnes,16000,Fm,Africa
4,Algeria,4012,Superphosphates above 35%,5510,Production,2015,2015,tonnes,16000,Fm,Africa
