Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
2,Afghanistan,4021,NPK fertilizers,5157,Agricultural Use,2002,2002,tonnes,17900,Fb,Asia
2,Afghanistan,4021,NPK fertilizers,5157,Agricultural Use,2003,2003,tonnes,33200,Fb,Asia
2,Afghanistan,4021,NPK fertilizers,5157,Agricultural Use,2004,2004,tonnes,47700,Fb,Asia
2,Afghanistan,4001,Urea,5157,Agricultural Use,2004,2004,tonnes,42300,Fb,Asia
2,Afghanistan,4001,Urea,5157,Agricultural Use,2005,2005,tonnes,20577,Fb,Asia
2,Afghanistan,4001,Urea,5157,Agricultural Use,2006,2006,tonnes,68253,Fb,Asia
2,Afghanistan,4001,Urea,5157,Agricultural Use,2007,2007,tonnes,61315,Fb,Asia
2,Afghanistan,4001,Urea,5157,Agricultural Use,2008,2008,tonnes,50628,Fb,Asia
2,Afghanistan,4001,Urea,5157,Agricultural Use,2009,2009,tonnes,76599,Fb,Asia
2,Afghanistan,4001,Urea,5157,Agricultural Use,2010,2010,tonnes,72084,Fb,Asia
2,Afghanistan,4001,Urea,5157,Agricultural Use,2011,2011,tonnes,107228,Fb,Asia
1,Armenia,4003,Ammonium nitrate (AN),5157,Agricultural Use,2002,2002,tonnes,26681,Fb,Asia
1,Armenia,4003,Ammonium nitrate (AN),5157,Agricultural Use,2003,2003,tonnes,18068,Fb,Asia
1,Armenia,4003,Ammonium nitrate (AN),5157,Agricultural Use,2004,2004,tonnes,9195,Fb,Asia
1,Armenia,4003,Ammonium nitrate (AN),5157,Agricultural Use,2005,2005,tonnes,4513,Fb,Asia
1,Armenia,4003,Ammonium nitrate (AN),5157,Agricultural Use,2006,2006,tonnes,465,Fb,Asia
1,Armenia,4003,Ammonium nitrate (AN),5157,Agricultural Use,2007,2007,tonnes,9402.47,Fb,Asia
1,Armenia,4003,Ammonium nitrate (AN),5157,Agricultural Use,2008,2008,tonnes,24157.77,Fb,Asia
1,Armenia,4003,Ammonium nitrate (AN),5157,Agricultural Use,2009,2009,tonnes,38713,Fb,Asia
1,Armenia,4003,Ammonium nitrate (AN),5157,Agricultural Use,2010,2010,tonnes,27606,Fb,Asia
1,Armenia,4003,Ammonium nitrate (AN),5157,Agricultural Use,2011,2011,tonnes,33647,Fb,Asia
1,Armenia,4002,Ammonium sulphate,5157,Agricultural Use,2002,2002,tonnes,18334,Fb,Asia
1,Armenia,4002,Ammonium sulphate,5157,Agricultural Use,2003,2003,tonnes,21290,Fb,Asia
1,Armenia,4002,Ammonium sulphate,5157,Agricultural Use,2004,2004,tonnes,39189,Fb,Asia
1,Armenia,4002,Ammonium sulphate,5157,Agricultural Use,2005,2005,tonnes,41560,Fb,Asia
1,Armenia,4002,Ammonium sulphate,5157,Agricultural Use,2006,2006,tonnes,56850.9,Fb,Asia
1,Armenia,4002,Ammonium sulphate,5157,Agricultural Use,2007,2007,tonnes,16950.63,Fb,Asia
1,Armenia,4002,Ammonium sulphate,5157,Agricultural Use,2008,2008,tonnes,144,Fb,Asia
1,Armenia,4002,Ammonium sulphate,5157,Agricultural Use,2009,2009,tonnes,2,Fb,Asia
1,Armenia,4002,Ammonium sulphate,5157,Agricultural Use,2010,2010,tonnes,3,Fb,Asia
1,Armenia,4002,Ammonium sulphate,5157,Agricultural Use,2011,2011,tonnes,5,Fb,Asia
1,Armenia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2004,2004,tonnes,247,Fb,Asia
1,Armenia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2007,2007,tonnes,356.7,Fb,Asia
1,Armenia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2009,2009,tonnes,6,Fb,Asia
1,Armenia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2010,2010,tonnes,58,Fb,Asia
1,Armenia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2011,2011,tonnes,204,Fb,Asia
1,Armenia,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2004,2004,tonnes,2319,Fb,Asia
