Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
2,Afghanistan,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2003,2003,1000 US$,1.51,R,Asia
2,Afghanistan,4030,Fertilizers n.e.c.,5922,Export Value,2011,2011,1000 US$,10,R,Asia
2,Afghanistan,4030,Fertilizers n.e.c.,5922,Export Value,2015,2015,1000 US$,16,R,Asia
2,Afghanistan,4030,Fertilizers n.e.c.,5922,Export Value,2017,2017,1000 US$,2.02,R,Asia
2,Afghanistan,4023,Monoammonium phosphate (MAP),5922,Export Value,2003,2003,1000 US$,58.81,R,Asia
2,Afghanistan,4021,NPK fertilizers,5922,Export Value,2008,2008,1000 US$,1872.21,R,Asia
2,Afghanistan,4021,NPK fertilizers,5922,Export Value,2010,2010,1000 US$,15.45,R,Asia
2,Afghanistan,4008,"Other nitrogenous fertilizers, n.e.c.",5922,Export Value,2002,2002,1000 US$,1.57,R,Asia
2,Afghanistan,4008,"Other nitrogenous fertilizers, n.e.c.",5922,Export Value,2003,2003,1000 US$,9.65,R,Asia
2,Afghanistan,4008,"Other nitrogenous fertilizers, n.e.c.",5922,Export Value,2017,2017,1000 US$,1.09,R,Asia
2,Afghanistan,4011,Phosphate rock,5922,Export Value,2002,2002,1000 US$,459.11,R,Asia
2,Afghanistan,4017,Potassium sulphate (sulphate of potash) (SOP),5922,Export Value,2012,2012,1000 US$,19.64,R,Asia
2,Afghanistan,4001,Urea,5922,Export Value,2002,2002,1000 US$,6.63,R,Asia
2,Afghanistan,4001,Urea,5922,Export Value,2005,2005,1000 US$,11.48,R,Asia
2,Afghanistan,4001,Urea,5922,Export Value,2008,2008,1000 US$,22.8,R,Asia
2,Afghanistan,4001,Urea,5922,Export Value,2014,2014,1000 US$,32.04,R,Asia
2,Afghanistan,4001,Urea,5922,Export Value,2016,2016,1000 US$,12.28,R,Asia
1,Armenia,4003,Ammonium nitrate (AN),5922,Export Value,2007,2007,1000 US$,0.01,Qm,Asia
1,Armenia,4003,Ammonium nitrate (AN),5922,Export Value,2012,2012,1000 US$,26.1,Qm,Asia
1,Armenia,4003,Ammonium nitrate (AN),5922,Export Value,2015,2015,1000 US$,33.26,Qm,Asia
1,Armenia,4003,Ammonium nitrate (AN),5922,Export Value,2017,2017,1000 US$,25.22,Qm,Asia
1,Armenia,4030,Fertilizers n.e.c.,5922,Export Value,2006,2006,1000 US$,0.11,Qm,Asia
1,Armenia,4030,Fertilizers n.e.c.,5922,Export Value,2016,2016,1000 US$,0,Qm,Asia
1,Armenia,4021,NPK fertilizers,5922,Export Value,2011,2011,1000 US$,4.61,Qm,Asia
1,Armenia,4021,NPK fertilizers,5922,Export Value,2012,2012,1000 US$,0.4,Qm,Asia
1,Armenia,4021,NPK fertilizers,5922,Export Value,2014,2014,1000 US$,5.92,Qm,Asia
