Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
2,Afghanistan,4007,"Ammonia, anhydrous",5622,Import Value,2011,2011,1000 US$,2.69,R,Asia
2,Afghanistan,4007,"Ammonia, anhydrous",5622,Import Value,2014,2014,1000 US$,1.07,R,Asia
2,Afghanistan,4007,"Ammonia, anhydrous",5622,Import Value,2017,2017,1000 US$,1.24,R,Asia
2,Afghanistan,4003,Ammonium nitrate (AN),5622,Import Value,2002,2002,1000 US$,123.24,R,Asia
2,Afghanistan,4003,Ammonium nitrate (AN),5622,Import Value,2007,2007,1000 US$,7.18,R,Asia
2,Afghanistan,4003,Ammonium nitrate (AN),5622,Import Value,2012,2012,1000 US$,445.8,R,Asia
2,Afghanistan,4003,Ammonium nitrate (AN),5622,Import Value,2013,2013,1000 US$,2.8,R,Asia
2,Afghanistan,4002,Ammonium sulphate,5622,Import Value,2003,2003,1000 US$,0.02,R,Asia
2,Afghanistan,4002,Ammonium sulphate,5622,Import Value,2006,2006,1000 US$,0.83,R,Asia
2,Afghanistan,4002,Ammonium sulphate,5622,Import Value,2016,2016,1000 US$,2.53,R,Asia
2,Afghanistan,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2007,2007,1000 US$,43.93,R,Asia
2,Afghanistan,4022,Diammonium phosphate (DAP),5622,Import Value,2004,2004,1000 US$,984.99,R,Asia
2,Afghanistan,4022,Diammonium phosphate (DAP),5622,Import Value,2005,2005,1000 US$,1656.53,R,Asia
2,Afghanistan,4022,Diammonium phosphate (DAP),5622,Import Value,2006,2006,1000 US$,331.86,R,Asia
2,Afghanistan,4022,Diammonium phosphate (DAP),5622,Import Value,2011,2011,1000 US$,81.18,R,Asia
2,Afghanistan,4022,Diammonium phosphate (DAP),5622,Import Value,2014,2014,1000 US$,485.08,R,Asia
2,Afghanistan,4022,Diammonium phosphate (DAP),5622,Import Value,2015,2015,1000 US$,3131.97,R,Asia
2,Afghanistan,4022,Diammonium phosphate (DAP),5622,Import Value,2016,2016,1000 US$,9143.51,R,Asia
2,Afghanistan,4022,Diammonium phosphate (DAP),5622,Import Value,2017,2017,1000 US$,7232.07,R,Asia
2,Afghanistan,4030,Fertilizers n.e.c.,5622,Import Value,2003,2003,1000 US$,1003.58,R,Asia
2,Afghanistan,4030,Fertilizers n.e.c.,5622,Import Value,2004,2004,1000 US$,2869.47,R,Asia
2,Afghanistan,4030,Fertilizers n.e.c.,5622,Import Value,2005,2005,1000 US$,1172.06,R,Asia
2,Afghanistan,4030,Fertilizers n.e.c.,5622,Import Value,2006,2006,1000 US$,325.02,R,Asia
2,Afghanistan,4030,Fertilizers n.e.c.,5622,Import Value,2007,2007,1000 US$,48.5,R,Asia
2,Afghanistan,4030,Fertilizers n.e.c.,5622,Import Value,2009,2009,1000 US$,1.28,R,Asia
2,Afghanistan,4030,Fertilizers n.e.c.,5622,Import Value,2010,2010,1000 US$,954.45,R,Asia
2,Afghanistan,4030,Fertilizers n.e.c.,5622,Import Value,2011,2011,1000 US$,987.1,R,Asia
