Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
2,Afghanistan,4022,Diammonium phosphate (DAP),5510,Production,2013,2013,tonnes,3346,Qm,Asia
2,Afghanistan,4022,Diammonium phosphate (DAP),5510,Production,2014,2014,tonnes,3346,Fm,Asia
2,Afghanistan,4022,Diammonium phosphate (DAP),5510,Production,2015,2015,tonnes,3346,Fm,Asia
2,Afghanistan,4022,Diammonium phosphate (DAP),5510,Production,2016,2016,tonnes,3346,Fm,Asia
2,Afghanistan,4001,Urea,5510,Production,2002,2002,tonnes,50900,Qm,Asia
2,Afghanistan,4001,Urea,5510,Production,2003,2003,tonnes,35230,Qm,Asia
2,Afghanistan,4001,Urea,5510,Production,2004,2004,tonnes,42300,Qm,Asia
2,Afghanistan,4001,Urea,5510,Production,2005,2005,tonnes,33980,Qm,Asia
2,Afghanistan,4001,Urea,5510,Production,2006,2006,tonnes,38340,Qm,Asia
2,Afghanistan,4001,Urea,5510,Production,2007,2007,tonnes,36897,Qm,Asia
2,Afghanistan,4001,Urea,5510,Production,2008,2008,tonnes,33314,Qm,Asia
2,Afghanistan,4001,Urea,5510,Production,2009,2009,tonnes,29579,Qm,Asia
2,Afghanistan,4001,Urea,5510,Production,2010,2010,tonnes,26135,Qm,Asia
2,Afghanistan,4001,Urea,5510,Production,2011,2011,tonnes,36834,Qm,Asia
2,Afghanistan,4001,Urea,5510,Production,2012,2012,tonnes,33904,Qm,Asia
2,Afghanistan,4001,Urea,5510,Production,2013,2013,tonnes,32807,Qm,Asia
2,Afghanistan,4001,Urea,5510,Production,2014,2014,tonnes,31340,Qm,Asia
2,Afghanistan,4001,Urea,5510,Production,2015,2015,tonnes,31340,Fm,Asia
2,Afghanistan,4001,Urea,5510,Production,2016,2016,tonnes,31340,Fm,Asia
13,Bahrain,4001,Urea,5510,Production,2002,2002,tonnes,631000,Qm,Asia
13,Bahrain,4001,Urea,5510,Production,2003,2003,tonnes,567000,Qm,Asia
13,Bahrain,4001,Urea,5510,Production,2004,2004,tonnes,510000,Qm,Asia
13,Bahrain,4001,Urea,5510,Production,2005,2005,tonnes,561058,Qm,Asia
13,Bahrain,4001,Urea,5510,Production,2006,2006,tonnes,624682,Qm,Asia
13,Bahrain,4001,Urea,5510,Production,2007,2007,tonnes,584763,Qm,Asia
13,Bahrain,4001,Urea,5510,Production,2008,2008,tonnes,661000,Qm,Asia
13,Bahrain,4001,Urea,5510,Production,2009,2009,tonnes,654000,Qm,Asia
13,Bahrain,4001,Urea,5510,Production,2010,2010,tonnes,629000,Qm,Asia
13,Bahrain,4001,Urea,5510,Production,2011,2011,tonnes,674000,Qm,Asia
13,Bahrain,4001,Urea,5510,Production,2012,2012,tonnes,627000,Qm,Asia
13,Bahrain,4001,Urea,5510,Production,2013,2013,tonnes,688000,Fm,Asia
13,Bahrain,4001,Urea,5510,Production,2014,2014,tonnes,694000,Fm,Asia
13,Bahrain,4001,Urea,5510,Production,2015,2015,tonnes,694000,Fm,Asia
13,Bahrain,4001,Urea,5510,Production,2016,2016,tonnes,694000,Fm,Asia
16,Bangladesh,4002,Ammonium sulphate,5510,Production,2003,2003,tonnes,7000,E,Asia
16,Bangladesh,4002,Ammonium sulphate,5510,Production,2004,2004,tonnes,5750,Qm,Asia
16,Bangladesh,4002,Ammonium sulphate,5510,Production,2005,2005,tonnes,7750,Qm,Asia
16,Bangladesh,4002,Ammonium sulphate,5510,Production,2006,2006,tonnes,4910,Qm,Asia
16,Bangladesh,4002,Ammonium sulphate,5510,Production,2007,2007,tonnes,5000,Qm,Asia
16,Bangladesh,4022,Diammonium phosphate (DAP),5510,Production,2008,2008,tonnes,80000,Qm,Asia
16,Bangladesh,4022,Diammonium phosphate (DAP),5510,Production,2009,2009,tonnes,29000,Qm,Asia
16,Bangladesh,4022,Diammonium phosphate (DAP),5510,Production,2010,2010,tonnes,32000,Qm,Asia
16,Bangladesh,4022,Diammonium phosphate (DAP),5510,Production,2011,2011,tonnes,40000,Qm,Asia
16,Bangladesh,4022,Diammonium phosphate (DAP),5510,Production,2012,2012,tonnes,48000,Qm,Asia
16,Bangladesh,4022,Diammonium phosphate (DAP),5510,Production,2013,2013,tonnes,28000,Qm,Asia
16,Bangladesh,4022,Diammonium phosphate (DAP),5510,Production,2014,2014,tonnes,48000,Qm,Asia
16,Bangladesh,4022,Diammonium phosphate (DAP),5510,Production,2015,2015,tonnes,63000,Qm,Asia
16,Bangladesh,4022,Diammonium phosphate (DAP),5510,Production,2016,2016,tonnes,102000,Qm,Asia
16,Bangladesh,4021,NPK fertilizers,5510,Production,2004,2004,tonnes,57000,Qm,Asia
16,Bangladesh,4021,NPK fertilizers,5510,Production,2005,2005,tonnes,100000,Qm,Asia
16,Bangladesh,4021,NPK fertilizers,5510,Production,2006,2006,tonnes,125000,Qm,Asia
16,Bangladesh,4012,Superphosphates above 35%,5510,Production,2003,2003,tonnes,65220,Qm,Asia
16,Bangladesh,4012,Superphosphates above 35%,5510,Production,2004,2004,tonnes,67000,Qm,Asia
16,Bangladesh,4012,Superphosphates above 35%,5510,Production,2005,2005,tonnes,53840,Qm,Asia
16,Bangladesh,4012,Superphosphates above 35%,5510,Production,2006,2006,tonnes,56390,Qm,Asia
16,Bangladesh,4012,Superphosphates above 35%,5510,Production,2007,2007,tonnes,50000,Qm,Asia
16,Bangladesh,4012,Superphosphates above 35%,5510,Production,2008,2008,tonnes,47000,Qm,Asia
16,Bangladesh,4012,Superphosphates above 35%,5510,Production,2009,2009,tonnes,24000,Qm,Asia
16,Bangladesh,4012,Superphosphates above 35%,5510,Production,2010,2010,tonnes,77000,Qm,Asia
16,Bangladesh,4012,Superphosphates above 35%,5510,Production,2011,2011,tonnes,63000,Qm,Asia
16,Bangladesh,4012,Superphosphates above 35%,5510,Production,2012,2012,tonnes,65000,Qm,Asia
