Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
17,Bermuda,4007,"Ammonia, anhydrous",5157,Agricultural Use,2013,2013,tonnes,10,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5157,Agricultural Use,2014,2014,tonnes,3,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5157,Agricultural Use,2015,2015,tonnes,0,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5157,Agricultural Use,2016,2016,tonnes,0.01,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5157,Agricultural Use,2017,2017,tonnes,1,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5157,Agricultural Use,2013,2013,tonnes,0,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5157,Agricultural Use,2014,2014,tonnes,0,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5157,Agricultural Use,2015,2015,tonnes,0,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5157,Agricultural Use,2016,2016,tonnes,0,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5157,Agricultural Use,2017,2017,tonnes,0,Qm,central America
17,Bermuda,4002,Ammonium sulphate,5157,Agricultural Use,2013,2013,tonnes,0,Qm,central America
17,Bermuda,4002,Ammonium sulphate,5157,Agricultural Use,2014,2014,tonnes,10,Qm,central America
17,Bermuda,4002,Ammonium sulphate,5157,Agricultural Use,2015,2015,tonnes,0,Qm,central America
17,Bermuda,4002,Ammonium sulphate,5157,Agricultural Use,2016,2016,tonnes,0.02,Qm,central America
17,Bermuda,4002,Ammonium sulphate,5157,Agricultural Use,2017,2017,tonnes,0,Qm,central America
17,Bermuda,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2013,2013,tonnes,11,Qm,central America
17,Bermuda,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2014,2014,tonnes,0,Qm,central America
17,Bermuda,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2015,2015,tonnes,0,Qm,central America
