Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
17,Bermuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2010,2010,tonnes,16.51,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2011,2011,tonnes,13.55,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2012,2012,tonnes,0,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2013,2013,tonnes,10.18,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2014,2014,tonnes,2.62,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2015,2015,tonnes,0.24,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2016,2016,tonnes,0.01,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2017,2017,tonnes,0.52,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5610,Import Quantity,2011,2011,tonnes,12.53,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5610,Import Quantity,2012,2012,tonnes,0,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5610,Import Quantity,2013,2013,tonnes,0.1,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5610,Import Quantity,2014,2014,tonnes,0.1,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5610,Import Quantity,2015,2015,tonnes,0,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5610,Import Quantity,2017,2017,tonnes,0,Qm,central America
17,Bermuda,4002,Ammonium sulphate,5610,Import Quantity,2016,2016,tonnes,0,Qm,central America
17,Bermuda,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5610,Import Quantity,2013,2013,tonnes,11.22,Qm,central America
17,Bermuda,4022,Diammonium phosphate (DAP),5610,Import Quantity,2017,2017,tonnes,0.03,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2004,2004,tonnes,4.74,R,central America
17,Bermuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2010,2010,tonnes,55.03,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2011,2011,tonnes,81.21,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2012,2012,tonnes,0,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2013,2013,tonnes,55.64,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2014,2014,tonnes,34.89,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2015,2015,tonnes,41.96,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2016,2016,tonnes,59.52,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2017,2017,tonnes,48.84,Qm,central America
17,Bermuda,4023,Monoammonium phosphate (MAP),5610,Import Quantity,2016,2016,tonnes,0.02,Qm,central America
17,Bermuda,4023,Monoammonium phosphate (MAP),5610,Import Quantity,2017,2017,tonnes,0.01,Qm,central America
17,Bermuda,4021,NPK fertilizers,5610,Import Quantity,2002,2002,tonnes,20,R,central America
17,Bermuda,4021,NPK fertilizers,5610,Import Quantity,2003,2003,tonnes,50.93,R,central America
17,Bermuda,4021,NPK fertilizers,5610,Import Quantity,2004,2004,tonnes,86.43,R,central America
17,Bermuda,4021,NPK fertilizers,5610,Import Quantity,2010,2010,tonnes,241.8,Qm,central America
17,Bermuda,4021,NPK fertilizers,5610,Import Quantity,2011,2011,tonnes,254.6,Qm,central America
17,Bermuda,4021,NPK fertilizers,5610,Import Quantity,2012,2012,tonnes,0,Qm,central America
17,Bermuda,4021,NPK fertilizers,5610,Import Quantity,2013,2013,tonnes,134.05,Qm,central America
17,Bermuda,4021,NPK fertilizers,5610,Import Quantity,2014,2014,tonnes,127.69,Qm,central America
