Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
17,Bermuda,4007,"Ammonia, anhydrous",5622,Import Value,2010,2010,1000 US$,4.86,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5622,Import Value,2011,2011,1000 US$,5.47,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5622,Import Value,2012,2012,1000 US$,5.44,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5622,Import Value,2013,2013,1000 US$,14.85,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5622,Import Value,2014,2014,1000 US$,2.21,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5622,Import Value,2015,2015,1000 US$,1.68,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5622,Import Value,2016,2016,1000 US$,0.15,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5622,Import Value,2017,2017,1000 US$,1.95,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5622,Import Value,2011,2011,1000 US$,4.91,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5622,Import Value,2012,2012,1000 US$,2.56,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5622,Import Value,2013,2013,1000 US$,0.54,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5622,Import Value,2014,2014,1000 US$,0.08,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5622,Import Value,2015,2015,1000 US$,0.04,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5622,Import Value,2017,2017,1000 US$,0.01,Qm,central America
17,Bermuda,4002,Ammonium sulphate,5622,Import Value,2016,2016,1000 US$,0.01,Qm,central America
17,Bermuda,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2013,2013,1000 US$,1.82,Qm,central America
17,Bermuda,4022,Diammonium phosphate (DAP),5622,Import Value,2017,2017,1000 US$,0.21,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5622,Import Value,2004,2004,1000 US$,1.92,R,central America
17,Bermuda,4030,Fertilizers n.e.c.,5622,Import Value,2010,2010,1000 US$,94.24,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5622,Import Value,2011,2011,1000 US$,119.05,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5622,Import Value,2012,2012,1000 US$,69.15,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5622,Import Value,2013,2013,1000 US$,76.32,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5622,Import Value,2014,2014,1000 US$,90.05,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5622,Import Value,2015,2015,1000 US$,74.89,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5622,Import Value,2016,2016,1000 US$,97.29,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5622,Import Value,2017,2017,1000 US$,182.19,Qm,central America
17,Bermuda,4023,Monoammonium phosphate (MAP),5622,Import Value,2016,2016,1000 US$,0.24,Qm,central America
17,Bermuda,4023,Monoammonium phosphate (MAP),5622,Import Value,2017,2017,1000 US$,0.05,Qm,central America
17,Bermuda,4021,NPK fertilizers,5622,Import Value,2002,2002,1000 US$,8.03,R,central America
17,Bermuda,4021,NPK fertilizers,5622,Import Value,2003,2003,1000 US$,15.16,R,central America
17,Bermuda,4021,NPK fertilizers,5622,Import Value,2004,2004,1000 US$,24.43,R,central America
17,Bermuda,4021,NPK fertilizers,5622,Import Value,2010,2010,1000 US$,254.06,Qm,central America
17,Bermuda,4021,NPK fertilizers,5622,Import Value,2011,2011,1000 US$,195.43,Qm,central America
17,Bermuda,4021,NPK fertilizers,5622,Import Value,2012,2012,1000 US$,268.08,Qm,central America
17,Bermuda,4021,NPK fertilizers,5622,Import Value,2013,2013,1000 US$,261.02,Qm,central America
17,Bermuda,4021,NPK fertilizers,5622,Import Value,2014,2014,1000 US$,247.53,Qm,central America
17,Bermuda,4021,NPK fertilizers,5622,Import Value,2015,2015,1000 US$,205.02,Qm,central America
17,Bermuda,4021,NPK fertilizers,5622,Import Value,2016,2016,1000 US$,139.99,Qm,central America
17,Bermuda,4021,NPK fertilizers,5622,Import Value,2017,2017,1000 US$,176.27,Qm,central America
17,Bermuda,4008,"Other nitrogenous fertilizers, n.e.c.",5622,Import Value,2004,2004,1000 US$,1.58,R,central America
17,Bermuda,4008,"Other nitrogenous fertilizers, n.e.c.",5622,Import Value,2010,2010,1000 US$,113.57,Qm,central America
17,Bermuda,4008,"Other nitrogenous fertilizers, n.e.c.",5622,Import Value,2011,2011,1000 US$,159.96,Qm,central America
17,Bermuda,4008,"Other nitrogenous fertilizers, n.e.c.",5622,Import Value,2012,2012,1000 US$,113.1,Qm,central America
