Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
17,Bermuda,4007,"Ammonia, anhydrous",5510,Production,2014,2014,tonnes,0,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5510,Production,2015,2015,tonnes,0,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5510,Production,2016,2016,tonnes,0,Qm,central America
17,Bermuda,4007,"Ammonia, anhydrous",5510,Production,2017,2017,tonnes,0,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5510,Production,2014,2014,tonnes,0,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5510,Production,2015,2015,tonnes,0,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5510,Production,2016,2016,tonnes,0,Qm,central America
17,Bermuda,4003,Ammonium nitrate (AN),5510,Production,2017,2017,tonnes,0,Qm,central America
17,Bermuda,4002,Ammonium sulphate,5510,Production,2014,2014,tonnes,0,Qm,central America
17,Bermuda,4002,Ammonium sulphate,5510,Production,2015,2015,tonnes,0,Qm,central America
17,Bermuda,4002,Ammonium sulphate,5510,Production,2016,2016,tonnes,0,Qm,central America
17,Bermuda,4002,Ammonium sulphate,5510,Production,2017,2017,tonnes,0,Qm,central America
17,Bermuda,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2014,2014,tonnes,0,Qm,central America
17,Bermuda,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2015,2015,tonnes,0,Qm,central America
17,Bermuda,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2016,2016,tonnes,0,Qm,central America
17,Bermuda,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2017,2017,tonnes,0,Qm,central America
17,Bermuda,4022,Diammonium phosphate (DAP),5510,Production,2014,2014,tonnes,0,Qm,central America
17,Bermuda,4022,Diammonium phosphate (DAP),5510,Production,2015,2015,tonnes,0,Qm,central America
17,Bermuda,4022,Diammonium phosphate (DAP),5510,Production,2016,2016,tonnes,0,Qm,central America
17,Bermuda,4022,Diammonium phosphate (DAP),5510,Production,2017,2017,tonnes,0,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5510,Production,2014,2014,tonnes,0,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5510,Production,2015,2015,tonnes,0,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5510,Production,2016,2016,tonnes,0,Qm,central America
17,Bermuda,4030,Fertilizers n.e.c.,5510,Production,2017,2017,tonnes,0,Qm,central America
17,Bermuda,4023,Monoammonium phosphate (MAP),5510,Production,2014,2014,tonnes,0,Qm,central America
17,Bermuda,4023,Monoammonium phosphate (MAP),5510,Production,2015,2015,tonnes,0,Qm,central America
17,Bermuda,4023,Monoammonium phosphate (MAP),5510,Production,2016,2016,tonnes,0,Qm,central America
17,Bermuda,4023,Monoammonium phosphate (MAP),5510,Production,2017,2017,tonnes,0,Qm,central America
17,Bermuda,4021,NPK fertilizers,5510,Production,2014,2014,tonnes,0,Qm,central America
17,Bermuda,4021,NPK fertilizers,5510,Production,2015,2015,tonnes,0,Qm,central America
17,Bermuda,4021,NPK fertilizers,5510,Production,2016,2016,tonnes,0,Qm,central America
17,Bermuda,4021,NPK fertilizers,5510,Production,2017,2017,tonnes,0,Qm,central America
17,Bermuda,4008,"Other nitrogenous fertilizers, n.e.c.",5510,Production,2014,2014,tonnes,0,Qm,central America
17,Bermuda,4008,"Other nitrogenous fertilizers, n.e.c.",5510,Production,2015,2015,tonnes,0,Qm,central America
17,Bermuda,4008,"Other nitrogenous fertilizers, n.e.c.",5510,Production,2016,2016,tonnes,0,Qm,central America
17,Bermuda,4008,"Other nitrogenous fertilizers, n.e.c.",5510,Production,2017,2017,tonnes,0,Qm,central America
17,Bermuda,4026,Other NK compounds,5510,Production,2014,2014,tonnes,0,Qm,central America
