Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
3,Albania,4003,Ammonium nitrate (AN),5157,Agricultural Use,2002,2002,tonnes,46293,W,Europe
3,Albania,4003,Ammonium nitrate (AN),5157,Agricultural Use,2003,2003,tonnes,44687,W,Europe
3,Albania,4003,Ammonium nitrate (AN),5157,Agricultural Use,2004,2004,tonnes,44401,W,Europe
3,Albania,4003,Ammonium nitrate (AN),5157,Agricultural Use,2005,2005,tonnes,46582,W,Europe
3,Albania,4003,Ammonium nitrate (AN),5157,Agricultural Use,2006,2006,tonnes,35515,W,Europe
3,Albania,4003,Ammonium nitrate (AN),5157,Agricultural Use,2007,2007,tonnes,36037,W,Europe
3,Albania,4003,Ammonium nitrate (AN),5157,Agricultural Use,2008,2008,tonnes,33689,W,Europe
3,Albania,4003,Ammonium nitrate (AN),5157,Agricultural Use,2009,2009,tonnes,38464,W,Europe
3,Albania,4003,Ammonium nitrate (AN),5157,Agricultural Use,2010,2010,tonnes,34993,W,Europe
3,Albania,4003,Ammonium nitrate (AN),5157,Agricultural Use,2011,2011,tonnes,36736,W,Europe
3,Albania,4003,Ammonium nitrate (AN),5157,Agricultural Use,2012,2012,tonnes,35791,W,Europe
3,Albania,4003,Ammonium nitrate (AN),5157,Agricultural Use,2013,2013,tonnes,32864.2,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5157,Agricultural Use,2014,2014,tonnes,32864,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5157,Agricultural Use,2015,2015,tonnes,37586,E,Europe
3,Albania,4003,Ammonium nitrate (AN),5157,Agricultural Use,2016,2016,tonnes,42308,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5157,Agricultural Use,2017,2017,tonnes,43967,Qm,Europe
3,Albania,4002,Ammonium sulphate,5157,Agricultural Use,2005,2005,tonnes,18,Fb,Europe
3,Albania,4002,Ammonium sulphate,5157,Agricultural Use,2006,2006,tonnes,45,Fb,Europe
3,Albania,4002,Ammonium sulphate,5157,Agricultural Use,2007,2007,tonnes,54,Fb,Europe
3,Albania,4002,Ammonium sulphate,5157,Agricultural Use,2017,2017,tonnes,12,Qm,Europe
3,Albania,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2005,2005,tonnes,2,Fb,Europe
3,Albania,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2006,2006,tonnes,5,Fb,Europe
3,Albania,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2007,2007,tonnes,118,Fb,Europe
3,Albania,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2002,2002,tonnes,39537,W,Europe
3,Albania,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2003,2003,tonnes,43540,W,Europe
3,Albania,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2004,2004,tonnes,25928,W,Europe
3,Albania,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2005,2005,tonnes,27535,W,Europe
3,Albania,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2006,2006,tonnes,22952,W,Europe
3,Albania,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2007,2007,tonnes,23957,W,Europe
3,Albania,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2008,2008,tonnes,20696,W,Europe
3,Albania,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2009,2009,tonnes,24710,W,Europe
3,Albania,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2010,2010,tonnes,26889,W,Europe
3,Albania,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2011,2011,tonnes,29262,W,Europe
3,Albania,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2012,2012,tonnes,25657,Qm,Europe
3,Albania,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2013,2013,tonnes,26460.9,Qm,Europe
3,Albania,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2014,2014,tonnes,26461,Qm,Europe
3,Albania,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2015,2015,tonnes,30010.5,E,Europe
3,Albania,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2016,2016,tonnes,33560,Qm,Europe
3,Albania,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2017,2017,tonnes,3181,Qm,Europe
3,Albania,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2006,2006,tonnes,24,Fb,Europe
3,Albania,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2007,2007,tonnes,71,Fb,Europe
3,Albania,4021,NPK fertilizers,5157,Agricultural Use,2004,2004,tonnes,754,W,Europe
3,Albania,4021,NPK fertilizers,5157,Agricultural Use,2005,2005,tonnes,743,W,Europe
3,Albania,4021,NPK fertilizers,5157,Agricultural Use,2006,2006,tonnes,947,W,Europe
3,Albania,4021,NPK fertilizers,5157,Agricultural Use,2007,2007,tonnes,2172,W,Europe
3,Albania,4021,NPK fertilizers,5157,Agricultural Use,2008,2008,tonnes,2824,W,Europe
3,Albania,4021,NPK fertilizers,5157,Agricultural Use,2009,2009,tonnes,1650,W,Europe
3,Albania,4021,NPK fertilizers,5157,Agricultural Use,2010,2010,tonnes,1994,W,Europe
3,Albania,4021,NPK fertilizers,5157,Agricultural Use,2011,2011,tonnes,2468,W,Europe
3,Albania,4021,NPK fertilizers,5157,Agricultural Use,2012,2012,tonnes,3366,W,Europe
3,Albania,4021,NPK fertilizers,5157,Agricultural Use,2013,2013,tonnes,3520,Qm,Europe
3,Albania,4021,NPK fertilizers,5157,Agricultural Use,2014,2014,tonnes,3520,Qm,Europe
3,Albania,4021,NPK fertilizers,5157,Agricultural Use,2015,2015,tonnes,3560,E,Europe
3,Albania,4021,NPK fertilizers,5157,Agricultural Use,2016,2016,tonnes,3600,Qm,Europe
3,Albania,4021,NPK fertilizers,5157,Agricultural Use,2017,2017,tonnes,2105,Qm,Europe
3,Albania,4024,Other NP compounds,5157,Agricultural Use,2007,2007,tonnes,1997,E,Europe
3,Albania,4024,Other NP compounds,5157,Agricultural Use,2008,2008,tonnes,2727,E,Europe
3,Albania,4024,Other NP compounds,5157,Agricultural Use,2009,2009,tonnes,1835,E,Europe
3,Albania,4027,PK compounds,5157,Agricultural Use,2005,2005,tonnes,1500,Fb,Europe
3,Albania,4027,PK compounds,5157,Agricultural Use,2006,2006,tonnes,38,Fb,Europe
3,Albania,4027,PK compounds,5157,Agricultural Use,2007,2007,tonnes,148,Fb,Europe
3,Albania,4016,Potassium chloride (muriate of potash) (MOP),5157,Agricultural Use,2005,2005,tonnes,26,Fb,Europe
3,Albania,4016,Potassium chloride (muriate of potash) (MOP),5157,Agricultural Use,2006,2006,tonnes,27,Fb,Europe
3,Albania,4016,Potassium chloride (muriate of potash) (MOP),5157,Agricultural Use,2007,2007,tonnes,10,Fb,Europe
3,Albania,4025,Potassium nitrate,5157,Agricultural Use,2005,2005,tonnes,9,Fb,Europe
3,Albania,4025,Potassium nitrate,5157,Agricultural Use,2006,2006,tonnes,39,Fb,Europe
3,Albania,4025,Potassium nitrate,5157,Agricultural Use,2007,2007,tonnes,11,Fb,Europe
3,Albania,4017,Potassium sulphate (sulphate of potash) (SOP),5157,Agricultural Use,2005,2005,tonnes,147,Fb,Europe
3,Albania,4017,Potassium sulphate (sulphate of potash) (SOP),5157,Agricultural Use,2006,2006,tonnes,89,Fb,Europe
3,Albania,4017,Potassium sulphate (sulphate of potash) (SOP),5157,Agricultural Use,2007,2007,tonnes,4,Fb,Europe
3,Albania,4017,Potassium sulphate (sulphate of potash) (SOP),5157,Agricultural Use,2013,2013,tonnes,528,Qm,Europe
3,Albania,4017,Potassium sulphate (sulphate of potash) (SOP),5157,Agricultural Use,2014,2014,tonnes,528,Qm,Europe
3,Albania,4017,Potassium sulphate (sulphate of potash) (SOP),5157,Agricultural Use,2015,2015,tonnes,527.5,E,Europe
3,Albania,4017,Potassium sulphate (sulphate of potash) (SOP),5157,Agricultural Use,2016,2016,tonnes,527,Qm,Europe
3,Albania,4017,Potassium sulphate (sulphate of potash) (SOP),5157,Agricultural Use,2017,2017,tonnes,637,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5157,Agricultural Use,2004,2004,tonnes,22354,W,Europe
3,Albania,4012,Superphosphates above 35%,5157,Agricultural Use,2005,2005,tonnes,22518,W,Europe
3,Albania,4012,Superphosphates above 35%,5157,Agricultural Use,2006,2006,tonnes,19419,W,Europe
3,Albania,4012,Superphosphates above 35%,5157,Agricultural Use,2007,2007,tonnes,17285,W,Europe
3,Albania,4012,Superphosphates above 35%,5157,Agricultural Use,2008,2008,tonnes,17493,W,Europe
3,Albania,4012,Superphosphates above 35%,5157,Agricultural Use,2009,2009,tonnes,20084,W,Europe
3,Albania,4012,Superphosphates above 35%,5157,Agricultural Use,2010,2010,tonnes,19490,W,Europe
3,Albania,4012,Superphosphates above 35%,5157,Agricultural Use,2011,2011,tonnes,20675,W,Europe
3,Albania,4012,Superphosphates above 35%,5157,Agricultural Use,2012,2012,tonnes,21431,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5157,Agricultural Use,2013,2013,tonnes,22187.95,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5157,Agricultural Use,2014,2014,tonnes,22188,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5157,Agricultural Use,2015,2015,tonnes,31275,E,Europe
3,Albania,4012,Superphosphates above 35%,5157,Agricultural Use,2016,2016,tonnes,40362,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5157,Agricultural Use,2017,2017,tonnes,42358,Qm,Europe
3,Albania,4013,"Superphosphates, other",5157,Agricultural Use,2005,2005,tonnes,11059,Fb,Europe
3,Albania,4013,"Superphosphates, other",5157,Agricultural Use,2006,2006,tonnes,11797,Fb,Europe
3,Albania,4013,"Superphosphates, other",5157,Agricultural Use,2007,2007,tonnes,15897,Fb,Europe
3,Albania,4001,Urea,5157,Agricultural Use,2002,2002,tonnes,33896,W,Europe
3,Albania,4001,Urea,5157,Agricultural Use,2003,2003,tonnes,31676,W,Europe
3,Albania,4001,Urea,5157,Agricultural Use,2004,2004,tonnes,35794,W,Europe
3,Albania,4001,Urea,5157,Agricultural Use,2005,2005,tonnes,35952,W,Europe
3,Albania,4001,Urea,5157,Agricultural Use,2006,2006,tonnes,30789,W,Europe
3,Albania,4001,Urea,5157,Agricultural Use,2007,2007,tonnes,32116,W,Europe
3,Albania,4001,Urea,5157,Agricultural Use,2008,2008,tonnes,28935,W,Europe
3,Albania,4001,Urea,5157,Agricultural Use,2009,2009,tonnes,35564,W,Europe
3,Albania,4001,Urea,5157,Agricultural Use,2010,2010,tonnes,31371,W,Europe
3,Albania,4001,Urea,5157,Agricultural Use,2011,2011,tonnes,41193,W,Europe
3,Albania,4001,Urea,5157,Agricultural Use,2012,2012,tonnes,38763,W,Europe
3,Albania,4001,Urea,5157,Agricultural Use,2013,2013,tonnes,31329.23,Qm,Europe
3,Albania,4001,Urea,5157,Agricultural Use,2014,2014,tonnes,31329,Qm,Europe
3,Albania,4001,Urea,5157,Agricultural Use,2015,2015,tonnes,39732,E,Europe
3,Albania,4001,Urea,5157,Agricultural Use,2016,2016,tonnes,48135,Qm,Europe
3,Albania,4001,Urea,5157,Agricultural Use,2017,2017,tonnes,51234,Qm,Europe
11,Austria,4002,Ammonium sulphate,5157,Agricultural Use,2005,2005,tonnes,3301,Qm,Europe
11,Austria,4002,Ammonium sulphate,5157,Agricultural Use,2006,2006,tonnes,2405,Qm,Europe
11,Austria,4002,Ammonium sulphate,5157,Agricultural Use,2007,2007,tonnes,1700,Qm,Europe
11,Austria,4002,Ammonium sulphate,5157,Agricultural Use,2008,2008,tonnes,1200,Qm,Europe
11,Austria,4002,Ammonium sulphate,5157,Agricultural Use,2009,2009,tonnes,1400,Qm,Europe
11,Austria,4002,Ammonium sulphate,5157,Agricultural Use,2010,2010,tonnes,3500,Qm,Europe
11,Austria,4002,Ammonium sulphate,5157,Agricultural Use,2011,2011,tonnes,6000,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2005,2005,tonnes,211808,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2006,2006,tonnes,210896,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2007,2007,tonnes,190600,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2008,2008,tonnes,178000,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2009,2009,tonnes,200000,Qm,Europe
