Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
3,Albania,4003,Ammonium nitrate (AN),5910,Export Quantity,2002,2002,tonnes,2.5,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5910,Export Quantity,2003,2003,tonnes,20,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5910,Export Quantity,2008,2008,tonnes,35,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5910,Export Quantity,2010,2010,tonnes,540.02,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5910,Export Quantity,2011,2011,tonnes,150,Qm,Europe
3,Albania,4022,Diammonium phosphate (DAP),5910,Export Quantity,2004,2004,tonnes,75,Qm,Europe
3,Albania,4022,Diammonium phosphate (DAP),5910,Export Quantity,2005,2005,tonnes,650,Qm,Europe
3,Albania,4022,Diammonium phosphate (DAP),5910,Export Quantity,2012,2012,tonnes,6.4,Qm,Europe
3,Albania,4030,Fertilizers n.e.c.,5910,Export Quantity,2010,2010,tonnes,36,Qm,Europe
3,Albania,4030,Fertilizers n.e.c.,5910,Export Quantity,2011,2011,tonnes,24,Qm,Europe
3,Albania,4030,Fertilizers n.e.c.,5910,Export Quantity,2012,2012,tonnes,0.2,Qm,Europe
3,Albania,4030,Fertilizers n.e.c.,5910,Export Quantity,2013,2013,tonnes,0.13,Qm,Europe
3,Albania,4023,Monoammonium phosphate (MAP),5910,Export Quantity,2002,2002,tonnes,10,Qm,Europe
3,Albania,4023,Monoammonium phosphate (MAP),5910,Export Quantity,2003,2003,tonnes,10,Qm,Europe
3,Albania,4023,Monoammonium phosphate (MAP),5910,Export Quantity,2005,2005,tonnes,47,Qm,Europe
3,Albania,4021,NPK fertilizers,5910,Export Quantity,2005,2005,tonnes,5,Qm,Europe
3,Albania,4021,NPK fertilizers,5910,Export Quantity,2010,2010,tonnes,217.7,Qm,Europe
3,Albania,4021,NPK fertilizers,5910,Export Quantity,2011,2011,tonnes,88.8,Qm,Europe
3,Albania,4021,NPK fertilizers,5910,Export Quantity,2012,2012,tonnes,98.99,Qm,Europe
3,Albania,4021,NPK fertilizers,5910,Export Quantity,2013,2013,tonnes,77.08,Qm,Europe
3,Albania,4021,NPK fertilizers,5910,Export Quantity,2016,2016,tonnes,32.73,Qm,Europe
3,Albania,4008,"Other nitrogenous fertilizers, n.e.c.",5910,Export Quantity,2002,2002,tonnes,2921.82,Qm,Europe
3,Albania,4008,"Other nitrogenous fertilizers, n.e.c.",5910,Export Quantity,2004,2004,tonnes,50,Qm,Europe
3,Albania,4024,Other NP compounds,5910,Export Quantity,2002,2002,tonnes,10,Qm,Europe
3,Albania,4024,Other NP compounds,5910,Export Quantity,2010,2010,tonnes,158.4,Qm,Europe
3,Albania,4024,Other NP compounds,5910,Export Quantity,2011,2011,tonnes,462,Qm,Europe
3,Albania,4024,Other NP compounds,5910,Export Quantity,2012,2012,tonnes,67.79,Qm,Europe
3,Albania,4014,"Other phosphatic fertilizers, n.e.c.",5910,Export Quantity,2005,2005,tonnes,25,Qm,Europe
3,Albania,4018,"Other potassic fertilizers, n.e.c.",5910,Export Quantity,2006,2006,tonnes,25,Qm,Europe
3,Albania,4011,Phosphate rock,5910,Export Quantity,2004,2004,tonnes,3000,Qm,Europe
3,Albania,4011,Phosphate rock,5910,Export Quantity,2006,2006,tonnes,25,Qm,Europe
3,Albania,4011,Phosphate rock,5910,Export Quantity,2008,2008,tonnes,23.8,Qm,Europe
3,Albania,4027,PK compounds,5910,Export Quantity,2006,2006,tonnes,25,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5910,Export Quantity,2004,2004,tonnes,25,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5910,Export Quantity,2005,2005,tonnes,50,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5910,Export Quantity,2006,2006,tonnes,165,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5910,Export Quantity,2008,2008,tonnes,50,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5910,Export Quantity,2009,2009,tonnes,50,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5910,Export Quantity,2010,2010,tonnes,50,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5910,Export Quantity,2011,2011,tonnes,1514.6,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5910,Export Quantity,2012,2012,tonnes,50,Qm,Europe
3,Albania,4001,Urea,5910,Export Quantity,2005,2005,tonnes,323.53,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5910,Export Quantity,2003,2003,tonnes,152.7,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5910,Export Quantity,2004,2004,tonnes,192,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5910,Export Quantity,2005,2005,tonnes,4.22,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5910,Export Quantity,2006,2006,tonnes,1345.6,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5910,Export Quantity,2007,2007,tonnes,1478.9,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5910,Export Quantity,2008,2008,tonnes,1339.6,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5910,Export Quantity,2009,2009,tonnes,1856.3,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5910,Export Quantity,2010,2010,tonnes,2056.5,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5910,Export Quantity,2011,2011,tonnes,1827.6,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5910,Export Quantity,2012,2012,tonnes,1558.6,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5910,Export Quantity,2013,2013,tonnes,3281,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5910,Export Quantity,2014,2014,tonnes,1629.6,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5910,Export Quantity,2015,2015,tonnes,3319.1,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5910,Export Quantity,2016,2016,tonnes,2586.5,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5910,Export Quantity,2017,2017,tonnes,1144.8,Qm,Europe
11,Austria,4002,Ammonium sulphate,5910,Export Quantity,2003,2003,tonnes,276.1,Qm,Europe
11,Austria,4002,Ammonium sulphate,5910,Export Quantity,2004,2004,tonnes,213.8,Qm,Europe
11,Austria,4002,Ammonium sulphate,5910,Export Quantity,2005,2005,tonnes,572.1,Qm,Europe
11,Austria,4002,Ammonium sulphate,5910,Export Quantity,2006,2006,tonnes,694.6,Qm,Europe
11,Austria,4002,Ammonium sulphate,5910,Export Quantity,2007,2007,tonnes,1331.6,Qm,Europe
11,Austria,4002,Ammonium sulphate,5910,Export Quantity,2008,2008,tonnes,879.3,Qm,Europe
11,Austria,4002,Ammonium sulphate,5910,Export Quantity,2009,2009,tonnes,2520.4,Qm,Europe
11,Austria,4002,Ammonium sulphate,5910,Export Quantity,2010,2010,tonnes,27263.7,Qm,Europe
11,Austria,4002,Ammonium sulphate,5910,Export Quantity,2011,2011,tonnes,17975.03,Qm,Europe
11,Austria,4002,Ammonium sulphate,5910,Export Quantity,2012,2012,tonnes,21843.35,Qm,Europe
11,Austria,4002,Ammonium sulphate,5910,Export Quantity,2013,2013,tonnes,12885.41,Qm,Europe
11,Austria,4002,Ammonium sulphate,5910,Export Quantity,2014,2014,tonnes,4533.91,Qm,Europe
11,Austria,4002,Ammonium sulphate,5910,Export Quantity,2015,2015,tonnes,3253.8,Qm,Europe
11,Austria,4002,Ammonium sulphate,5910,Export Quantity,2016,2016,tonnes,7709.18,Qm,Europe
11,Austria,4002,Ammonium sulphate,5910,Export Quantity,2017,2017,tonnes,14360.38,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5910,Export Quantity,2002,2002,tonnes,253.1,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5910,Export Quantity,2004,2004,tonnes,24,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5910,Export Quantity,2006,2006,tonnes,263.01,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5910,Export Quantity,2007,2007,tonnes,786.3,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5910,Export Quantity,2008,2008,tonnes,1149.1,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5910,Export Quantity,2009,2009,tonnes,303.62,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5910,Export Quantity,2010,2010,tonnes,1201.2,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5910,Export Quantity,2011,2011,tonnes,1184.03,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5910,Export Quantity,2012,2012,tonnes,1883.6,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5910,Export Quantity,2013,2013,tonnes,1394,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5910,Export Quantity,2014,2014,tonnes,646.4,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5910,Export Quantity,2015,2015,tonnes,559852,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5910,Export Quantity,2016,2016,tonnes,547702.12,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5910,Export Quantity,2017,2017,tonnes,489.9,Qm,Europe
