Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
3,Albania,4003,Ammonium nitrate (AN),5922,Export Value,2002,2002,1000 US$,0.25,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5922,Export Value,2003,2003,1000 US$,2.1,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5922,Export Value,2008,2008,1000 US$,6.07,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5922,Export Value,2010,2010,1000 US$,181.26,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5922,Export Value,2011,2011,1000 US$,64.77,Qm,Europe
3,Albania,4022,Diammonium phosphate (DAP),5922,Export Value,2004,2004,1000 US$,19.74,Qm,Europe
3,Albania,4022,Diammonium phosphate (DAP),5922,Export Value,2005,2005,1000 US$,118.15,Qm,Europe
3,Albania,4022,Diammonium phosphate (DAP),5922,Export Value,2012,2012,1000 US$,3.72,Qm,Europe
3,Albania,4030,Fertilizers n.e.c.,5922,Export Value,2010,2010,1000 US$,12.09,Qm,Europe
3,Albania,4030,Fertilizers n.e.c.,5922,Export Value,2011,2011,1000 US$,6.51,Qm,Europe
3,Albania,4030,Fertilizers n.e.c.,5922,Export Value,2012,2012,1000 US$,3.89,Qm,Europe
3,Albania,4030,Fertilizers n.e.c.,5922,Export Value,2013,2013,1000 US$,0.6,Qm,Europe
3,Albania,4023,Monoammonium phosphate (MAP),5922,Export Value,2002,2002,1000 US$,0.23,Qm,Europe
3,Albania,4023,Monoammonium phosphate (MAP),5922,Export Value,2003,2003,1000 US$,2.71,Qm,Europe
3,Albania,4023,Monoammonium phosphate (MAP),5922,Export Value,2005,2005,1000 US$,12.7,Qm,Europe
3,Albania,4021,NPK fertilizers,5922,Export Value,2005,2005,1000 US$,19.38,Qm,Europe
3,Albania,4021,NPK fertilizers,5922,Export Value,2010,2010,1000 US$,113.44,Qm,Europe
3,Albania,4021,NPK fertilizers,5922,Export Value,2011,2011,1000 US$,61.38,Qm,Europe
3,Albania,4021,NPK fertilizers,5922,Export Value,2012,2012,1000 US$,54.42,Qm,Europe
3,Albania,4021,NPK fertilizers,5922,Export Value,2013,2013,1000 US$,66.53,Qm,Europe
3,Albania,4021,NPK fertilizers,5922,Export Value,2016,2016,1000 US$,39.79,Qm,Europe
3,Albania,4008,"Other nitrogenous fertilizers, n.e.c.",5922,Export Value,2002,2002,1000 US$,120.98,Qm,Europe
3,Albania,4008,"Other nitrogenous fertilizers, n.e.c.",5922,Export Value,2004,2004,1000 US$,5.02,Qm,Europe
3,Albania,4024,Other NP compounds,5922,Export Value,2002,2002,1000 US$,1.86,Qm,Europe
3,Albania,4024,Other NP compounds,5922,Export Value,2010,2010,1000 US$,61.52,Qm,Europe
3,Albania,4024,Other NP compounds,5922,Export Value,2011,2011,1000 US$,238.16,Qm,Europe
3,Albania,4024,Other NP compounds,5922,Export Value,2012,2012,1000 US$,172.29,Qm,Europe
3,Albania,4014,"Other phosphatic fertilizers, n.e.c.",5922,Export Value,2005,2005,1000 US$,6.76,Qm,Europe
3,Albania,4018,"Other potassic fertilizers, n.e.c.",5922,Export Value,2006,2006,1000 US$,2.29,Qm,Europe
3,Albania,4011,Phosphate rock,5922,Export Value,2004,2004,1000 US$,3.71,Qm,Europe
3,Albania,4011,Phosphate rock,5922,Export Value,2006,2006,1000 US$,0.14,Qm,Europe
3,Albania,4011,Phosphate rock,5922,Export Value,2008,2008,1000 US$,0.5,Qm,Europe
3,Albania,4027,PK compounds,5922,Export Value,2006,2006,1000 US$,2.29,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5922,Export Value,2004,2004,1000 US$,1.95,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5922,Export Value,2005,2005,1000 US$,3.95,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5922,Export Value,2006,2006,1000 US$,14.8,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5922,Export Value,2008,2008,1000 US$,9.01,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5922,Export Value,2009,2009,1000 US$,12.68,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5922,Export Value,2010,2010,1000 US$,11.07,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5922,Export Value,2011,2011,1000 US$,509.13,Qm,Europe
3,Albania,4012,Superphosphates above 35%,5922,Export Value,2012,2012,1000 US$,11.63,Qm,Europe
3,Albania,4001,Urea,5922,Export Value,2005,2005,1000 US$,62.31,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5922,Export Value,2003,2003,1000 US$,1.73,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5922,Export Value,2004,2004,1000 US$,39.39,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5922,Export Value,2005,2005,1000 US$,0.9,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5922,Export Value,2006,2006,1000 US$,331.33,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5922,Export Value,2007,2007,1000 US$,402.83,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5922,Export Value,2008,2008,1000 US$,484.16,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5922,Export Value,2009,2009,1000 US$,435.51,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5922,Export Value,2010,2010,1000 US$,466.15,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5922,Export Value,2011,2011,1000 US$,569.81,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5922,Export Value,2012,2012,1000 US$,412.25,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5922,Export Value,2013,2013,1000 US$,1127.79,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5922,Export Value,2014,2014,1000 US$,621.66,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5922,Export Value,2015,2015,1000 US$,999.02,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5922,Export Value,2016,2016,1000 US$,752.98,Qm,Europe
11,Austria,4003,Ammonium nitrate (AN),5922,Export Value,2017,2017,1000 US$,323.59,Qm,Europe
11,Austria,4002,Ammonium sulphate,5922,Export Value,2003,2003,1000 US$,100.6,Qm,Europe
11,Austria,4002,Ammonium sulphate,5922,Export Value,2004,2004,1000 US$,107.73,Qm,Europe
11,Austria,4002,Ammonium sulphate,5922,Export Value,2005,2005,1000 US$,242.04,Qm,Europe
11,Austria,4002,Ammonium sulphate,5922,Export Value,2006,2006,1000 US$,317.05,Qm,Europe
11,Austria,4002,Ammonium sulphate,5922,Export Value,2007,2007,1000 US$,283.88,Qm,Europe
11,Austria,4002,Ammonium sulphate,5922,Export Value,2008,2008,1000 US$,292.84,Qm,Europe
11,Austria,4002,Ammonium sulphate,5922,Export Value,2009,2009,1000 US$,800.71,Qm,Europe
11,Austria,4002,Ammonium sulphate,5922,Export Value,2010,2010,1000 US$,5006.23,Qm,Europe
11,Austria,4002,Ammonium sulphate,5922,Export Value,2011,2011,1000 US$,4723,Qm,Europe
11,Austria,4002,Ammonium sulphate,5922,Export Value,2012,2012,1000 US$,5858.85,Qm,Europe
11,Austria,4002,Ammonium sulphate,5922,Export Value,2013,2013,1000 US$,2843.72,Qm,Europe
11,Austria,4002,Ammonium sulphate,5922,Export Value,2014,2014,1000 US$,1156.31,Qm,Europe
11,Austria,4002,Ammonium sulphate,5922,Export Value,2015,2015,1000 US$,920.61,Qm,Europe
11,Austria,4002,Ammonium sulphate,5922,Export Value,2016,2016,1000 US$,835.61,Qm,Europe
11,Austria,4002,Ammonium sulphate,5922,Export Value,2017,2017,1000 US$,1200.49,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2002,2002,1000 US$,29.64,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2004,2004,1000 US$,3.73,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2006,2006,1000 US$,70.26,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2007,2007,1000 US$,213.01,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2008,2008,1000 US$,698.22,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2009,2009,1000 US$,97.17,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2010,2010,1000 US$,295.43,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2011,2011,1000 US$,421.74,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2012,2012,1000 US$,732.14,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2013,2013,1000 US$,440.6,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2014,2014,1000 US$,209.4,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2015,2015,1000 US$,111419.07,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2016,2016,1000 US$,83344.29,Qm,Europe
11,Austria,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2017,2017,1000 US$,160.98,Qm,Europe
11,Austria,4022,Diammonium phosphate (DAP),5922,Export Value,2002,2002,1000 US$,265.67,Qm,Europe
11,Austria,4022,Diammonium phosphate (DAP),5922,Export Value,2003,2003,1000 US$,156.09,Qm,Europe
11,Austria,4022,Diammonium phosphate (DAP),5922,Export Value,2004,2004,1000 US$,177.16,Qm,Europe
11,Austria,4022,Diammonium phosphate (DAP),5922,Export Value,2005,2005,1000 US$,51.02,Qm,Europe
11,Austria,4022,Diammonium phosphate (DAP),5922,Export Value,2006,2006,1000 US$,37.48,Qm,Europe
11,Austria,4022,Diammonium phosphate (DAP),5922,Export Value,2007,2007,1000 US$,504.47,Qm,Europe
11,Austria,4022,Diammonium phosphate (DAP),5922,Export Value,2008,2008,1000 US$,2195.17,Qm,Europe
11,Austria,4022,Diammonium phosphate (DAP),5922,Export Value,2009,2009,1000 US$,1856.91,Qm,Europe
11,Austria,4022,Diammonium phosphate (DAP),5922,Export Value,2010,2010,1000 US$,1506.7,Qm,Europe
11,Austria,4022,Diammonium phosphate (DAP),5922,Export Value,2011,2011,1000 US$,1575.68,Qm,Europe
