Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
3,Albania,4007,"Ammonia, anhydrous",5610,Import Quantity,2002,2002,tonnes,29.57,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5610,Import Quantity,2003,2003,tonnes,13.69,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5610,Import Quantity,2004,2004,tonnes,1041.93,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5610,Import Quantity,2005,2005,tonnes,2.97,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5610,Import Quantity,2006,2006,tonnes,3.01,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5610,Import Quantity,2007,2007,tonnes,5.96,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5610,Import Quantity,2008,2008,tonnes,4.37,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5610,Import Quantity,2009,2009,tonnes,1.08,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5610,Import Quantity,2010,2010,tonnes,3.05,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5610,Import Quantity,2011,2011,tonnes,1,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5610,Import Quantity,2012,2012,tonnes,6.48,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5610,Import Quantity,2013,2013,tonnes,3.25,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5610,Import Quantity,2015,2015,tonnes,4.18,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5610,Import Quantity,2002,2002,tonnes,28147.53,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5610,Import Quantity,2003,2003,tonnes,31872.05,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5610,Import Quantity,2004,2004,tonnes,22237.82,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5610,Import Quantity,2005,2005,tonnes,27709.3,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5610,Import Quantity,2006,2006,tonnes,29623.25,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5610,Import Quantity,2007,2007,tonnes,38531.35,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5610,Import Quantity,2008,2008,tonnes,24898.69,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5610,Import Quantity,2009,2009,tonnes,20887.94,Qm,Europe
