Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
3,Albania,4007,"Ammonia, anhydrous",5622,Import Value,2002,2002,1000 US$,3.52,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5622,Import Value,2003,2003,1000 US$,5.12,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5622,Import Value,2004,2004,1000 US$,280.59,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5622,Import Value,2005,2005,1000 US$,2.1,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5622,Import Value,2006,2006,1000 US$,2.23,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5622,Import Value,2007,2007,1000 US$,5.82,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5622,Import Value,2008,2008,1000 US$,3.92,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5622,Import Value,2009,2009,1000 US$,1.9,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5622,Import Value,2010,2010,1000 US$,5.7,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5622,Import Value,2011,2011,1000 US$,1.82,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5622,Import Value,2012,2012,1000 US$,7.16,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5622,Import Value,2013,2013,1000 US$,5.37,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5622,Import Value,2015,2015,1000 US$,7.69,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5622,Import Value,2002,2002,1000 US$,1994.59,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5622,Import Value,2003,2003,1000 US$,2431.54,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5622,Import Value,2004,2004,1000 US$,1535.24,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5622,Import Value,2005,2005,1000 US$,1874.1,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5622,Import Value,2006,2006,1000 US$,4569.88,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5622,Import Value,2007,2007,1000 US$,6611.14,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5622,Import Value,2008,2008,1000 US$,7894.22,Qm,Europe
