Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
3,Albania,4007,"Ammonia, anhydrous",5510,Production,2013,2013,tonnes,0,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5510,Production,2014,2014,tonnes,0,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5510,Production,2015,2015,tonnes,0,Qm,Europe
3,Albania,4007,"Ammonia, anhydrous",5510,Production,2016,2016,tonnes,0,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5510,Production,2011,2011,tonnes,0,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5510,Production,2012,2012,tonnes,0,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5510,Production,2013,2013,tonnes,0,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5510,Production,2014,2014,tonnes,0,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5510,Production,2015,2015,tonnes,0,Qm,Europe
3,Albania,4003,Ammonium nitrate (AN),5510,Production,2016,2016,tonnes,0,Qm,Europe
3,Albania,4002,Ammonium sulphate,5510,Production,2011,2011,tonnes,0,Qm,Europe
3,Albania,4002,Ammonium sulphate,5510,Production,2012,2012,tonnes,0,Qm,Europe
3,Albania,4002,Ammonium sulphate,5510,Production,2013,2013,tonnes,0,Qm,Europe
3,Albania,4002,Ammonium sulphate,5510,Production,2014,2014,tonnes,0,Qm,Europe
3,Albania,4002,Ammonium sulphate,5510,Production,2015,2015,tonnes,0,Qm,Europe
3,Albania,4002,Ammonium sulphate,5510,Production,2016,2016,tonnes,0,Qm,Europe
3,Albania,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2011,2011,tonnes,0,Qm,Europe
3,Albania,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2012,2012,tonnes,0,Qm,Europe
3,Albania,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2013,2013,tonnes,0,Qm,Europe
3,Albania,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2014,2014,tonnes,0,Qm,Europe
3,Albania,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2015,2015,tonnes,0,Qm,Europe
3,Albania,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2016,2016,tonnes,0,Qm,Europe
3,Albania,4022,Diammonium phosphate (DAP),5510,Production,2007,2007,tonnes,0,Qm,Europe
3,Albania,4022,Diammonium phosphate (DAP),5510,Production,2008,2008,tonnes,0,Qm,Europe
3,Albania,4022,Diammonium phosphate (DAP),5510,Production,2013,2013,tonnes,0,Qm,Europe
3,Albania,4022,Diammonium phosphate (DAP),5510,Production,2014,2014,tonnes,0,Qm,Europe
3,Albania,4022,Diammonium phosphate (DAP),5510,Production,2015,2015,tonnes,0,Qm,Europe
3,Albania,4022,Diammonium phosphate (DAP),5510,Production,2016,2016,tonnes,0,Qm,Europe
3,Albania,4030,Fertilizers n.e.c.,5510,Production,2013,2013,tonnes,0,Qm,Europe
3,Albania,4030,Fertilizers n.e.c.,5510,Production,2014,2014,tonnes,0,Qm,Europe
3,Albania,4030,Fertilizers n.e.c.,5510,Production,2015,2015,tonnes,0,Qm,Europe
3,Albania,4030,Fertilizers n.e.c.,5510,Production,2016,2016,tonnes,0,Qm,Europe
3,Albania,4023,Monoammonium phosphate (MAP),5510,Production,2007,2007,tonnes,0,Qm,Europe
3,Albania,4023,Monoammonium phosphate (MAP),5510,Production,2008,2008,tonnes,0,Qm,Europe
3,Albania,4023,Monoammonium phosphate (MAP),5510,Production,2013,2013,tonnes,0,Qm,Europe
3,Albania,4023,Monoammonium phosphate (MAP),5510,Production,2014,2014,tonnes,0,Qm,Europe
3,Albania,4023,Monoammonium phosphate (MAP),5510,Production,2015,2015,tonnes,0,Qm,Europe
3,Albania,4023,Monoammonium phosphate (MAP),5510,Production,2016,2016,tonnes,0,Qm,Europe
3,Albania,4021,NPK fertilizers,5510,Production,2007,2007,tonnes,0,Qm,Europe
3,Albania,4021,NPK fertilizers,5510,Production,2008,2008,tonnes,0,Qm,Europe
3,Albania,4021,NPK fertilizers,5510,Production,2013,2013,tonnes,0,Qm,Europe
3,Albania,4021,NPK fertilizers,5510,Production,2014,2014,tonnes,0,Qm,Europe
3,Albania,4021,NPK fertilizers,5510,Production,2015,2015,tonnes,0,Qm,Europe
3,Albania,4021,NPK fertilizers,5510,Production,2016,2016,tonnes,0,Qm,Europe
3,Albania,4008,"Other nitrogenous fertilizers, n.e.c.",5510,Production,2013,2013,tonnes,0,Qm,Europe
3,Albania,4008,"Other nitrogenous fertilizers, n.e.c.",5510,Production,2014,2014,tonnes,0,Qm,Europe
3,Albania,4008,"Other nitrogenous fertilizers, n.e.c.",5510,Production,2015,2015,tonnes,0,Qm,Europe
3,Albania,4008,"Other nitrogenous fertilizers, n.e.c.",5510,Production,2016,2016,tonnes,0,Qm,Europe
3,Albania,4026,Other NK compounds,5510,Production,2013,2013,tonnes,0,Qm,Europe
3,Albania,4026,Other NK compounds,5510,Production,2014,2014,tonnes,0,Qm,Europe
3,Albania,4026,Other NK compounds,5510,Production,2015,2015,tonnes,0,Qm,Europe
3,Albania,4026,Other NK compounds,5510,Production,2016,2016,tonnes,0,Qm,Europe
3,Albania,4024,Other NP compounds,5510,Production,2007,2007,tonnes,0,Qm,Europe
3,Albania,4024,Other NP compounds,5510,Production,2008,2008,tonnes,0,Qm,Europe
3,Albania,4024,Other NP compounds,5510,Production,2013,2013,tonnes,0,Qm,Europe
3,Albania,4024,Other NP compounds,5510,Production,2014,2014,tonnes,0,Qm,Europe
3,Albania,4024,Other NP compounds,5510,Production,2015,2015,tonnes,0,Qm,Europe
