Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
8,Antigua and Barbuda,4002,Ammonium sulphate,5157,Agricultural Use,2005,2005,tonnes,6,Fb,North America
8,Antigua and Barbuda,4002,Ammonium sulphate,5157,Agricultural Use,2006,2006,tonnes,12,Fb,North America
8,Antigua and Barbuda,4002,Ammonium sulphate,5157,Agricultural Use,2007,2007,tonnes,4,Fb,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2006,2006,tonnes,2,Fb,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2011,2011,tonnes,10,Fb,North America
8,Antigua and Barbuda,4021,NPK fertilizers,5157,Agricultural Use,2005,2005,tonnes,7,E,North America
8,Antigua and Barbuda,4021,NPK fertilizers,5157,Agricultural Use,2006,2006,tonnes,31,E,North America
8,Antigua and Barbuda,4021,NPK fertilizers,5157,Agricultural Use,2008,2008,tonnes,2,E,North America
8,Antigua and Barbuda,4021,NPK fertilizers,5157,Agricultural Use,2009,2009,tonnes,97,E,North America
8,Antigua and Barbuda,4021,NPK fertilizers,5157,Agricultural Use,2010,2010,tonnes,25,E,North America
8,Antigua and Barbuda,4021,NPK fertilizers,5157,Agricultural Use,2011,2011,tonnes,13,E,North America
8,Antigua and Barbuda,4024,Other NP compounds,5157,Agricultural Use,2005,2005,tonnes,19,Fb,North America
8,Antigua and Barbuda,4024,Other NP compounds,5157,Agricultural Use,2007,2007,tonnes,1,Fb,North America
8,Antigua and Barbuda,4024,Other NP compounds,5157,Agricultural Use,2008,2008,tonnes,17,Fb,North America
8,Antigua and Barbuda,4024,Other NP compounds,5157,Agricultural Use,2011,2011,tonnes,1,E,North America
8,Antigua and Barbuda,4027,PK compounds,5157,Agricultural Use,2009,2009,tonnes,1,Fb,North America
8,Antigua and Barbuda,4027,PK compounds,5157,Agricultural Use,2011,2011,tonnes,1,Fb,North America
8,Antigua and Barbuda,4013,"Superphosphates, other",5157,Agricultural Use,2005,2005,tonnes,1,Fb,North America
8,Antigua and Barbuda,4001,Urea,5157,Agricultural Use,2005,2005,tonnes,24,Fb,North America
8,Antigua and Barbuda,4001,Urea,5157,Agricultural Use,2006,2006,tonnes,4,Fb,North America
8,Antigua and Barbuda,4001,Urea,5157,Agricultural Use,2007,2007,tonnes,0,Fb,North America
14,Barbados,4003,Ammonium nitrate (AN),5157,Agricultural Use,2002,2002,tonnes,224,Fb,North America
14,Barbados,4003,Ammonium nitrate (AN),5157,Agricultural Use,2003,2003,tonnes,119,Fb,North America
14,Barbados,4003,Ammonium nitrate (AN),5157,Agricultural Use,2004,2004,tonnes,183,Fb,North America
14,Barbados,4003,Ammonium nitrate (AN),5157,Agricultural Use,2005,2005,tonnes,202,Fb,North America
