Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5910,Export Quantity,2003,2003,tonnes,5,R,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5910,Export Quantity,2014,2014,tonnes,1.01,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5910,Export Quantity,2015,2015,tonnes,0.72,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5910,Export Quantity,2016,2016,tonnes,1.54,Qm,North America
8,Antigua and Barbuda,4003,Ammonium nitrate (AN),5910,Export Quantity,2004,2004,tonnes,0.68,R,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5910,Export Quantity,2002,2002,tonnes,0.01,R,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5910,Export Quantity,2007,2007,tonnes,2.43,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5910,Export Quantity,2009,2009,tonnes,1.16,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5910,Export Quantity,2010,2010,tonnes,1.05,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5910,Export Quantity,2012,2012,tonnes,0.07,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5910,Export Quantity,2013,2013,tonnes,0.59,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5910,Export Quantity,2016,2016,tonnes,0.43,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5910,Export Quantity,2017,2017,tonnes,0.5,Qm,North America
8,Antigua and Barbuda,4021,NPK fertilizers,5910,Export Quantity,2003,2003,tonnes,3513.15,R,North America
8,Antigua and Barbuda,4021,NPK fertilizers,5910,Export Quantity,2014,2014,tonnes,0.06,Qm,North America
8,Antigua and Barbuda,4008,"Other nitrogenous fertilizers, n.e.c.",5910,Export Quantity,2002,2002,tonnes,0.05,R,North America
8,Antigua and Barbuda,4008,"Other nitrogenous fertilizers, n.e.c.",5910,Export Quantity,2014,2014,tonnes,0.05,Qm,North America
8,Antigua and Barbuda,4008,"Other nitrogenous fertilizers, n.e.c.",5910,Export Quantity,2015,2015,tonnes,0.07,Qm,North America
8,Antigua and Barbuda,4014,"Other phosphatic fertilizers, n.e.c.",5910,Export Quantity,2005,2005,tonnes,1.8,Qm,North America
12,Bahamas,4002,Ammonium sulphate,5910,Export Quantity,2009,2009,tonnes,13.97,Qm,North America
12,Bahamas,4030,Fertilizers n.e.c.,5910,Export Quantity,2011,2011,tonnes,0.31,Qm,North America
12,Bahamas,4023,Monoammonium phosphate (MAP),5910,Export Quantity,2009,2009,tonnes,1.27,Qm,North America
