Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5922,Export Value,2003,2003,1000 US$,10.39,R,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5922,Export Value,2014,2014,1000 US$,0.78,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5922,Export Value,2015,2015,1000 US$,0.56,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5922,Export Value,2016,2016,1000 US$,1.19,Qm,North America
8,Antigua and Barbuda,4003,Ammonium nitrate (AN),5922,Export Value,2004,2004,1000 US$,5.65,R,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5922,Export Value,2002,2002,1000 US$,0.04,R,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5922,Export Value,2007,2007,1000 US$,7.74,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5922,Export Value,2009,2009,1000 US$,9.12,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5922,Export Value,2010,2010,1000 US$,2.2,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5922,Export Value,2012,2012,1000 US$,0.36,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5922,Export Value,2013,2013,1000 US$,0.65,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5922,Export Value,2016,2016,1000 US$,0.42,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5922,Export Value,2017,2017,1000 US$,0.58,Qm,North America
8,Antigua and Barbuda,4021,NPK fertilizers,5922,Export Value,2003,2003,1000 US$,484.91,R,North America
8,Antigua and Barbuda,4021,NPK fertilizers,5922,Export Value,2014,2014,1000 US$,0.64,Qm,North America
8,Antigua and Barbuda,4008,"Other nitrogenous fertilizers, n.e.c.",5922,Export Value,2002,2002,1000 US$,0.07,R,North America
8,Antigua and Barbuda,4008,"Other nitrogenous fertilizers, n.e.c.",5922,Export Value,2014,2014,1000 US$,0.07,Qm,North America
8,Antigua and Barbuda,4008,"Other nitrogenous fertilizers, n.e.c.",5922,Export Value,2015,2015,1000 US$,0.13,Qm,North America
8,Antigua and Barbuda,4014,"Other phosphatic fertilizers, n.e.c.",5922,Export Value,2005,2005,1000 US$,3.7,Qm,North America
12,Bahamas,4002,Ammonium sulphate,5922,Export Value,2009,2009,1000 US$,6.15,Qm,North America
12,Bahamas,4030,Fertilizers n.e.c.,5922,Export Value,2011,2011,1000 US$,1.98,Qm,North America
12,Bahamas,4023,Monoammonium phosphate (MAP),5922,Export Value,2009,2009,1000 US$,1.85,Qm,North America
12,Bahamas,4021,NPK fertilizers,5922,Export Value,2003,2003,1000 US$,0.02,Qm,North America
12,Bahamas,4008,"Other nitrogenous fertilizers, n.e.c.",5922,Export Value,2002,2002,1000 US$,1.95,Qm,North America
12,Bahamas,4008,"Other nitrogenous fertilizers, n.e.c.",5922,Export Value,2003,2003,1000 US$,1.5,Qm,North America
12,Bahamas,4008,"Other nitrogenous fertilizers, n.e.c.",5922,Export Value,2009,2009,1000 US$,2.5,Qm,North America
12,Bahamas,4008,"Other nitrogenous fertilizers, n.e.c.",5922,Export Value,2010,2010,1000 US$,1.2,Qm,North America
12,Bahamas,4008,"Other nitrogenous fertilizers, n.e.c.",5922,Export Value,2011,2011,1000 US$,13.53,Qm,North America
12,Bahamas,4008,"Other nitrogenous fertilizers, n.e.c.",5922,Export Value,2012,2012,1000 US$,1,Qm,North America
12,Bahamas,4008,"Other nitrogenous fertilizers, n.e.c.",5922,Export Value,2013,2013,1000 US$,74.41,Qm,North America
12,Bahamas,4008,"Other nitrogenous fertilizers, n.e.c.",5922,Export Value,2014,2014,1000 US$,1.01,Qm,North America
12,Bahamas,4008,"Other nitrogenous fertilizers, n.e.c.",5922,Export Value,2015,2015,1000 US$,6.5,Qm,North America
12,Bahamas,4014,"Other phosphatic fertilizers, n.e.c.",5922,Export Value,2004,2004,1000 US$,0.25,Qm,North America
12,Bahamas,4014,"Other phosphatic fertilizers, n.e.c.",5922,Export Value,2013,2013,1000 US$,0.02,Qm,North America
12,Bahamas,4018,"Other potassic fertilizers, n.e.c.",5922,Export Value,2008,2008,1000 US$,0.5,Qm,North America
12,Bahamas,4018,"Other potassic fertilizers, n.e.c.",5922,Export Value,2010,2010,1000 US$,1.71,Qm,North America
12,Bahamas,4011,Phosphate rock,5922,Export Value,2002,2002,1000 US$,1036.15,Qm,North America
12,Bahamas,4011,Phosphate rock,5922,Export Value,2010,2010,1000 US$,0.45,Qm,North America
14,Barbados,4007,"Ammonia, anhydrous",5922,Export Value,2007,2007,1000 US$,6.38,Qm,North America
14,Barbados,4007,"Ammonia, anhydrous",5922,Export Value,2008,2008,1000 US$,0.29,Qm,North America
14,Barbados,4003,Ammonium nitrate (AN),5922,Export Value,2003,2003,1000 US$,5.33,Qm,North America
14,Barbados,4003,Ammonium nitrate (AN),5922,Export Value,2007,2007,1000 US$,45.7,Qm,North America
14,Barbados,4002,Ammonium sulphate,5922,Export Value,2010,2010,1000 US$,5.18,Qm,North America
14,Barbados,4002,Ammonium sulphate,5922,Export Value,2011,2011,1000 US$,0.86,Qm,North America
14,Barbados,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2014,2014,1000 US$,0,Qm,North America
14,Barbados,4022,Diammonium phosphate (DAP),5922,Export Value,2003,2003,1000 US$,0.88,Qm,North America
14,Barbados,4030,Fertilizers n.e.c.,5922,Export Value,2002,2002,1000 US$,30,Qm,North America
14,Barbados,4030,Fertilizers n.e.c.,5922,Export Value,2003,2003,1000 US$,49.14,Qm,North America
14,Barbados,4030,Fertilizers n.e.c.,5922,Export Value,2004,2004,1000 US$,278.73,Qm,North America
14,Barbados,4030,Fertilizers n.e.c.,5922,Export Value,2005,2005,1000 US$,34.87,Qm,North America
14,Barbados,4030,Fertilizers n.e.c.,5922,Export Value,2006,2006,1000 US$,22.65,Qm,North America
14,Barbados,4030,Fertilizers n.e.c.,5922,Export Value,2007,2007,1000 US$,122.54,Qm,North America
14,Barbados,4030,Fertilizers n.e.c.,5922,Export Value,2008,2008,1000 US$,185.18,Qm,North America
14,Barbados,4030,Fertilizers n.e.c.,5922,Export Value,2009,2009,1000 US$,322.52,Qm,North America
14,Barbados,4030,Fertilizers n.e.c.,5922,Export Value,2010,2010,1000 US$,168.63,Qm,North America
