Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2005,2005,tonnes,1.17,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2006,2006,tonnes,0.82,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2007,2007,tonnes,3.12,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2009,2009,tonnes,9.22,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2010,2010,tonnes,3.72,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2011,2011,tonnes,2.28,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2012,2012,tonnes,2.9,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2013,2013,tonnes,2.68,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2014,2014,tonnes,2.73,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2015,2015,tonnes,1.75,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2016,2016,tonnes,4.4,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5610,Import Quantity,2017,2017,tonnes,1.9,Qm,North America
8,Antigua and Barbuda,4003,Ammonium nitrate (AN),5610,Import Quantity,2002,2002,tonnes,20.5,R,North America
8,Antigua and Barbuda,4003,Ammonium nitrate (AN),5610,Import Quantity,2003,2003,tonnes,97.5,R,North America
8,Antigua and Barbuda,4003,Ammonium nitrate (AN),5610,Import Quantity,2005,2005,tonnes,206.33,Qm,North America
8,Antigua and Barbuda,4003,Ammonium nitrate (AN),5610,Import Quantity,2009,2009,tonnes,22.05,Qm,North America
8,Antigua and Barbuda,4003,Ammonium nitrate (AN),5610,Import Quantity,2013,2013,tonnes,22.14,Qm,North America
8,Antigua and Barbuda,4003,Ammonium nitrate (AN),5610,Import Quantity,2015,2015,tonnes,0.02,Qm,North America
8,Antigua and Barbuda,4003,Ammonium nitrate (AN),5610,Import Quantity,2016,2016,tonnes,0,Qm,North America
8,Antigua and Barbuda,4002,Ammonium sulphate,5610,Import Quantity,2005,2005,tonnes,0.7,Qm,North America
8,Antigua and Barbuda,4002,Ammonium sulphate,5610,Import Quantity,2006,2006,tonnes,0.08,Qm,North America
8,Antigua and Barbuda,4002,Ammonium sulphate,5610,Import Quantity,2007,2007,tonnes,1.69,Qm,North America
8,Antigua and Barbuda,4002,Ammonium sulphate,5610,Import Quantity,2013,2013,tonnes,0,Qm,North America
8,Antigua and Barbuda,4002,Ammonium sulphate,5610,Import Quantity,2015,2015,tonnes,0,Qm,North America
8,Antigua and Barbuda,4002,Ammonium sulphate,5610,Import Quantity,2017,2017,tonnes,1.04,Qm,North America
8,Antigua and Barbuda,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5610,Import Quantity,2012,2012,tonnes,0,Qm,North America
8,Antigua and Barbuda,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5610,Import Quantity,2015,2015,tonnes,0,Qm,North America
8,Antigua and Barbuda,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5610,Import Quantity,2016,2016,tonnes,0.05,Qm,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5610,Import Quantity,2003,2003,tonnes,0.2,R,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5610,Import Quantity,2004,2004,tonnes,0.55,R,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5610,Import Quantity,2011,2011,tonnes,9.84,Qm,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5610,Import Quantity,2012,2012,tonnes,10.1,Qm,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5610,Import Quantity,2013,2013,tonnes,6.97,Qm,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5610,Import Quantity,2014,2014,tonnes,13.55,Qm,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5610,Import Quantity,2015,2015,tonnes,17.35,Qm,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5610,Import Quantity,2016,2016,tonnes,5.2,Qm,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5610,Import Quantity,2017,2017,tonnes,7,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2002,2002,tonnes,20.16,R,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2003,2003,tonnes,0.99,R,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2004,2004,tonnes,1.2,R,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2005,2005,tonnes,266.12,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2006,2006,tonnes,169.73,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2007,2007,tonnes,172.08,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2009,2009,tonnes,53.93,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2010,2010,tonnes,116.28,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2011,2011,tonnes,55.02,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2012,2012,tonnes,177.62,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2013,2013,tonnes,70.97,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2014,2014,tonnes,48.64,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2015,2015,tonnes,308.76,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2016,2016,tonnes,202.22,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5610,Import Quantity,2017,2017,tonnes,186.58,Qm,North America
8,Antigua and Barbuda,4023,Monoammonium phosphate (MAP),5610,Import Quantity,2016,2016,tonnes,0.02,Qm,North America
8,Antigua and Barbuda,4021,NPK fertilizers,5610,Import Quantity,2003,2003,tonnes,2.25,R,North America
8,Antigua and Barbuda,4021,NPK fertilizers,5610,Import Quantity,2004,2004,tonnes,1.36,R,North America
8,Antigua and Barbuda,4021,NPK fertilizers,5610,Import Quantity,2005,2005,tonnes,16.98,Qm,North America
8,Antigua and Barbuda,4021,NPK fertilizers,5610,Import Quantity,2006,2006,tonnes,2.59,Qm,North America
8,Antigua and Barbuda,4021,NPK fertilizers,5610,Import Quantity,2007,2007,tonnes,7.49,Qm,North America
