Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5622,Import Value,2005,2005,1000 US$,1.8,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5622,Import Value,2006,2006,1000 US$,3.54,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5622,Import Value,2007,2007,1000 US$,2.68,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5622,Import Value,2009,2009,1000 US$,7.86,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5622,Import Value,2010,2010,1000 US$,6.26,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5622,Import Value,2011,2011,1000 US$,1.34,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5622,Import Value,2012,2012,1000 US$,6.09,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5622,Import Value,2013,2013,1000 US$,6.04,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5622,Import Value,2014,2014,1000 US$,6.7,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5622,Import Value,2015,2015,1000 US$,5.26,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5622,Import Value,2016,2016,1000 US$,7.82,Qm,North America
8,Antigua and Barbuda,4007,"Ammonia, anhydrous",5622,Import Value,2017,2017,1000 US$,2.82,Qm,North America
8,Antigua and Barbuda,4003,Ammonium nitrate (AN),5622,Import Value,2002,2002,1000 US$,0.77,R,North America
8,Antigua and Barbuda,4003,Ammonium nitrate (AN),5622,Import Value,2003,2003,1000 US$,31.16,R,North America
8,Antigua and Barbuda,4003,Ammonium nitrate (AN),5622,Import Value,2005,2005,1000 US$,17.74,Qm,North America
8,Antigua and Barbuda,4003,Ammonium nitrate (AN),5622,Import Value,2009,2009,1000 US$,62.12,Qm,North America
8,Antigua and Barbuda,4003,Ammonium nitrate (AN),5622,Import Value,2013,2013,1000 US$,39.65,Qm,North America
8,Antigua and Barbuda,4003,Ammonium nitrate (AN),5622,Import Value,2015,2015,1000 US$,0.36,Qm,North America
8,Antigua and Barbuda,4003,Ammonium nitrate (AN),5622,Import Value,2016,2016,1000 US$,0.02,Qm,North America
8,Antigua and Barbuda,4002,Ammonium sulphate,5622,Import Value,2005,2005,1000 US$,0.89,Qm,North America
8,Antigua and Barbuda,4002,Ammonium sulphate,5622,Import Value,2006,2006,1000 US$,0.43,Qm,North America
8,Antigua and Barbuda,4002,Ammonium sulphate,5622,Import Value,2007,2007,1000 US$,4.66,Qm,North America
8,Antigua and Barbuda,4002,Ammonium sulphate,5622,Import Value,2013,2013,1000 US$,0.01,Qm,North America
8,Antigua and Barbuda,4002,Ammonium sulphate,5622,Import Value,2015,2015,1000 US$,0.09,Qm,North America
8,Antigua and Barbuda,4002,Ammonium sulphate,5622,Import Value,2017,2017,1000 US$,0.77,Qm,North America
8,Antigua and Barbuda,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2012,2012,1000 US$,0.03,Qm,North America
8,Antigua and Barbuda,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2015,2015,1000 US$,0.01,Qm,North America
8,Antigua and Barbuda,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2016,2016,1000 US$,0.11,Qm,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5622,Import Value,2003,2003,1000 US$,0.88,R,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5622,Import Value,2004,2004,1000 US$,1.11,R,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5622,Import Value,2011,2011,1000 US$,33.32,Qm,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5622,Import Value,2012,2012,1000 US$,33.58,Qm,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5622,Import Value,2013,2013,1000 US$,19.39,Qm,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5622,Import Value,2014,2014,1000 US$,42.98,Qm,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5622,Import Value,2015,2015,1000 US$,56.69,Qm,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5622,Import Value,2016,2016,1000 US$,21.67,Qm,North America
8,Antigua and Barbuda,4022,Diammonium phosphate (DAP),5622,Import Value,2017,2017,1000 US$,22.73,Qm,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5622,Import Value,2002,2002,1000 US$,14.68,R,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5622,Import Value,2003,2003,1000 US$,12.39,R,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5622,Import Value,2004,2004,1000 US$,3.6,R,North America
8,Antigua and Barbuda,4030,Fertilizers n.e.c.,5622,Import Value,2005,2005,1000 US$,192.76,Qm,North America
