Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
33,Canada,4007,"Ammonia, anhydrous",5510,Production,2013,2013,tonnes,4659000,Qm,North America
33,Canada,4007,"Ammonia, anhydrous",5510,Production,2014,2014,tonnes,4521000,Qm,North America
33,Canada,4007,"Ammonia, anhydrous",5510,Production,2015,2015,tonnes,4871000,Qm,North America
33,Canada,4007,"Ammonia, anhydrous",5510,Production,2016,2016,tonnes,5028000,Qm,North America
33,Canada,4007,"Ammonia, anhydrous",5510,Production,2017,2017,tonnes,4556000,Qm,North America
33,Canada,4003,Ammonium nitrate (AN),5510,Production,2006,2006,tonnes,438000,Qm,North America
33,Canada,4003,Ammonium nitrate (AN),5510,Production,2015,2015,tonnes,328000,Qm,North America
33,Canada,4003,Ammonium nitrate (AN),5510,Production,2016,2016,tonnes,713000,Qm,North America
33,Canada,4003,Ammonium nitrate (AN),5510,Production,2017,2017,tonnes,663000,Qm,North America
33,Canada,4002,Ammonium sulphate,5510,Production,2006,2006,tonnes,904000,Qm,North America
33,Canada,4002,Ammonium sulphate,5510,Production,2007,2007,tonnes,934000,Qm,North America
33,Canada,4002,Ammonium sulphate,5510,Production,2008,2008,tonnes,873000,Qm,North America
33,Canada,4002,Ammonium sulphate,5510,Production,2009,2009,tonnes,915000,Qm,North America
33,Canada,4002,Ammonium sulphate,5510,Production,2010,2010,tonnes,926000,Qm,North America
33,Canada,4002,Ammonium sulphate,5510,Production,2011,2011,tonnes,952000,Qm,North America
33,Canada,4002,Ammonium sulphate,5510,Production,2012,2012,tonnes,942000,Qm,North America
33,Canada,4002,Ammonium sulphate,5510,Production,2013,2013,tonnes,993000,Qm,North America
33,Canada,4002,Ammonium sulphate,5510,Production,2014,2014,tonnes,934000,Qm,North America
33,Canada,4002,Ammonium sulphate,5510,Production,2015,2015,tonnes,975000,Qm,North America
33,Canada,4002,Ammonium sulphate,5510,Production,2016,2016,tonnes,972000,Qm,North America
33,Canada,4002,Ammonium sulphate,5510,Production,2017,2017,tonnes,934000,Qm,North America
33,Canada,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2007,2007,tonnes,384000,Qm,North America
33,Canada,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2008,2008,tonnes,348000,Qm,North America
33,Canada,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2009,2009,tonnes,340000,Qm,North America
33,Canada,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2010,2010,tonnes,340000,Qm,North America
33,Canada,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2011,2011,tonnes,340000,E,North America
33,Canada,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2012,2012,tonnes,340000,E,North America
33,Canada,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2013,2013,tonnes,340000,E,North America
33,Canada,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2014,2014,tonnes,340000,E,North America
33,Canada,4022,Diammonium phosphate (DAP),5510,Production,2013,2013,tonnes,0,Qm,North America
33,Canada,4022,Diammonium phosphate (DAP),5510,Production,2014,2014,tonnes,0,Qm,North America
33,Canada,4022,Diammonium phosphate (DAP),5510,Production,2015,2015,tonnes,0,Qm,North America
33,Canada,4022,Diammonium phosphate (DAP),5510,Production,2016,2016,tonnes,0,Qm,North America
33,Canada,4022,Diammonium phosphate (DAP),5510,Production,2017,2017,tonnes,0,Qm,North America
33,Canada,4030,Fertilizers n.e.c.,5510,Production,2015,2015,tonnes,291000,Qm,North America
33,Canada,4030,Fertilizers n.e.c.,5510,Production,2016,2016,tonnes,265000,Qm,North America
33,Canada,4016,Potassium chloride (muriate of potash) (MOP),5510,Production,2006,2006,tonnes,16745000,Qm,North America
33,Canada,4016,Potassium chloride (muriate of potash) (MOP),5510,Production,2007,2007,tonnes,18012000,Qm,North America
33,Canada,4016,Potassium chloride (muriate of potash) (MOP),5510,Production,2008,2008,tonnes,11325000,Qm,North America
33,Canada,4016,Potassium chloride (muriate of potash) (MOP),5510,Production,2009,2009,tonnes,11729000,Qm,North America
33,Canada,4016,Potassium chloride (muriate of potash) (MOP),5510,Production,2010,2010,tonnes,17149000,Qm,North America
33,Canada,4016,Potassium chloride (muriate of potash) (MOP),5510,Production,2011,2011,tonnes,16532000,Qm,North America
33,Canada,4016,Potassium chloride (muriate of potash) (MOP),5510,Production,2012,2012,tonnes,16461667,Qm,North America
33,Canada,4016,Potassium chloride (muriate of potash) (MOP),5510,Production,2013,2013,tonnes,15907000,Qm,North America
33,Canada,4016,Potassium chloride (muriate of potash) (MOP),5510,Production,2014,2014,tonnes,17394000,Qm,North America
33,Canada,4016,Potassium chloride (muriate of potash) (MOP),5510,Production,2015,2015,tonnes,18796000,Qm,North America
33,Canada,4016,Potassium chloride (muriate of potash) (MOP),5510,Production,2016,2016,tonnes,17853000,Qm,North America
33,Canada,4016,Potassium chloride (muriate of potash) (MOP),5510,Production,2017,2017,tonnes,20299000,Qm,North America
33,Canada,4001,Urea,5510,Production,2006,2006,tonnes,3433000,Qm,North America
33,Canada,4001,Urea,5510,Production,2007,2007,tonnes,3429000,Qm,North America
33,Canada,4001,Urea,5510,Production,2008,2008,tonnes,3571000,Qm,North America
33,Canada,4001,Urea,5510,Production,2009,2009,tonnes,3538000,Qm,North America
33,Canada,4001,Urea,5510,Production,2010,2010,tonnes,3636000,Qm,North America
33,Canada,4001,Urea,5510,Production,2011,2011,tonnes,3711000,Qm,North America
33,Canada,4001,Urea,5510,Production,2012,2012,tonnes,3770000,Qm,North America
33,Canada,4001,Urea,5510,Production,2013,2013,tonnes,3560000,Qm,North America
33,Canada,4001,Urea,5510,Production,2014,2014,tonnes,3682000,Qm,North America
33,Canada,4001,Urea,5510,Production,2015,2015,tonnes,3787000,Qm,North America
33,Canada,4001,Urea,5510,Production,2016,2016,tonnes,4139000,Qm,North America
33,Canada,4001,Urea,5510,Production,2017,2017,tonnes,3845000,Qm,North America
33,Canada,4006,Urea and ammonium nitrate solutions (UAN),5510,Production,2006,2006,tonnes,1264000,Qm,North America
33,Canada,4006,Urea and ammonium nitrate solutions (UAN),5510,Production,2007,2007,tonnes,1408000,Qm,North America
33,Canada,4006,Urea and ammonium nitrate solutions (UAN),5510,Production,2008,2008,tonnes,1180000,Qm,North America
33,Canada,4006,Urea and ammonium nitrate solutions (UAN),5510,Production,2009,2009,tonnes,1046000,Qm,North America
33,Canada,4006,Urea and ammonium nitrate solutions (UAN),5510,Production,2010,2010,tonnes,1210000,Qm,North America
33,Canada,4006,Urea and ammonium nitrate solutions (UAN),5510,Production,2011,2011,tonnes,1262000,Qm,North America
33,Canada,4006,Urea and ammonium nitrate solutions (UAN),5510,Production,2012,2012,tonnes,943000,Qm,North America
