Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
10,Australia,4007,"Ammonia, anhydrous",5157,Agricultural Use,2014,2014,tonnes,45524,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5157,Agricultural Use,2015,2015,tonnes,40000,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5157,Agricultural Use,2016,2016,tonnes,39761,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5157,Agricultural Use,2017,2017,tonnes,35411,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5157,Agricultural Use,2004,2004,tonnes,351892,Fb,Oceania
10,Australia,4003,Ammonium nitrate (AN),5157,Agricultural Use,2005,2005,tonnes,33367,Fb,Oceania
10,Australia,4003,Ammonium nitrate (AN),5157,Agricultural Use,2014,2014,tonnes,504150,E,Oceania
10,Australia,4003,Ammonium nitrate (AN),5157,Agricultural Use,2015,2015,tonnes,176522,E,Oceania
10,Australia,4003,Ammonium nitrate (AN),5157,Agricultural Use,2016,2016,tonnes,165970,E,Oceania
10,Australia,4003,Ammonium nitrate (AN),5157,Agricultural Use,2017,2017,tonnes,151418,E,Oceania
10,Australia,4002,Ammonium sulphate,5157,Agricultural Use,2003,2003,tonnes,266563,Fb,Oceania
10,Australia,4002,Ammonium sulphate,5157,Agricultural Use,2004,2004,tonnes,306786,Fb,Oceania
10,Australia,4002,Ammonium sulphate,5157,Agricultural Use,2005,2005,tonnes,300505,Fb,Oceania
10,Australia,4002,Ammonium sulphate,5157,Agricultural Use,2010,2010,tonnes,160856,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5157,Agricultural Use,2011,2011,tonnes,47329,Fb,Oceania
10,Australia,4002,Ammonium sulphate,5157,Agricultural Use,2012,2012,tonnes,156799,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5157,Agricultural Use,2013,2013,tonnes,134630,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5157,Agricultural Use,2014,2014,tonnes,138915,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5157,Agricultural Use,2015,2015,tonnes,192000,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5157,Agricultural Use,2016,2016,tonnes,172581,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5157,Agricultural Use,2017,2017,tonnes,146420,Qm,Oceania
10,Australia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2002,2002,tonnes,534,Fb,Oceania
10,Australia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2003,2003,tonnes,398,Fb,Oceania
10,Australia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2004,2004,tonnes,12971,Fb,Oceania
10,Australia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2005,2005,tonnes,27814,Fb,Oceania
10,Australia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2009,2009,tonnes,74,Fb,Oceania
10,Australia,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2010,2010,tonnes,1022315,Qm,Oceania
10,Australia,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2012,2012,tonnes,1124066,Qm,Oceania
10,Australia,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2009,2009,tonnes,416724,Fb,Oceania
10,Australia,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2011,2011,tonnes,713917,Fb,Oceania
