Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
10,Australia,4007,"Ammonia, anhydrous",5910,Export Quantity,2002,2002,tonnes,19423.88,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5910,Export Quantity,2003,2003,tonnes,38767.42,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5910,Export Quantity,2004,2004,tonnes,29.67,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5910,Export Quantity,2005,2005,tonnes,45.69,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5910,Export Quantity,2006,2006,tonnes,317432.09,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5910,Export Quantity,2007,2007,tonnes,672038.23,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5910,Export Quantity,2008,2008,tonnes,331162.64,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5910,Export Quantity,2009,2009,tonnes,555310.49,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5910,Export Quantity,2010,2010,tonnes,593883.08,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5910,Export Quantity,2011,2011,tonnes,385777.46,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5910,Export Quantity,2012,2012,tonnes,469016.97,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5910,Export Quantity,2013,2013,tonnes,694539.01,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5910,Export Quantity,2014,2014,tonnes,525077.58,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5910,Export Quantity,2015,2015,tonnes,526052.02,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5910,Export Quantity,2016,2016,tonnes,373522.71,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5910,Export Quantity,2017,2017,tonnes,377216.02,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5910,Export Quantity,2002,2002,tonnes,76074.43,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5910,Export Quantity,2003,2003,tonnes,79831.12,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5910,Export Quantity,2004,2004,tonnes,85577.77,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5910,Export Quantity,2005,2005,tonnes,132267.95,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5910,Export Quantity,2006,2006,tonnes,146729.44,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5910,Export Quantity,2007,2007,tonnes,174481.21,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5910,Export Quantity,2008,2008,tonnes,216983.27,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5910,Export Quantity,2009,2009,tonnes,260683.55,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5910,Export Quantity,2010,2010,tonnes,227601.63,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5910,Export Quantity,2011,2011,tonnes,180683.38,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5910,Export Quantity,2012,2012,tonnes,81446.65,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5910,Export Quantity,2013,2013,tonnes,21603.85,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5910,Export Quantity,2014,2014,tonnes,38310.23,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5910,Export Quantity,2015,2015,tonnes,32867.1,Qm,Oceania
