Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
10,Australia,4007,"Ammonia, anhydrous",5922,Export Value,2002,2002,1000 US$,93.68,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5922,Export Value,2003,2003,1000 US$,2880.71,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5922,Export Value,2004,2004,1000 US$,63.6,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5922,Export Value,2005,2005,1000 US$,73.24,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5922,Export Value,2006,2006,1000 US$,69358.29,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5922,Export Value,2007,2007,1000 US$,176365.65,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5922,Export Value,2008,2008,1000 US$,116819.39,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5922,Export Value,2009,2009,1000 US$,116326.38,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5922,Export Value,2010,2010,1000 US$,145978.56,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5922,Export Value,2011,2011,1000 US$,115176.29,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5922,Export Value,2012,2012,1000 US$,244665.77,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5922,Export Value,2013,2013,1000 US$,342916.18,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5922,Export Value,2014,2014,1000 US$,265435.46,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5922,Export Value,2015,2015,1000 US$,215515.09,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5922,Export Value,2016,2016,1000 US$,98207.79,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5922,Export Value,2017,2017,1000 US$,87544.43,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5922,Export Value,2002,2002,1000 US$,15072.33,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5922,Export Value,2003,2003,1000 US$,17888.15,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5922,Export Value,2004,2004,1000 US$,23265.02,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5922,Export Value,2005,2005,1000 US$,30488.94,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5922,Export Value,2006,2006,1000 US$,35379.56,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5922,Export Value,2007,2007,1000 US$,44542.64,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5922,Export Value,2008,2008,1000 US$,73965.01,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5922,Export Value,2009,2009,1000 US$,92196.86,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5922,Export Value,2010,2010,1000 US$,87847.93,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5922,Export Value,2011,2011,1000 US$,81870.93,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5922,Export Value,2012,2012,1000 US$,40769.18,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5922,Export Value,2013,2013,1000 US$,13228.84,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5922,Export Value,2014,2014,1000 US$,19533.08,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5922,Export Value,2015,2015,1000 US$,13750.25,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5922,Export Value,2016,2016,1000 US$,11820.03,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5922,Export Value,2017,2017,1000 US$,9667.9,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5922,Export Value,2002,2002,1000 US$,4697.33,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5922,Export Value,2003,2003,1000 US$,7439.43,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5922,Export Value,2004,2004,1000 US$,8868.01,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5922,Export Value,2005,2005,1000 US$,13110.52,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5922,Export Value,2006,2006,1000 US$,13053.89,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5922,Export Value,2007,2007,1000 US$,18747.37,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5922,Export Value,2008,2008,1000 US$,11625.5,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5922,Export Value,2009,2009,1000 US$,23677.75,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5922,Export Value,2010,2010,1000 US$,20755.92,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5922,Export Value,2011,2011,1000 US$,7942.51,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5922,Export Value,2012,2012,1000 US$,8781.05,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5922,Export Value,2013,2013,1000 US$,7345.44,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5922,Export Value,2014,2014,1000 US$,5130.34,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5922,Export Value,2015,2015,1000 US$,5748.18,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5922,Export Value,2016,2016,1000 US$,6920.96,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5922,Export Value,2017,2017,1000 US$,10308.02,Qm,Oceania
10,Australia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2002,2002,1000 US$,12.12,Qm,Oceania
10,Australia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2004,2004,1000 US$,15.99,Qm,Oceania
10,Australia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2005,2005,1000 US$,14.81,Qm,Oceania
10,Australia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2006,2006,1000 US$,7.74,Qm,Oceania
10,Australia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2007,2007,1000 US$,74.48,Qm,Oceania
10,Australia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2008,2008,1000 US$,60.72,Qm,Oceania
10,Australia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2010,2010,1000 US$,38.71,Qm,Oceania
10,Australia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2012,2012,1000 US$,90.25,Qm,Oceania
10,Australia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2013,2013,1000 US$,0.91,Qm,Oceania
10,Australia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2015,2015,1000 US$,11.44,Qm,Oceania
10,Australia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2016,2016,1000 US$,6.47,Qm,Oceania
10,Australia,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5922,Export Value,2017,2017,1000 US$,17.01,Qm,Oceania
10,Australia,4022,Diammonium phosphate (DAP),5922,Export Value,2002,2002,1000 US$,37985.76,Qm,Oceania
10,Australia,4022,Diammonium phosphate (DAP),5922,Export Value,2003,2003,1000 US$,59573.61,Qm,Oceania
10,Australia,4022,Diammonium phosphate (DAP),5922,Export Value,2004,2004,1000 US$,54436.22,Qm,Oceania
10,Australia,4022,Diammonium phosphate (DAP),5922,Export Value,2005,2005,1000 US$,83872.55,Qm,Oceania
10,Australia,4022,Diammonium phosphate (DAP),5922,Export Value,2006,2006,1000 US$,52997.36,Qm,Oceania
10,Australia,4022,Diammonium phosphate (DAP),5922,Export Value,2007,2007,1000 US$,95880.85,Qm,Oceania
10,Australia,4022,Diammonium phosphate (DAP),5922,Export Value,2008,2008,1000 US$,380007,Qm,Oceania
10,Australia,4022,Diammonium phosphate (DAP),5922,Export Value,2009,2009,1000 US$,170204.54,Qm,Oceania
10,Australia,4022,Diammonium phosphate (DAP),5922,Export Value,2010,2010,1000 US$,168268.61,Qm,Oceania
10,Australia,4022,Diammonium phosphate (DAP),5922,Export Value,2011,2011,1000 US$,279960.5,Qm,Oceania
10,Australia,4022,Diammonium phosphate (DAP),5922,Export Value,2012,2012,1000 US$,245420.67,Qm,Oceania
10,Australia,4022,Diammonium phosphate (DAP),5922,Export Value,2013,2013,1000 US$,155972.75,Qm,Oceania
10,Australia,4022,Diammonium phosphate (DAP),5922,Export Value,2014,2014,1000 US$,145286.48,Qm,Oceania
10,Australia,4022,Diammonium phosphate (DAP),5922,Export Value,2015,2015,1000 US$,203580.02,Qm,Oceania
10,Australia,4022,Diammonium phosphate (DAP),5922,Export Value,2016,2016,1000 US$,212298.39,Qm,Oceania
10,Australia,4022,Diammonium phosphate (DAP),5922,Export Value,2017,2017,1000 US$,126062.61,Qm,Oceania
10,Australia,4030,Fertilizers n.e.c.,5922,Export Value,2002,2002,1000 US$,2767.81,Qm,Oceania
10,Australia,4030,Fertilizers n.e.c.,5922,Export Value,2003,2003,1000 US$,6277.72,Qm,Oceania
10,Australia,4030,Fertilizers n.e.c.,5922,Export Value,2004,2004,1000 US$,7045.95,Qm,Oceania
10,Australia,4030,Fertilizers n.e.c.,5922,Export Value,2005,2005,1000 US$,6169.58,Qm,Oceania
10,Australia,4030,Fertilizers n.e.c.,5922,Export Value,2006,2006,1000 US$,4799.58,Qm,Oceania
10,Australia,4030,Fertilizers n.e.c.,5922,Export Value,2007,2007,1000 US$,15057.06,Qm,Oceania
10,Australia,4030,Fertilizers n.e.c.,5922,Export Value,2008,2008,1000 US$,19768.56,Qm,Oceania
10,Australia,4030,Fertilizers n.e.c.,5922,Export Value,2009,2009,1000 US$,10140.54,Qm,Oceania
10,Australia,4030,Fertilizers n.e.c.,5922,Export Value,2010,2010,1000 US$,9458.62,Qm,Oceania
10,Australia,4030,Fertilizers n.e.c.,5922,Export Value,2011,2011,1000 US$,10352.88,Qm,Oceania
10,Australia,4030,Fertilizers n.e.c.,5922,Export Value,2012,2012,1000 US$,6839.72,Qm,Oceania
10,Australia,4030,Fertilizers n.e.c.,5922,Export Value,2013,2013,1000 US$,6205.36,Qm,Oceania
10,Australia,4030,Fertilizers n.e.c.,5922,Export Value,2014,2014,1000 US$,8035.53,Qm,Oceania
10,Australia,4030,Fertilizers n.e.c.,5922,Export Value,2015,2015,1000 US$,6396.82,Qm,Oceania
10,Australia,4030,Fertilizers n.e.c.,5922,Export Value,2016,2016,1000 US$,10202.97,Qm,Oceania
10,Australia,4030,Fertilizers n.e.c.,5922,Export Value,2017,2017,1000 US$,17302.78,Qm,Oceania
10,Australia,4023,Monoammonium phosphate (MAP),5922,Export Value,2002,2002,1000 US$,0.06,Qm,Oceania
10,Australia,4023,Monoammonium phosphate (MAP),5922,Export Value,2003,2003,1000 US$,2.34,Qm,Oceania
10,Australia,4023,Monoammonium phosphate (MAP),5922,Export Value,2004,2004,1000 US$,6.26,Qm,Oceania
10,Australia,4023,Monoammonium phosphate (MAP),5922,Export Value,2005,2005,1000 US$,4.59,Qm,Oceania
10,Australia,4023,Monoammonium phosphate (MAP),5922,Export Value,2006,2006,1000 US$,11.83,Qm,Oceania
10,Australia,4023,Monoammonium phosphate (MAP),5922,Export Value,2007,2007,1000 US$,11366.69,Qm,Oceania
10,Australia,4023,Monoammonium phosphate (MAP),5922,Export Value,2008,2008,1000 US$,75.46,Qm,Oceania
10,Australia,4023,Monoammonium phosphate (MAP),5922,Export Value,2009,2009,1000 US$,1217.85,Qm,Oceania
10,Australia,4023,Monoammonium phosphate (MAP),5922,Export Value,2010,2010,1000 US$,5272.56,Qm,Oceania
10,Australia,4023,Monoammonium phosphate (MAP),5922,Export Value,2011,2011,1000 US$,4903.44,Qm,Oceania
10,Australia,4023,Monoammonium phosphate (MAP),5922,Export Value,2012,2012,1000 US$,38.22,Qm,Oceania
10,Australia,4023,Monoammonium phosphate (MAP),5922,Export Value,2013,2013,1000 US$,2928.92,Qm,Oceania
10,Australia,4023,Monoammonium phosphate (MAP),5922,Export Value,2014,2014,1000 US$,28345.04,Qm,Oceania
10,Australia,4023,Monoammonium phosphate (MAP),5922,Export Value,2015,2015,1000 US$,23554.85,Qm,Oceania
10,Australia,4023,Monoammonium phosphate (MAP),5922,Export Value,2016,2016,1000 US$,12637.81,Qm,Oceania
10,Australia,4023,Monoammonium phosphate (MAP),5922,Export Value,2017,2017,1000 US$,17441.71,Qm,Oceania
10,Australia,4021,NPK fertilizers,5922,Export Value,2002,2002,1000 US$,987.13,Qm,Oceania
10,Australia,4021,NPK fertilizers,5922,Export Value,2003,2003,1000 US$,1211.28,Qm,Oceania
10,Australia,4021,NPK fertilizers,5922,Export Value,2004,2004,1000 US$,885.79,Qm,Oceania
10,Australia,4021,NPK fertilizers,5922,Export Value,2005,2005,1000 US$,1495.86,Qm,Oceania
10,Australia,4021,NPK fertilizers,5922,Export Value,2006,2006,1000 US$,1361.63,Qm,Oceania
10,Australia,4021,NPK fertilizers,5922,Export Value,2007,2007,1000 US$,3248.28,Qm,Oceania
10,Australia,4021,NPK fertilizers,5922,Export Value,2008,2008,1000 US$,3231.35,Qm,Oceania
10,Australia,4021,NPK fertilizers,5922,Export Value,2009,2009,1000 US$,3825.13,Qm,Oceania
10,Australia,4021,NPK fertilizers,5922,Export Value,2010,2010,1000 US$,4221.51,Qm,Oceania
10,Australia,4021,NPK fertilizers,5922,Export Value,2011,2011,1000 US$,5220.42,Qm,Oceania
10,Australia,4021,NPK fertilizers,5922,Export Value,2012,2012,1000 US$,4816.35,Qm,Oceania
10,Australia,4021,NPK fertilizers,5922,Export Value,2013,2013,1000 US$,4515,Qm,Oceania
10,Australia,4021,NPK fertilizers,5922,Export Value,2014,2014,1000 US$,3006.04,Qm,Oceania
