Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
10,Australia,4007,"Ammonia, anhydrous",5610,Import Quantity,2002,2002,tonnes,23466.28,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5610,Import Quantity,2003,2003,tonnes,2.32,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5610,Import Quantity,2004,2004,tonnes,31203.68,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5610,Import Quantity,2005,2005,tonnes,104253.48,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5610,Import Quantity,2006,2006,tonnes,64799.18,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5610,Import Quantity,2007,2007,tonnes,57299.6,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5610,Import Quantity,2008,2008,tonnes,283023.01,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5610,Import Quantity,2009,2009,tonnes,81253.25,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5610,Import Quantity,2010,2010,tonnes,61646.49,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5610,Import Quantity,2011,2011,tonnes,154461.8,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5610,Import Quantity,2012,2012,tonnes,136781.3,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5610,Import Quantity,2013,2013,tonnes,61059.52,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5610,Import Quantity,2014,2014,tonnes,89040.49,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5610,Import Quantity,2015,2015,tonnes,62260.55,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5610,Import Quantity,2016,2016,tonnes,7.52,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5610,Import Quantity,2017,2017,tonnes,33224.97,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5610,Import Quantity,2002,2002,tonnes,70891.46,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5610,Import Quantity,2003,2003,tonnes,65327.84,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5610,Import Quantity,2004,2004,tonnes,437470.37,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5610,Import Quantity,2005,2005,tonnes,165636.11,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5610,Import Quantity,2006,2006,tonnes,112309.7,Qm,Oceania
