Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
10,Australia,4007,"Ammonia, anhydrous",5622,Import Value,2002,2002,1000 US$,2819.4,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5622,Import Value,2003,2003,1000 US$,10.63,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5622,Import Value,2004,2004,1000 US$,16274.57,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5622,Import Value,2005,2005,1000 US$,34292.07,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5622,Import Value,2006,2006,1000 US$,24252.83,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5622,Import Value,2007,2007,1000 US$,17734.45,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5622,Import Value,2008,2008,1000 US$,177543.97,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5622,Import Value,2009,2009,1000 US$,26845.59,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5622,Import Value,2010,2010,1000 US$,26267.89,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5622,Import Value,2011,2011,1000 US$,77573.59,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5622,Import Value,2012,2012,1000 US$,88305.68,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5622,Import Value,2013,2013,1000 US$,29954.75,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5622,Import Value,2014,2014,1000 US$,47738.6,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5622,Import Value,2015,2015,1000 US$,23144.11,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5622,Import Value,2016,2016,1000 US$,57.29,Qm,Oceania
10,Australia,4007,"Ammonia, anhydrous",5622,Import Value,2017,2017,1000 US$,13196.66,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5622,Import Value,2002,2002,1000 US$,15340.53,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5622,Import Value,2003,2003,1000 US$,15165.11,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5622,Import Value,2004,2004,1000 US$,28376.3,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5622,Import Value,2005,2005,1000 US$,65823.2,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5622,Import Value,2006,2006,1000 US$,43084.65,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5622,Import Value,2007,2007,1000 US$,37368.94,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5622,Import Value,2008,2008,1000 US$,128968.46,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5622,Import Value,2009,2009,1000 US$,80955.67,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5622,Import Value,2010,2010,1000 US$,73304.01,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5622,Import Value,2011,2011,1000 US$,80647.73,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5622,Import Value,2012,2012,1000 US$,142771.62,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5622,Import Value,2013,2013,1000 US$,112393.46,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5622,Import Value,2014,2014,1000 US$,90075.28,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5622,Import Value,2015,2015,1000 US$,42819.93,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5622,Import Value,2016,2016,1000 US$,33486.94,Qm,Oceania
10,Australia,4003,Ammonium nitrate (AN),5622,Import Value,2017,2017,1000 US$,42850.21,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5622,Import Value,2002,2002,1000 US$,3234.9,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5622,Import Value,2003,2003,1000 US$,3393.38,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5622,Import Value,2004,2004,1000 US$,1833.14,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5622,Import Value,2005,2005,1000 US$,1780.91,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5622,Import Value,2006,2006,1000 US$,1579.73,Qm,Oceania
10,Australia,4002,Ammonium sulphate,5622,Import Value,2007,2007,1000 US$,2245.06,Qm,Oceania
