Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
10,Australia,4002,Ammonium sulphate,5510,Production,2003,2003,tonnes,338700,E,Oceania
10,Australia,4002,Ammonium sulphate,5510,Production,2004,2004,tonnes,343200,E,Oceania
10,Australia,4002,Ammonium sulphate,5510,Production,2005,2005,tonnes,368500,E,Oceania
10,Australia,4002,Ammonium sulphate,5510,Production,2006,2006,tonnes,418300,E,Oceania
10,Australia,4022,Diammonium phosphate (DAP),5510,Production,2003,2003,tonnes,683200,Qm,Oceania
10,Australia,4023,Monoammonium phosphate (MAP),5510,Production,2003,2003,tonnes,181400,Qm,Oceania
10,Australia,4013,"Superphosphates, other",5510,Production,2003,2003,tonnes,1206800,E,Oceania
10,Australia,4013,"Superphosphates, other",5510,Production,2004,2004,tonnes,1228800,E,Oceania
10,Australia,4013,"Superphosphates, other",5510,Production,2005,2005,tonnes,1142900,E,Oceania
10,Australia,4013,"Superphosphates, other",5510,Production,2006,2006,tonnes,1360100,E,Oceania
10,Australia,4001,Urea,5510,Production,2003,2003,tonnes,218900,E,Oceania
10,Australia,4001,Urea,5510,Production,2004,2004,tonnes,240600,E,Oceania
10,Australia,4001,Urea,5510,Production,2005,2005,tonnes,266500,E,Oceania
10,Australia,4001,Urea,5510,Production,2006,2006,tonnes,285600,E,Oceania
47,Cook Islands,4003,Ammonium nitrate (AN),5510,Production,2009,2009,tonnes,0,Qm,Oceania
47,Cook Islands,4003,Ammonium nitrate (AN),5510,Production,2010,2010,tonnes,0,Qm,Oceania
47,Cook Islands,4003,Ammonium nitrate (AN),5510,Production,2011,2011,tonnes,0,Qm,Oceania
47,Cook Islands,4003,Ammonium nitrate (AN),5510,Production,2012,2012,tonnes,0,Qm,Oceania
47,Cook Islands,4003,Ammonium nitrate (AN),5510,Production,2013,2013,tonnes,0,Qm,Oceania
47,Cook Islands,4003,Ammonium nitrate (AN),5510,Production,2014,2014,tonnes,0,Qm,Oceania
47,Cook Islands,4002,Ammonium sulphate,5510,Production,2009,2009,tonnes,0,Qm,Oceania
47,Cook Islands,4002,Ammonium sulphate,5510,Production,2010,2010,tonnes,0,Qm,Oceania
47,Cook Islands,4002,Ammonium sulphate,5510,Production,2011,2011,tonnes,0,Qm,Oceania
47,Cook Islands,4002,Ammonium sulphate,5510,Production,2012,2012,tonnes,0,Qm,Oceania
47,Cook Islands,4002,Ammonium sulphate,5510,Production,2013,2013,tonnes,0,Qm,Oceania
