Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
9,Argentina,4003,Ammonium nitrate (AN),5157,Agricultural Use,2004,2004,tonnes,194189,Fb,south America
9,Argentina,4003,Ammonium nitrate (AN),5157,Agricultural Use,2005,2005,tonnes,224154,Fb,south America
9,Argentina,4003,Ammonium nitrate (AN),5157,Agricultural Use,2006,2006,tonnes,242610,Fb,south America
9,Argentina,4003,Ammonium nitrate (AN),5157,Agricultural Use,2009,2009,tonnes,82196,Fb,south America
9,Argentina,4002,Ammonium sulphate,5157,Agricultural Use,2004,2004,tonnes,115064,Fb,south America
9,Argentina,4002,Ammonium sulphate,5157,Agricultural Use,2005,2005,tonnes,53833,Fb,south America
9,Argentina,4002,Ammonium sulphate,5157,Agricultural Use,2006,2006,tonnes,85753,Fb,south America
9,Argentina,4002,Ammonium sulphate,5157,Agricultural Use,2009,2009,tonnes,4132,Fb,south America
9,Argentina,4002,Ammonium sulphate,5157,Agricultural Use,2010,2010,tonnes,52524,Qm,south America
9,Argentina,4002,Ammonium sulphate,5157,Agricultural Use,2011,2011,tonnes,50889,Qm,south America
9,Argentina,4002,Ammonium sulphate,5157,Agricultural Use,2012,2012,tonnes,35606,Qm,south America
9,Argentina,4002,Ammonium sulphate,5157,Agricultural Use,2013,2013,tonnes,20427,Qm,south America
9,Argentina,4002,Ammonium sulphate,5157,Agricultural Use,2014,2014,tonnes,40010,Qm,south America
9,Argentina,4002,Ammonium sulphate,5157,Agricultural Use,2015,2015,tonnes,14399,Qm,south America
9,Argentina,4002,Ammonium sulphate,5157,Agricultural Use,2016,2016,tonnes,51626,Qm,south America
9,Argentina,4002,Ammonium sulphate,5157,Agricultural Use,2017,2017,tonnes,39489,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2004,2004,tonnes,20257,Fb,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2005,2005,tonnes,46064,Fb,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2006,2006,tonnes,36400,Fb,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2007,2007,tonnes,87133,Fb,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2008,2008,tonnes,75241,Fb,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2009,2009,tonnes,43139,Fb,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2010,2010,tonnes,75021,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2011,2011,tonnes,53381,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2012,2012,tonnes,64684,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2013,2013,tonnes,64312,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2014,2014,tonnes,66864,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2015,2015,tonnes,48740,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2016,2016,tonnes,89089,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5157,Agricultural Use,2017,2017,tonnes,103095,Qm,south America
9,Argentina,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2004,2004,tonnes,518283,Fb,south America
9,Argentina,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2005,2005,tonnes,422712,Fb,south America
9,Argentina,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2006,2006,tonnes,486951,Fb,south America
9,Argentina,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2007,2007,tonnes,486883,Fb,south America
9,Argentina,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2008,2008,tonnes,351457,Fb,south America
9,Argentina,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2009,2009,tonnes,123342,Fb,south America
9,Argentina,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2010,2010,tonnes,272258,Qm,south America
9,Argentina,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2011,2011,tonnes,296032,Qm,south America
9,Argentina,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2012,2012,tonnes,293336,Qm,south America
9,Argentina,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2013,2013,tonnes,303007,Qm,south America
9,Argentina,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2014,2014,tonnes,284658,Qm,south America
9,Argentina,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2015,2015,tonnes,202634,Qm,south America
9,Argentina,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2016,2016,tonnes,301022,Qm,south America
9,Argentina,4022,Diammonium phosphate (DAP),5157,Agricultural Use,2017,2017,tonnes,273730,Qm,south America
9,Argentina,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2004,2004,tonnes,426533,Fb,south America
9,Argentina,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2005,2005,tonnes,360222,Fb,south America
9,Argentina,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2006,2006,tonnes,452917,Fb,south America
9,Argentina,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2007,2007,tonnes,685200,Fb,south America
9,Argentina,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2008,2008,tonnes,328947,Fb,south America
9,Argentina,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2009,2009,tonnes,369145,Fb,south America
9,Argentina,4023,Monoammonium phosphate (MAP),5157,Agricultural Use,2010,2010,tonnes,610445,Qm,south America
