Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
9,Argentina,4007,"Ammonia, anhydrous",5910,Export Quantity,2002,2002,tonnes,89739.75,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5910,Export Quantity,2003,2003,tonnes,129577.8,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5910,Export Quantity,2004,2004,tonnes,72053.51,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5910,Export Quantity,2005,2005,tonnes,47642.99,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5910,Export Quantity,2006,2006,tonnes,31315.53,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5910,Export Quantity,2007,2007,tonnes,57015.54,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5910,Export Quantity,2008,2008,tonnes,31840.37,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5910,Export Quantity,2009,2009,tonnes,12497.67,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5910,Export Quantity,2010,2010,tonnes,12025.6,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5910,Export Quantity,2011,2011,tonnes,54169.88,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5910,Export Quantity,2012,2012,tonnes,36356.33,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5910,Export Quantity,2013,2013,tonnes,45269.1,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5910,Export Quantity,2014,2014,tonnes,28067.3,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5910,Export Quantity,2015,2015,tonnes,33884.83,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5910,Export Quantity,2016,2016,tonnes,267.38,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5910,Export Quantity,2017,2017,tonnes,16625.82,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5910,Export Quantity,2002,2002,tonnes,0.01,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5910,Export Quantity,2005,2005,tonnes,0,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5910,Export Quantity,2006,2006,tonnes,0.02,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5910,Export Quantity,2007,2007,tonnes,0,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5910,Export Quantity,2016,2016,tonnes,290,Qm,south America
9,Argentina,4002,Ammonium sulphate,5910,Export Quantity,2002,2002,tonnes,1297.26,Qm,south America
9,Argentina,4002,Ammonium sulphate,5910,Export Quantity,2003,2003,tonnes,1522.13,Qm,south America
9,Argentina,4002,Ammonium sulphate,5910,Export Quantity,2004,2004,tonnes,1448.88,Qm,south America
9,Argentina,4002,Ammonium sulphate,5910,Export Quantity,2005,2005,tonnes,1174.9,Qm,south America
9,Argentina,4002,Ammonium sulphate,5910,Export Quantity,2006,2006,tonnes,2137.86,Qm,south America
9,Argentina,4002,Ammonium sulphate,5910,Export Quantity,2007,2007,tonnes,1770.75,Qm,south America
9,Argentina,4002,Ammonium sulphate,5910,Export Quantity,2008,2008,tonnes,1420.7,Qm,south America
9,Argentina,4002,Ammonium sulphate,5910,Export Quantity,2009,2009,tonnes,1477.5,Qm,south America
9,Argentina,4002,Ammonium sulphate,5910,Export Quantity,2010,2010,tonnes,2725.87,Qm,south America
9,Argentina,4002,Ammonium sulphate,5910,Export Quantity,2011,2011,tonnes,2293.47,Qm,south America
9,Argentina,4002,Ammonium sulphate,5910,Export Quantity,2012,2012,tonnes,4186.62,Qm,south America
9,Argentina,4002,Ammonium sulphate,5910,Export Quantity,2013,2013,tonnes,2558.83,Qm,south America
9,Argentina,4002,Ammonium sulphate,5910,Export Quantity,2014,2014,tonnes,1276.92,Qm,south America
9,Argentina,4002,Ammonium sulphate,5910,Export Quantity,2015,2015,tonnes,601.59,Qm,south America
9,Argentina,4002,Ammonium sulphate,5910,Export Quantity,2016,2016,tonnes,474.33,Qm,south America
9,Argentina,4002,Ammonium sulphate,5910,Export Quantity,2017,2017,tonnes,188.28,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5910,Export Quantity,2007,2007,tonnes,308,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5910,Export Quantity,2008,2008,tonnes,2282,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5910,Export Quantity,2009,2009,tonnes,476,Qm,south America
