Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
9,Argentina,4007,"Ammonia, anhydrous",5922,Export Value,2002,2002,1000 US$,8401.79,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5922,Export Value,2003,2003,1000 US$,21664.43,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5922,Export Value,2004,2004,1000 US$,18367.25,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5922,Export Value,2005,2005,1000 US$,12621.14,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5922,Export Value,2006,2006,1000 US$,9745.39,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5922,Export Value,2007,2007,1000 US$,17586.34,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5922,Export Value,2008,2008,1000 US$,21073.04,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5922,Export Value,2009,2009,1000 US$,3806.67,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5922,Export Value,2010,2010,1000 US$,4961.53,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5922,Export Value,2011,2011,1000 US$,27249.54,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5922,Export Value,2012,2012,1000 US$,20825.8,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5922,Export Value,2013,2013,1000 US$,21003.31,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5922,Export Value,2014,2014,1000 US$,15542.13,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5922,Export Value,2015,2015,1000 US$,14114.62,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5922,Export Value,2016,2016,1000 US$,250.25,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5922,Export Value,2017,2017,1000 US$,4074.51,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5922,Export Value,2002,2002,1000 US$,0.52,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5922,Export Value,2005,2005,1000 US$,0.02,Qm,south America
