Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
9,Argentina,4007,"Ammonia, anhydrous",5610,Import Quantity,2002,2002,tonnes,0.01,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5610,Import Quantity,2003,2003,tonnes,0,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5610,Import Quantity,2004,2004,tonnes,0,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5610,Import Quantity,2007,2007,tonnes,84.98,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5610,Import Quantity,2008,2008,tonnes,84.65,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5610,Import Quantity,2009,2009,tonnes,901.04,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5610,Import Quantity,2010,2010,tonnes,1040.76,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5610,Import Quantity,2011,2011,tonnes,858.11,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5610,Import Quantity,2012,2012,tonnes,220,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5610,Import Quantity,2014,2014,tonnes,0.02,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5610,Import Quantity,2015,2015,tonnes,21,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5610,Import Quantity,2002,2002,tonnes,110731.09,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5610,Import Quantity,2003,2003,tonnes,155607.44,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5610,Import Quantity,2004,2004,tonnes,194189.18,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5610,Import Quantity,2005,2005,tonnes,224154.11,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5610,Import Quantity,2006,2006,tonnes,242609.56,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5610,Import Quantity,2007,2007,tonnes,149281.98,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5610,Import Quantity,2008,2008,tonnes,164876.49,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5610,Import Quantity,2009,2009,tonnes,82196.05,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5610,Import Quantity,2010,2010,tonnes,128512.03,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5610,Import Quantity,2011,2011,tonnes,152258.67,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5610,Import Quantity,2012,2012,tonnes,140411.78,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5610,Import Quantity,2013,2013,tonnes,134848.84,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5610,Import Quantity,2014,2014,tonnes,124530.87,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5610,Import Quantity,2015,2015,tonnes,113701.4,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5610,Import Quantity,2016,2016,tonnes,82488.51,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5610,Import Quantity,2017,2017,tonnes,106579.73,Qm,south America
