Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
9,Argentina,4007,"Ammonia, anhydrous",5622,Import Value,2002,2002,1000 US$,0.39,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5622,Import Value,2003,2003,1000 US$,2.39,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5622,Import Value,2004,2004,1000 US$,2.24,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5622,Import Value,2007,2007,1000 US$,61.21,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5622,Import Value,2008,2008,1000 US$,54.96,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5622,Import Value,2009,2009,1000 US$,481.67,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5622,Import Value,2010,2010,1000 US$,564.82,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5622,Import Value,2011,2011,1000 US$,609.23,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5622,Import Value,2012,2012,1000 US$,237.09,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5622,Import Value,2014,2014,1000 US$,0.69,Qm,south America
9,Argentina,4007,"Ammonia, anhydrous",5622,Import Value,2015,2015,1000 US$,16.23,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5622,Import Value,2002,2002,1000 US$,12816.9,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5622,Import Value,2003,2003,1000 US$,20761.53,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5622,Import Value,2004,2004,1000 US$,35642.61,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5622,Import Value,2005,2005,1000 US$,47583.84,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5622,Import Value,2006,2006,1000 US$,52543.41,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5622,Import Value,2007,2007,1000 US$,40698.05,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5622,Import Value,2008,2008,1000 US$,79324.86,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5622,Import Value,2009,2009,1000 US$,26677.22,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5622,Import Value,2010,2010,1000 US$,47422.39,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5622,Import Value,2011,2011,1000 US$,66075.65,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5622,Import Value,2012,2012,1000 US$,63813.5,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5622,Import Value,2013,2013,1000 US$,61612.88,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5622,Import Value,2014,2014,1000 US$,56135.65,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5622,Import Value,2015,2015,1000 US$,48967.54,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5622,Import Value,2016,2016,1000 US$,25806.1,Qm,south America
9,Argentina,4003,Ammonium nitrate (AN),5622,Import Value,2017,2017,1000 US$,34472.18,Qm,south America
9,Argentina,4002,Ammonium sulphate,5622,Import Value,2002,2002,1000 US$,4838.69,Qm,south America
9,Argentina,4002,Ammonium sulphate,5622,Import Value,2003,2003,1000 US$,11561.1,Qm,south America
9,Argentina,4002,Ammonium sulphate,5622,Import Value,2004,2004,1000 US$,21266.13,Qm,south America
9,Argentina,4002,Ammonium sulphate,5622,Import Value,2005,2005,1000 US$,11104.01,Qm,south America
9,Argentina,4002,Ammonium sulphate,5622,Import Value,2006,2006,1000 US$,16440.38,Qm,south America
9,Argentina,4002,Ammonium sulphate,5622,Import Value,2007,2007,1000 US$,19607.04,Qm,south America
9,Argentina,4002,Ammonium sulphate,5622,Import Value,2008,2008,1000 US$,41951.53,Qm,south America
9,Argentina,4002,Ammonium sulphate,5622,Import Value,2009,2009,1000 US$,1723.58,Qm,south America
9,Argentina,4002,Ammonium sulphate,5622,Import Value,2010,2010,1000 US$,10746.87,Qm,south America
9,Argentina,4002,Ammonium sulphate,5622,Import Value,2011,2011,1000 US$,19281.14,Qm,south America
9,Argentina,4002,Ammonium sulphate,5622,Import Value,2012,2012,1000 US$,4963.56,Qm,south America
9,Argentina,4002,Ammonium sulphate,5622,Import Value,2013,2013,1000 US$,12288.94,Qm,south America
9,Argentina,4002,Ammonium sulphate,5622,Import Value,2014,2014,1000 US$,8277.08,Qm,south America
9,Argentina,4002,Ammonium sulphate,5622,Import Value,2015,2015,1000 US$,6363.02,Qm,south America
9,Argentina,4002,Ammonium sulphate,5622,Import Value,2016,2016,1000 US$,7602.96,Qm,south America
9,Argentina,4002,Ammonium sulphate,5622,Import Value,2017,2017,1000 US$,7371.16,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2002,2002,1000 US$,1085.12,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2003,2003,1000 US$,2442.06,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2004,2004,1000 US$,3517.67,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2005,2005,1000 US$,9677.14,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2006,2006,1000 US$,7644,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2007,2007,1000 US$,21530.54,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2008,2008,1000 US$,39504.89,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2009,2009,1000 US$,9375.57,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2010,2010,1000 US$,19176.88,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2011,2011,1000 US$,25088.69,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2012,2012,1000 US$,22821.61,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2013,2013,1000 US$,18855.17,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2014,2014,1000 US$,17265.42,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2015,2015,1000 US$,10089.18,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2016,2016,1000 US$,14244.87,Qm,south America
9,Argentina,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5622,Import Value,2017,2017,1000 US$,19962.55,Qm,south America
9,Argentina,4022,Diammonium phosphate (DAP),5622,Import Value,2002,2002,1000 US$,58069.03,Qm,south America
9,Argentina,4022,Diammonium phosphate (DAP),5622,Import Value,2003,2003,1000 US$,91142.03,Qm,south America
9,Argentina,4022,Diammonium phosphate (DAP),5622,Import Value,2004,2004,1000 US$,128513.31,Qm,south America
9,Argentina,4022,Diammonium phosphate (DAP),5622,Import Value,2005,2005,1000 US$,115202.21,Qm,south America
9,Argentina,4022,Diammonium phosphate (DAP),5622,Import Value,2006,2006,1000 US$,140909.06,Qm,south America
