Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,continent
9,Argentina,4002,Ammonium sulphate,5510,Production,2014,2014,tonnes,0,E,south America
9,Argentina,4002,Ammonium sulphate,5510,Production,2015,2015,tonnes,0,E,south America
9,Argentina,4002,Ammonium sulphate,5510,Production,2016,2016,tonnes,0,E,south America
9,Argentina,4002,Ammonium sulphate,5510,Production,2017,2017,tonnes,0,E,south America
9,Argentina,4008,"Other nitrogenous fertilizers, n.e.c.",5510,Production,2014,2014,tonnes,61073.94,E,south America
9,Argentina,4008,"Other nitrogenous fertilizers, n.e.c.",5510,Production,2015,2015,tonnes,56000,Fm,south America
9,Argentina,4008,"Other nitrogenous fertilizers, n.e.c.",5510,Production,2016,2016,tonnes,70424.24,E,south America
9,Argentina,4008,"Other nitrogenous fertilizers, n.e.c.",5510,Production,2017,2017,tonnes,80046.06,E,south America
9,Argentina,4018,"Other potassic fertilizers, n.e.c.",5510,Production,2014,2014,tonnes,2000,Fm,south America
9,Argentina,4018,"Other potassic fertilizers, n.e.c.",5510,Production,2015,2015,tonnes,2000,Fm,south America
9,Argentina,4018,"Other potassic fertilizers, n.e.c.",5510,Production,2016,2016,tonnes,3000,Fm,south America
9,Argentina,4018,"Other potassic fertilizers, n.e.c.",5510,Production,2017,2017,tonnes,3300,Fm,south America
9,Argentina,4012,Superphosphates above 35%,5510,Production,2013,2013,tonnes,0,E,south America
9,Argentina,4012,Superphosphates above 35%,5510,Production,2014,2014,tonnes,0,E,south America
9,Argentina,4012,Superphosphates above 35%,5510,Production,2015,2015,tonnes,0,E,south America
9,Argentina,4012,Superphosphates above 35%,5510,Production,2016,2016,tonnes,0,E,south America
9,Argentina,4012,Superphosphates above 35%,5510,Production,2017,2017,tonnes,0,E,south America
9,Argentina,4013,"Superphosphates, other",5510,Production,2013,2013,tonnes,258000,Fm,south America
9,Argentina,4013,"Superphosphates, other",5510,Production,2014,2014,tonnes,342000,Fm,south America
9,Argentina,4013,"Superphosphates, other",5510,Production,2015,2015,tonnes,355000,Fm,south America
9,Argentina,4013,"Superphosphates, other",5510,Production,2016,2016,tonnes,400000,Fm,south America
9,Argentina,4013,"Superphosphates, other",5510,Production,2017,2017,tonnes,414000,Fm,south America
9,Argentina,4001,Urea,5510,Production,2004,2004,tonnes,1364549,Qm,south America
9,Argentina,4001,Urea,5510,Production,2005,2005,tonnes,1249438,Qm,south America
9,Argentina,4001,Urea,5510,Production,2006,2006,tonnes,1432859,Qm,south America
9,Argentina,4001,Urea,5510,Production,2007,2007,tonnes,1019431,Qm,south America
9,Argentina,4001,Urea,5510,Production,2008,2008,tonnes,882497,Qm,south America
9,Argentina,4001,Urea,5510,Production,2009,2009,tonnes,1117876,Qm,south America
9,Argentina,4001,Urea,5510,Production,2010,2010,tonnes,941549,Qm,south America
9,Argentina,4001,Urea,5510,Production,2011,2011,tonnes,1159252,Qm,south America
9,Argentina,4001,Urea,5510,Production,2012,2012,tonnes,1179355,Qm,south America
9,Argentina,4001,Urea,5510,Production,2013,2013,tonnes,1370634,Qm,south America
9,Argentina,4001,Urea,5510,Production,2014,2014,tonnes,947736.67,E,south America
9,Argentina,4001,Urea,5510,Production,2015,2015,tonnes,869000,Qm,south America
9,Argentina,4001,Urea,5510,Production,2016,2016,tonnes,1092833.33,E,south America
9,Argentina,4001,Urea,5510,Production,2017,2017,tonnes,1415100,Fm,south America
9,Argentina,4006,Urea and ammonium nitrate solutions (UAN),5510,Production,2014,2014,tonnes,70889.39,E,south America
9,Argentina,4006,Urea and ammonium nitrate solutions (UAN),5510,Production,2015,2015,tonnes,65000,Qm,south America
9,Argentina,4006,Urea and ammonium nitrate solutions (UAN),5510,Production,2016,2016,tonnes,81742.42,E,south America
9,Argentina,4006,Urea and ammonium nitrate solutions (UAN),5510,Production,2017,2017,tonnes,92910.61,E,south America
19,Bolivia (Plurinational State of),4003,Ammonium nitrate (AN),5510,Production,2011,2011,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4003,Ammonium nitrate (AN),5510,Production,2012,2012,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4003,Ammonium nitrate (AN),5510,Production,2013,2013,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4003,Ammonium nitrate (AN),5510,Production,2014,2014,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4002,Ammonium sulphate,5510,Production,2011,2011,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4002,Ammonium sulphate,5510,Production,2012,2012,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4002,Ammonium sulphate,5510,Production,2013,2013,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4002,Ammonium sulphate,5510,Production,2014,2014,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2011,2011,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2012,2012,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2013,2013,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,5510,Production,2014,2014,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4022,Diammonium phosphate (DAP),5510,Production,2011,2011,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4022,Diammonium phosphate (DAP),5510,Production,2012,2012,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4022,Diammonium phosphate (DAP),5510,Production,2013,2013,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4022,Diammonium phosphate (DAP),5510,Production,2014,2014,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4023,Monoammonium phosphate (MAP),5510,Production,2011,2011,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4023,Monoammonium phosphate (MAP),5510,Production,2012,2012,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4023,Monoammonium phosphate (MAP),5510,Production,2013,2013,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4023,Monoammonium phosphate (MAP),5510,Production,2014,2014,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4021,NPK fertilizers,5510,Production,2007,2007,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4021,NPK fertilizers,5510,Production,2011,2011,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4021,NPK fertilizers,5510,Production,2012,2012,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4021,NPK fertilizers,5510,Production,2013,2013,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4021,NPK fertilizers,5510,Production,2014,2014,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4024,Other NP compounds,5510,Production,2011,2011,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4024,Other NP compounds,5510,Production,2012,2012,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4024,Other NP compounds,5510,Production,2013,2013,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4024,Other NP compounds,5510,Production,2014,2014,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4027,PK compounds,5510,Production,2011,2011,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4027,PK compounds,5510,Production,2012,2012,tonnes,0,Qm,south America
19,Bolivia (Plurinational State of),4027,PK compounds,5510,Production,2013,2013,tonnes,0,Qm,south America
