,Area Code,Area,Item Code,Item,Year,Value,Longitude,Latitude
0,2,Afghanistan,4004,Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,2003,0.03,33° 0? 0? N,65° 0? 0? E
1,2,Afghanistan,4030,Fertilizers n.e.c.,2011,21,33° 0? 0? N,65° 0? 0? E
2,2,Afghanistan,4030,Fertilizers n.e.c.,2015,9.15,33° 0? 0? N,65° 0? 0? E
3,2,Afghanistan,4030,Fertilizers n.e.c.,2017,34,33° 0? 0? N,65° 0? 0? E
4,2,Afghanistan,4023,Monoammonium phosphate (MAP),2003,200,33° 0? 0? N,65° 0? 0? E
5,2,Afghanistan,4021,NPK fertilizers,2008,5885.67,33° 0? 0? N,65° 0? 0? E
6,2,Afghanistan,4021,NPK fertilizers,2010,49.18,33° 0? 0? N,65° 0? 0? E
7,2,Afghanistan,4008,"Other nitrogenous fertilizers, n.e.c.",2002,0.69,33° 0? 0? N,65° 0? 0? E
8,2,Afghanistan,4008,"Other nitrogenous fertilizers, n.e.c.",2003,53.71,33° 0? 0? N,65° 0? 0? E
9,2,Afghanistan,4008,"Other nitrogenous fertilizers, n.e.c.",2017,25.7,33° 0? 0? N,65° 0? 0? E
10,2,Afghanistan,4011,Phosphate rock,2002,11333.2,33° 0? 0? N,65° 0? 0? E
11,2,Afghanistan,4017,Potassium sulphate (sulphate of potash) (SOP),2012,9.64,33° 0? 0? N,65° 0? 0? E
12,2,Afghanistan,4001,Urea,2002,49.55,33° 0? 0? N,65° 0? 0? E
13,2,Afghanistan,4001,Urea,2005,32.25,33° 0? 0? N,65° 0? 0? E
14,2,Afghanistan,4001,Urea,2008,30,33° 0? 0? N,65° 0? 0? E
15,2,Afghanistan,4001,Urea,2014,59,33° 0? 0? N,65° 0? 0? E
16,2,Afghanistan,4001,Urea,2016,49.02,33° 0? 0? N,65° 0? 0? E
17,1,Armenia,4003,Ammonium nitrate (AN),2007,0,40° 11? 0? N,44° 31? 0? E
18,1,Armenia,4003,Ammonium nitrate (AN),2012,60,40° 11? 0? N,44° 31? 0? E
19,1,Armenia,4003,Ammonium nitrate (AN),2015,60.1,40° 11? 0? N,44° 31? 0? E
20,1,Armenia,4003,Ammonium nitrate (AN),2017,97,40° 11? 0? N,44° 31? 0? E
21,1,Armenia,4030,Fertilizers n.e.c.,2006,0.01,40° 11? 0? N,44° 31? 0? E
22,1,Armenia,4030,Fertilizers n.e.c.,2016,0,40° 11? 0? N,44° 31? 0? E
23,1,Armenia,4021,NPK fertilizers,2011,0.89,40° 11? 0? N,44° 31? 0? E
24,1,Armenia,4021,NPK fertilizers,2012,0.02,40° 11? 0? N,44° 31? 0? E
25,1,Armenia,4021,NPK fertilizers,2014,1.01,40° 11? 0? N,44° 31? 0? E
26,1,Armenia,4008,"Other nitrogenous fertilizers, n.e.c.",2005,0.33,40° 11? 0? N,44° 31? 0? E
27,1,Armenia,4008,"Other nitrogenous fertilizers, n.e.c.",2006,0.83,40° 11? 0? N,44° 31? 0? E
28,1,Armenia,4008,"Other nitrogenous fertilizers, n.e.c.",2007,0.05,40° 11? 0? N,44° 31? 0? E
29,1,Armenia,4008,"Other nitrogenous fertilizers, n.e.c.",2008,0.25,40° 11? 0? N,44° 31? 0? E
30,1,Armenia,4008,"Other nitrogenous fertilizers, n.e.c.",2011,0.5,40° 11? 0? N,44° 31? 0? E
31,1,Armenia,4008,"Other nitrogenous fertilizers, n.e.c.",2012,1,40° 11? 0? N,44° 31? 0? E
32,1,Armenia,4008,"Other nitrogenous fertilizers, n.e.c.",2016,0.5,40° 11? 0? N,44° 31? 0? E
33,1,Armenia,4018,"Other potassic fertilizers, n.e.c.",2008,0.5,40° 11? 0? N,44° 31? 0? E
34,1,Armenia,4018,"Other potassic fertilizers, n.e.c.",2010,0.01,40° 11? 0? N,44° 31? 0? E
35,1,Armenia,4016,Potassium chloride (muriate of potash) (MOP),2008,10,40° 11? 0? N,44° 31? 0? E
36,1,Armenia,4016,Potassium chloride (muriate of potash) (MOP),2009,971.88,40° 11? 0? N,44° 31? 0? E
37,1,Armenia,4005,Sodium nitrate,2008,3.95,40° 11? 0? N,44° 31? 0? E
38,1,Armenia,4005,Sodium nitrate,2017,0.5,40° 11? 0? N,44° 31? 0? E
39,1,Armenia,4012,Superphosphates above 35%,2008,8.35,40° 11? 0? N,44° 31? 0? E
40,1,Armenia,4001,Urea,2002,0.11,40° 11? 0? N,44° 31? 0? E
41,1,Armenia,4001,Urea,2003,0,40° 11? 0? N,44° 31? 0? E
42,1,Armenia,4001,Urea,2007,0.1,40° 11? 0? N,44° 31? 0? E
43,1,Armenia,4001,Urea,2017,5,40° 11? 0? N,44° 31? 0? E
44,13,Bahrain,4007,"Ammonia, anhydrous",2005,5.97,26° 13? 0? N,50° 35? 0? E
45,13,Bahrain,4007,"Ammonia, anhydrous",2006,4.3,26° 13? 0? N,50° 35? 0? E
46,13,Bahrain,4007,"Ammonia, anhydrous",2007,4.55,26° 13? 0? N,50° 35? 0? E
47,13,Bahrain,4007,"Ammonia, anhydrous",2008,15.64,26° 13? 0? N,50° 35? 0? E
48,13,Bahrain,4007,"Ammonia, anhydrous",2009,22416.7,26° 13? 0? N,50° 35? 0? E
49,13,Bahrain,4007,"Ammonia, anhydrous",2010,61335.47,26° 13? 0? N,50° 35? 0? E
50,13,Bahrain,4007,"Ammonia, anhydrous",2011,41514.57,26° 13? 0? N,50° 35? 0? E
51,13,Bahrain,4007,"Ammonia, anhydrous",2012,53616.57,26° 13? 0? N,50° 35? 0? E
52,13,Bahrain,4007,"Ammonia, anhydrous",2013,70874.59,26° 13? 0? N,50° 35? 0? E
